content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
004fc5e6e143640f,114923,105057937,205721,114903,105081757,205721
0094476c2560f802,49054,39194282,217229,49026,39240599,217229
009beab300ba2500,49021,39166950,214773,,,
00a86c6ec29a971b,70138,60295285,213554,70124,60317441,213554
00d09e64258b1015,68113,58279827,213617,68083,58302813,213617
00f4889e0d27d43c,61108,51260455,213179,61078,51276457,213179
012c1983ddd176a3,47947,38118962,214579,47916,38141246,214579
0150ff2f0501271f,79456,69619537,213878,,,
016b31e13758b207,112043,102197431,214816,,,
019e01c92ff71769,21796,11934371,216136,21779,11954885,216136
019e098086075e04,46503,36651612,204602,,,
01cf33f7c8aa938c,77675,67831536,210408,77646,67847188,210408
01e0d506290b27a4,47006,37151808,215463,46993,37176630,215463
0230710aa98efc54,64298,54455051,213267,64254,54470766,213267
0238dcae5e00d665,78500,68680281,227425,78481,68697527,227425
025d8120c2ad2e8f,115431,105592206,214868,115401,105619819,214868
027a6743deac958e,86227,76371662,213745,86204,76418047,213745
02bc5314ef028584,93023,83178506,214114,92984,83194789,214114
02bd73ad0d9bc585,26022,16181959,217049,25999,16198047,217049
02c5cb02aa391ba5,116534,106698051,203576,,,
02d057330c71cb3d,94970,85140006,214102,94948,85157723,214102
02f883c5907610d5,61044,51198934,215114,61017,51215315,215114
0318a525e08c4d3c,53717,43862890,231080,53697,43882650,231080
03536cf40de0a072,54475,44638405,212350,54443,44654207,212350
036104197e602249,43117,33263159,214075,43096,33281996,214075
038bd68310fd865c,28999,19145194,211681,28975,19162810,211681
03f01be786b416bb,48433,38579526,215285,48412,38604600,215285
03fc1da4559769ee,28142,18293207,213729,28111,18309092,213729
0406b6719d085523,83999,74156223,216635,,,
040ca2afe148efb4,,,,55782,45970333,211333
0420025ea6a7452a,19474,9619835,204460,19443,9636893,204460
042d83ed5cbd9c78,58427,48592882,212942,58421,48608387,212942
04a37fa459f507a6,43527,33692979,215793,43492,33708909,215793
04c648056bd5ad14,91982,82139332,216232,91940,82155682,216232
052616ff32a367c7,75511,65682198,196088,75486,65705094,196088
05838b167053420d,63857,54002427,211103,63837,54015712,211103
058ffe51f5e5f50e,19025,9171530,205946,19007,9187007,205946
05ab586d9884307c,96756,86902215,204710,96730,86919124,204710
05d1f6a36da11a9d,97544,87689478,215284,97525,87709079,215284
05d2648b658b0dd8,80335,70501263,231431,80302,70518839,231431
05f31f6780a679ab,93869,84035121,214910,93835,84051617,214910
05f87a945317ea9e,32728,22894100,211884,32693,22909334,211884
060162f30b32be85,30286,20453883,212062,30254,20470799,212062
062a89ab7b1f8007,100184,90362180,213143,100165,90384850,213143
063d9ad654c3aab2,42735,32897788,215938,42706,32914118,215938
06684d52ce3dfb00,52961,43110462,212635,52929,43125773,212635
06ae710005b75822,96138,86320518,213781,96120,86336936,213781
06b3df70766fbd70,35103,25249047,213406,35089,25303532,213406
06deb97960c360df,100752,90917137,203892,100737,90951569,203892
070ea13b599b4de4,77278,67442865,232814,77242,67459036,232814
0744bd9eda78a119,23249,13397517,207862,,,
0755ffc08928433a,108307,98453324,216487,108300,98514509,216487
076e3741a9a64cac,30631,20772907,210589,30612,20790672,210589
0777648c3c45cd0e,90111,80281125,217086,90082,80297711,217086
07b3a58ca2d2a86d,37051,27199643,212896,,,
07cb7e1f3ab92adc,91543,81688659,214793,91522,81701705,214793
082a8f1bded4c9e0,100120,90295452,216963,100101,90319454,216963
08475c49997e631f,38030,28180161,211386,38013,28200232,211386
08566d23087afea7,118678,108847722,206248,118647,108863396,206248
0858690504945137,39949,30098159,213889,39928,30113471,213889
08896f57784cdf86,82552,72720905,215354,,,
08b3f4326cdb1459,82272,72419451,212957,82235,72449037,212957
08ef27ec7fd01d0a,21103,11254654,212596,21083,11271630,212596
090552071179d379,19530,9686195,204634,19490,9701020,204634
09462f9a6dfd721c,114790,104969848,206918,114769,104985186,206918
096861f758e142d3,39641,29808996,212918,39608,29825191,212918
097b5cfcbde80533,14377,4538428,214692,14338,4553750,214692
09dbed8b2ed7aac4,,,,85357,75571654,205480
0a1f383f0720b082,37241,27393410,212579,37212,27413507,212579
0a36d04c1999680b,41351,31498622,214299,41326,31515298,214299
0a70c0407160d95c,49406,39555632,217602,49370,39580044,217602
0a83eb4497c7f3e8,76302,66459934,215848,,,
0a8a14af4e659e1e,82770,72919016,215861,,,
0aa34be144d88ec6,27630,17779165,215319,27610,17795969,215319
0ab5c154e37c1bab,62405,52570712,211685,62369,52585691,211685
0ab9b3bde308163c,50783,40960768,218029,50764,40982759,218029
0ac9596a99efb0fb,41755,31931689,208228,41731,31947137,208228
0bbf4c8423232512,50092,40249609,216445,,,
0be1b40d30678ccf,72406,62580147,214280,72383,62602848,214280
0bfa9eec65f518bc,81252,71418176,211792,81217,71433437,211792
0c1b584a66e08541,16610,6791345,216220,16595,6811638,216220
0c74d4dfcd66c826,57384,47541041,213246,57382,47565155,213246
0c8a0b4f427789f4,101194,91340744,216210,,,
0c97860c42dfa139,40807,30977014,211570,40778,30992733,211570
0c999ccc30d431dc,37801,27977006,211538,37779,27997491,211538
0c9cdefb2b31873c,11490,1671319,214749,11470,1687072,214749
0cb4c0540038fb94,33642,23810746,212503,33611,23827421,212503
0cc1d463e9e310b9,13582,3755974,213950,,,
0cfd9c2cf7f00044,,,,104435,94631526,208891
0d0deb8bb851dbe4,49748,39916908,203176,,,
0d1fb995225b0278,30761,20906439,213533,30740,20925787,213533
0d24828d7fe20259,101453,91596483,214222,101437,91617348,214222
0dad44dcf3e3120e,50254,40399606,205474,,,
0dc56805797a0080,36857,27003094,212620,36838,27025896,212620
0e0d13e74e3ab96f,102740,92899022,215035,102703,92922640,215035
0e1cc7a902f3c096,47520,37665770,216364,,,
0e7290e379304633,21568,11737333,205568,21537,11753055,205568
0eb15dde6da0f29b,13364,3517860,214690,13326,3533728,214690
0f01f3f5e219ba0d,21510,11670703,206698,21477,11685440,206698
0f1838c86354670d,68845,58991616,214082,,,
0f357bdca1f7a95d,59005,49144864,230426,58946,49162689,230426
0f3edd6f98b23c19,,,,96672,86857015,205524
0f5425d2d95a77bb,54230,44378916,213433,54197,44394289,213433
0f74652e333efc84,70476,60655487,215085,,,
0f7fdeb944ec4207,,,,106579,96793637,205196
0fcbcf72433f5378,65786,55931793,213263,,,
0fd6c6f7a3be9fdc,40370,30518086,213330,40344,30533866,213330
1077e34fbba2167f,,,,39270,29469099,213292
