content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
0003c4177019c34e,50592,40685805,197745,,,
00074bec1977bd23,51608,41682276,216295,51457,41672536,216295
0013d05d6a49d514,100341,90453245,214421,100237,90457652,214421
003ead420024c98b,34917,25077922,214708,34790,25019388,214708
004b7433c7731912,,,,17503,7738317,213488
00555b7df4e1024a,20198,10327283,214838,20090,10306418,214838
00890ec9c49297ec,22229,12319239,234216,22078,12301532,234216
00a04fec54b8fd96,26866,16981322,213571,26741,16960899,213571
00bd23ab3b2be530,104880,94881145,214573,104659,94881870,214573
0105bfa8171d159d,58877,48947078,215339,,,
010b7d6627a41691,95857,85963570,213967,95718,85951681,213967
01153e0398dee1f3,29677,19793286,214507,29569,19782225,214507
011689fed78a6ea4,52070,42165406,212092,52006,42161970,212092
01335496c62e8d0a,38599,28729512,215851,,,
013370118cdff3f5,100697,90825830,214707,100586,90814850,214707
013de6fac7b01002,48004,38143220,212903,47918,38146575,212903
014a8be0aba24892,19284,9428141,202491,19247,9426103,202491
0175fe9cd0de057f,88559,78687452,478344,,,
019951ae932dd628,30887,21037561,214238,,,
01afe57fbffec637,117728,107827994,214874,117602,107822151,214874
01c306204ab965c4,52752,42899235,212708,52670,42880635,212708
0200cb0aeaad7273,17615,7585719,212780,17384,7563343,212780
02253e819aa20433,,,,95943,86160951,214175
022ba26057f673a5,78851,68953819,217856,78712,68910390,217856
0247d8ac1a6f509d,37233,27382265,204033,37101,27324595,204033
024d80a400a01036,22531,12665090,238038,22393,12631819,238038
025e4401ba2dbf32,54034,44171512,214065,53984,44180248,214065
0260e13f67b06555,63503,53636881,212988,63403,53639630,212988
027e9aaf8bb26372,19416,9552800,200013,19372,9547424,200013
02913a1f20442bb7,44187,34306950,216799,,,
02a22c19ead2a92c,50042,40164384,217005,49943,40172519,217005
02c63fd821c209ab,,,,21032,11272494,455622
02cacfe3944faa16,41727,31865144,212578,41644,31906117,212578
02e08eaab54075a3,94247,84373014,211794,,,
02f38b8d41aa52fa,16265,6385772,238712,16137,6364503,238712
030d60f043ddca61,111613,101749539,215063,111542,101727620,215063
0312bc61e6a0b0e3,80670,70805804,207989,80583,70797567,207989
03307db49a7b0b82,25292,15414084,214093,25220,15423951,214093
0341c146113161f3,43710,33795607,238574,43564,33801492,238574
03464498cb17e473,20896,10995188,214831,20780,10993276,214831
03794244ff35a87d,97803,87958084,213596,97696,87914862,213596
03a02a002303b214,49387,39523835,200261,49285,39518199,200261
03d283f3911ea6ea,,,,61506,51710536,197016
03d94cbd8e70d5a3,101521,91616157,213926,101432,91611512,213926
03e32537a2c0f810,94846,84901287,214271,94700,84894692,214271
0403f101b95688e7,112102,102251333,215012,112009,102223543,215012
040d758b90885b3a,78663,68697078,215072,78512,68694738,215072
041d9f0d24602635,29335,19380283,201590,29205,19381979,201590
04506c0649b54ad6,16803,6845584,214574,16600,6810574,214574
048984679a12ea8a,55063,45167352,211796,54952,45161530,211796
04bfeb5b2cc9cd4e,60877,51002523,215385,60771,51007413,215385
04d1661d93216f1c,37804,27912090,215016,37687,27908050,215016
04e2cb5649e987c8,84271,74400277,209469,84218,74393724,209469
04e7fe3cec9d5c4e,71725,61812825,206000,71618,61852415,206000
04f655f319ae4fea,32810,22942391,213523,32712,22920633,213523
