content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
0004a3ebf5fa0ab2,79726,69785308,131759,79729,69795216,131759
00213d2c3022516f,106969,97120894,138993,106901,97131183,138993
0030d6a672d8fb23,29242,19379921,139660,29182,19394368,139660
00365e756a0f2c08,81915,72039428,132006,81848,72049484,132006
005e4c0811eddee8,74177,64346343,343925,74140,64373496,343965
0071d67c3b006229,109854,99984293,138076,109796,99994707,138076
00974f2978f1e8b5,117217,107361261,139048,117153,107372126,139048
00b12261e9b905fb,110234,100349781,131845,110212,100360124,131845
00b97b44b8b2d224,54137,44300078,102794,54162,44311275,102794
00c7a847cc24f921,33547,23640831,131027,33540,23658870,131027
00e770b97d46c449,76447,66559252,131196,76410,66569125,131196
00f3df641094872c,43812,33918896,131244,43786,33928829,131244
00f3eeff5811870e,43908,34018771,130847,43876,34028516,130847
00fbed1e30ca62d6,42101,32221780,132983,42052,32231591,132983
00fe8c263b6bd669,38735,28863720,138861,38677,28873398,138861
0108222c5df77073,56498,46605020,131122,56462,46615596,131122
01472bb5f0949399,90479,80620772,139564,90417,80630875,139564
018359f1c0a19f27,26864,16969017,129404,26853,16980298,129404
01cbefa6920a73a2,12001,2159224,136608,11940,2168904,136608
01d9066aaf8a9326,73614,63760481,139543,73543,63770558,139543
01da4e8a19df65ee,30487,20620006,139339,30430,20633634,139339
0210fbf146fff133,81518,71619119,130402,81499,71628893,130402
022304cd8fae4453,112354,102459577,130502,112331,102469372,130502
023573f18c2e5494,16728,6859757,139329,16670,6869856,139329
02496212c303aa37,27207,17319078,130417,27161,17331074,130417
025afadc6331333e,58940,49040657,130403,58924,49051680,130403
025ce0c59fe006fe,103054,93199908,132343,102982,93209486,132343
0263c0424a286b56,109701,99861050,137647,109641,99871417,137647
029416e6a7bbefdd,75664,65802819,141244,75591,65812428,141244
029dbaa745cec8ee,84450,74580504,138541,84390,74590740,138541
02a1a725c3971558,32441,22579708,138351,32387,22594211,138351
02ac1a494abe58f6,90974,81101781,139700,90915,81111616,139700
02adaeae89806089,77830,67960656,138218,77772,67970714,138218
02e1acfa1de7b1ae,35525,25680006,138821,35462,25693931,138821
02f0a5092ddb3fbc,40249,30361171,132286,40187,30370342,132286
02f16c221b29e605,34148,24300365,140825,34083,24313031,140825
0319f69215ded76d,17084,7188896,130459,17066,7198275,130459
033364ea00554510,109069,99201135,139840,109011,99211104,139840
036c523ba28ce659,72544,62640874,129789,72520,62649666,129789
037802f2cd819492,59207,49343960,138360,59137,49355308,138360
