content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
0025b6a47a4b2677,36806,6791816,47420,36883,6780763,47420,36117,6782724,47420
00e77d649cd2b7b6,70083,40069093,50089,70168,40065581,50089,69399,40067740,50089
00eca5e7d6a8a28f,58569,28552742,38745,58652,28550148,38745,57888,28551552,38745
01662954a46745eb,59589,29572998,48386,59671,29569367,48386,58907,29571735,48386
016b8ba20f50081f,79560,49545560,44475,79643,49541082,44475,78878,49544015,44475
01f11d9522a4fdf3,68886,38871814,48985,68971,38868766,48985,68204,38870685,48985
031333ed4a46ea22,83101,53083921,50592,83182,53080266,50592,82414,53082206,50592
03a931cf79900170,57250,27230845,33631,57331,27228606,33631,56569,27229974,33631
03cb64685f72f65c,45855,15841108,45442,45939,15837261,45442,45172,15839264,45442
04126f59d340eaa8,72363,42346813,54026,72445,42343126,54026,71682,42345433,54026
047806100fe4af91,41493,11462311,46872,41559,11457325,46872,40806,11460718,46872
047891112cc91ddb,76025,46008704,46557,76107,46004837,46557,75341,46007048,46557
054af53e138af2f5,83221,53203425,49896,83302,53200179,49896,82534,53202024,49896
05a41797578978ec,39255,9238615,33342,39338,9236112,33342,38571,9237541,33342
05a6b22700ffc3e6,43941,13920567,51383,44019,13916820,51383,43255,13918979,51383
05d36c42a8ddd79d,60072,30052381,50975,60151,30049225,50975,59386,30051204,50975
06397502173f3514,71164,41144986,28406,71245,41143056,28406,70482,41144224,28406
06595f1142c88829,82679,52663207,48017,82762,52660108,48017,81995,52661915,48017
067673530c0b33a6,70330,40316122,51724,70411,40309449,51724,69639,40313178,51724
06d58892f886392c,34519,4504304,58382,34603,4500484,58382,33833,4502640,58382
07006bcd693195f2,31360,1326813,49626,31426,1323711,49626,30665,1325601,49626
0720e771e3a81c05,81421,51405272,49039,81504,51401942,49039,80738,51404044,49039
07377a094331eebe,54084,24070009,48320,54152,24050092,48320,53387,24052450,48320
0749e9ce343a0f38,68045,38030170,33582,68129,38027451,33582,67361,38029056,33582
07643c8b1d7311ce,59168,29153478,45278,59253,29150544,45278,58484,29152199,45278
07af11de462bf465,58091,28075598,49663,58173,28070739,49663,57403,28072570,49663
07b71c1ab7800fff,82620,52603305,46817,82702,52600087,46817,81935,52601943,46817
07df127d5c026f5c,61027,31013199,47711,61111,31009372,47711,60344,31011665,47711
084b58a3bcdbbe01,36737,6721667,47600,36820,6718210,47600,36052,6720399,47600
085e39c90b337f36,71223,41204186,18893,71305,41202707,18893,70542,41203571,18893
08935548af3b3bc6,30862,845223,49054,30943,841059,49054,30179,843337,49054
