ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-20T18:58:21+00:00,1779303501761036393,8.58,6.77,1.81,101568,36,30,644,8.13,7.22,0.23,84.42,1.87,0.00
2026-05-20T18:58:23+00:00,1779303502911241837,4.42,3.97,0.44,101568,36,30,644,6.40,7.73,0.00,85.87,0.00,0.88
2026-05-20T18:58:24+00:00,1779303504056375373,4.35,1.74,2.61,101568,36,30,644,3.26,11.52,0.00,85.22,13.11,1.74
2026-05-20T18:58:25+00:00,1779303505210149502,4.90,3.56,1.34,101568,36,30,644,12.25,9.58,0.45,77.73,0.94,0.00
2026-05-20T18:58:26+00:00,1779303506352237501,4.92,3.13,1.79,101696,36,30,644,5.15,7.83,0.00,87.02,0.00,0.00
2026-05-20T18:58:27+00:00,1779303507499209593,4.46,3.12,1.34,101696,36,30,644,4.24,6.70,0.22,88.84,0.92,0.88
2026-05-20T18:58:28+00:00,1779303508644737518,4.84,3.52,1.32,101696,36,30,644,5.93,7.25,0.00,86.81,0.93,1.72
2026-05-20T18:58:30+00:00,1779303509790012425,3.55,2.76,0.79,101696,36,30,644,10.06,7.89,0.20,81.85,0.81,1.47
2026-05-20T18:58:31+00:00,1779303511149810017,5.51,2.97,2.54,105664,36,30,644,11.02,8.69,0.21,80.08,6.42,3.51
2026-05-20T18:58:32+00:00,1779303512294985090,4.43,3.55,0.89,105664,36,30,644,6.87,5.76,0.00,87.36,0.00,0.00
2026-05-20T18:58:33+00:00,1779303513443635553,4.40,2.20,2.20,105664,36,30,644,5.27,8.13,0.22,86.37,0.00,1.75
2026-05-20T18:58:34+00:00,1779303514591119922,4.92,3.13,1.79,105664,36,30,644,5.59,7.61,0.00,86.80,1.89,1.75
2026-05-20T18:58:35+00:00,1779303515732144977,4.45,3.12,1.34,105664,36,30,644,7.35,8.02,0.22,84.41,0.00,0.88
2026-05-20T18:58:37+00:00,1779303516876586069,4.50,3.60,0.90,105664,36,30,644,9.68,8.78,0.00,81.53,0.94,1.77
2026-05-20T18:58:38+00:00,1779303518021856624,3.99,2.66,1.33,105664,35,30,644,5.32,6.21,0.22,88.25,0.00,0.87
2026-05-20T18:58:39+00:00,1779303519159287068,4.90,4.01,0.89,105664,35,30,644,6.68,6.24,0.00,87.08,0.93,1.74
