content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
00a3a9573a664ae4,32048,1965392,47976,32072,1962490,47976,31312,1964103,47976
00b328a729f3b70f,83572,53479503,28647,83588,53478401,28647,82832,53478741,28647
00cf99c713d9f8d4,52083,21995813,56323,52102,21993258,56323,51343,21994602,56323
00d8e13abc97b454,48964,18880897,50744,48986,18876961,50744,48228,18879799,50744
00f7a7d7b174f276,76310,46226787,39086,76333,46224258,39086,75573,46225383,39086
0120fad77e047271,39248,9165329,56466,39271,9162325,56466,38511,9161323,56466
01d2c63cf5898e45,37148,7064817,18809,37172,7063053,18809,36413,7064111,18809
01d929b218c5fe4b,68402,38310019,47916,68417,38307682,47916,67659,38308961,47916
01f8cd156c36e319,65037,34949522,50100,65056,34946908,50100,64302,34948454,50100
0203b3ee68d8f459,30977,889018,51433,30995,886217,51433,30241,887779,51433
02223b150c78b400,89504,59421016,49010,89527,59418167,49010,88768,59419831,49010
02925c6bccf55ab9,39369,9286827,56838,39393,9283843,56838,38634,9285133,56838
029ea8d13ea91962,60297,30210788,17803,60319,30209669,17803,59562,30210289,17803
02b11370a6fcb4b5,69771,39685771,45322,69792,39683341,45322,69034,39684476,45322
02bb017da2cc85a1,81468,51383930,53125,81491,51381644,53125,80732,51382935,53125
02d264988e877995,32353,2264761,50963,32372,2262504,50963,31618,2263741,50963
02dbeaec801c34d1,43506,13423746,36889,43530,13420707,36889,42770,13422410,36889
02f06a28b3d9855d,89085,59000277,47606,89107,58998055,47606,88349,58999214,47606
02f84fe1e6b26dec,74154,44066153,41617,74173,44063879,41617,73418,44065222,41617
034c5df039a75ffb,74690,44605920,38555,74713,44604032,38555,73954,44604904,38555
036b2d0104cd5aba,81347,51263744,52567,81370,51261179,52567,80613,51262673,52567
03fd3ee10f871094,77391,47304160,51584,77410,47300558,51584,76652,47302812,51584
041c5340df02961f,52978,22894279,27147,53002,22892882,27147,52242,22893528,27147
046933360faf2a75,32663,2564895,50098,32672,2562618,50098,31918,2563905,50098
048ceb2acee2a29f,36610,6523908,26145,36632,6522580,26145,35872,6523323,26145
053fd88ff896711e,68036,37952522,45614,68058,37949085,45614,67297,37950375,45614
05c2f09819f4e9cd,54900,24814020,17898,54922,24812983,17898,54164,24813369,17898
05ffc11631209f36,56583,26497761,47885,56604,26494353,47885,55846,26496334,47885
0626330f18253c63,72290,42207388,57828,72313,42204225,57828,71554,42205908,57828
0643c58d179dddf2,69890,39805600,48057,69913,39803423,48057,69154,39804619,48057
07b0cd429b1fe1e4,83013,52883064,58253,82993,52883835,58253,82262,52881701,58253
07e08b32897c04c7,85126,55041693,29998,85149,55040077,29998,84391,55040037,29998
08134b8e96aeb8a9,36069,5986176,51766,36093,5983805,51766,35335,5984799,51766
08dd102eeaf95417,75231,45146216,37809,75253,45143967,37809,74493,45145180,37809
08f99ea5bb0f354b,56702,26616037,47946,56723,26613696,47946,55965,26614963,47946
093b1298b0c96605,72230,42146661,54130,72253,42143843,54130,71494,42145424,54130
097fc4371bc44c58,49563,19480028,41289,49586,19476768,41289,48826,19478974,41289
0a7cb410d8136325,62764,32681575,60595,62784,32675136,60595,62029,32680006,60595
0a97518d99479c07,69417,39327824,5417,69436,39326961,5417,68679,39327307,5417
0b2f0ec5588c2056,50052,19965938,54722,50066,19956883,54722,49308,19964297,54722
0b592883c81d5c09,57958,27872377,50347,57979,27869962,50347,57220,27871472,50347
0b5fd08cf77311c7,51155,21034697,29615,51142,21032824,29615,50384,21033925,29615
0b656a118a5b8ad4,63417,33331198,53197,63441,33331935,53197,62682,33329516,53197
0b6e198a18cd5434,56942,26856134,48740,56963,26853718,48740,56203,26855040,48740
