content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
0019d89a5477bb08,72146,42171484,58663,72298,42161013,58663,71450,42165335,58663
004aace9385d010b,33631,3658403,28909,33793,3656225,28909,32940,3657693,28909
006b70c2c418b162,85629,55652342,5259,85788,55651461,5259,84934,55651821,5259
015534c58765e282,53366,23390757,59849,53525,23387543,59849,52674,23389449,59849
017b0e02cc6b8c40,75853,45881560,57875,76016,45878645,57875,75160,45880541,57875
01f209813fed1a5f,45329,15353878,46104,45487,15350428,46104,44631,15352806,46104
021ed0ece55ac88a,55284,25312786,33073,55445,25308039,33073,54589,25309856,33073
0251c968e5e6005b,79090,49118396,59475,79252,49115202,59475,78396,49117016,59475
02ab0da4389db063,86933,56914344,34666,87049,56911902,34666,86239,56913319,34666
030716a121b47ddb,30396,421768,29840,30557,420173,29840,29703,421004,29840
030867109635d8f7,60776,30804826,47202,60913,30776122,47202,60073,30790705,47202
031c6619489c9ab5,73271,43299560,31632,73435,43297865,31632,72579,43298758,31632
034d27db54f4a6a3,58458,28486866,44581,58621,28484216,44581,57767,28485890,44581
039ade6c66e9c1a6,48086,18112040,23893,48247,18110267,23893,47394,18111276,23893
03f5b796d077761e,38074,8102741,54847,38235,8097658,54847,37379,8100737,54847
03ff1857e182a3b0,82090,52118443,55048,82252,52115394,55048,81398,52117224,55048
057b8ce7918be7d6,69500,39524547,50148,69658,39521445,50148,68804,39522973,50148
05fd046343223887,66139,36162991,31242,66298,36160955,31242,65443,36162174,31242
06f7adea837ee2d6,79871,49896092,20773,80032,49894596,20773,79178,49895385,20773
0704fa4aeb63a4dc,52283,22309457,34534,52444,22307164,34534,51588,22308528,34534
081c775c0ddcb599,51801,21829438,34963,51964,21827074,34963,51109,21828326,34963
082db2a3c72d19a6,79571,49598363,59923,79732,49594972,59923,78878,49596966,59923
083b3bf14d47c577,67696,37724767,53354,67858,37721133,53354,67002,37723222,53354
08479fdc2cf5adbe,70099,40127533,56119,70259,40121899,56119,69406,40126167,56119
08744878e30df2cf,32611,2639972,63045,32774,2636702,63045,31920,2638760,63045
08d8e5888b34d569,37652,7680704,53490,37814,7677428,53490,36960,7679499,53490
09088c9c487aab33,83288,53315528,65627,83449,53311625,65627,82594,53313985,65627
090c41f860273368,53067,23092969,64907,53226,23088759,64907,52374,23090826,64907
0956e67adf6f3809,85927,55953469,29539,86089,55951574,29539,85233,55952740,29539
099d90f93a9d02c9,70280,40309496,57037,70441,40304472,57037,69586,40306676,57037
09fe7652f630301e,44070,14095116,18976,44231,14093575,18976,43374,14094195,18976
0a150c6928926b22,53963,23990571,55968,54124,23987518,55968,53269,23989392,55968
0a7ccad77bda6805,66862,36884438,57863,67018,36881201,57863,66165,36883088,57863
0a8279237927cf95,68778,38805111,58546,68939,38801716,58546,68082,38803897,58546
0a88dea08a6a1e20,40109,10136638,36852,40271,10133989,36852,39416,10135580,36852
0a9f53c9aa57edc6,47246,17274400,43965,47408,17270776,43965,46552,17273126,43965
0aacda21a64c6d51,56367,26390644,48451,56525,26387968,48451,55670,26389683,48451
0b95c9546ff4f479,80829,50857962,53388,80992,50854972,53388,80137,50856743,53388
0bf52065e7e23d24,44848,14876676,47442,45011,14874159,47442,44157,14875585,47442
0c332bcbcee681d3,45269,15293479,47310,45427,15290272,47310,44571,15292084,47310
0cac96f271ca1a87,34910,4919550,40530,35054,4916705,40530,34218,4918364,40530
0ccf7f4e3db430af,84071,54092395,20367,84228,54090983,20367,83373,54091689,20367
0cf34fadfb8d0c59,68959,38985686,59059,69119,38981828,59059,68266,38984345,59059
0d4ca4a922019354,30218,241548,29958,30377,239882,29958,29524,240878,29958
0d5223162dbdbe87,76579,46599856,19838,76735,46598188,19838,75885,46599029,19838
0db7a5f2d8fd3bdd,31057,1084592,61814,31218,1080568,61814,30364,1083387,61814
0dd9a6fe87fc52e5,62901,32929419,57734,63063,32926300,57734,62208,32928187,57734
