content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
00735a3293c708ee,87168,57150781,7377,87255,57149641,7377,,,
00c5d717a865ea3f,30558,537213,37810,30640,534487,37810,,,
0125fe49c313758d,84110,54092998,47494,84195,54090211,47494,83521,54171790,47540
0189c9bbc0f0e143,44285,14271063,39444,44373,14268286,39444,,,
01dd7b17339e59d2,84051,54033298,47704,84135,54030051,47704,,,
020c925bf668fdcc,65577,35562993,51728,65665,35559817,51728,,,
0222c6b910ab6ece,67380,37362252,41480,67465,37359613,41480,,,
03b34fc14c6f13e6,48069,18052278,38475,48154,18048983,38475,,,
03eca6407de89a34,80632,50617571,61230,80719,50613576,61230,,,
03f389e58df4a012,52389,22368627,33487,52471,22365849,33487,,,
04119b1a22813c76,75778,45760605,50396,75862,45756888,50396,,,
042fae4ffa730ae7,63722,33704443,50239,63806,33700387,50239,,,
04424718bc9bbc8c,41527,11513979,35133,41617,11511723,35133,,,
0480c159e45d8782,49628,19612852,38801,49715,19610319,38801,,,
04ebcad985e6a6ae,89278,59254570,36488,89357,59251600,36488,,,
0515709fff1dd51b,54783,24766512,16795,54870,24765188,16795,,,
054f99051a1f288f,74399,44377683,23185,74481,44375885,23185,73814,44469592,23231
059cdb82422ba1ad,80270,50255693,37121,80358,50252833,37121,,,
0644673faab8fcb4,44167,14151284,39969,44253,14148268,39969,,,
0665986cd140a2ca,48426,18412721,38553,48515,18410236,38553,,,
068faa735ba4cf3f,73854,43839946,49959,73942,43836535,49959,73274,43919506,50074
06ed716d614ff085,68216,38202874,41978,68305,38199823,41978,,,
06ef3f88c80b4dfc,86272,56258804,53094,86359,56254250,53094,,,
07846e65f2a42643,38178,8164556,39974,38263,8157846,39974,,,
07e40c2c0b56051d,34458,4444182,39394,34542,4436395,39394,,,
07f2f25a1b4ebead,88848,58831147,12757,88935,58829605,12757,,,
0825908f5a92079b,36195,6178102,40383,36281,6175435,40383,,,
08327ebf14e42e63,43309,13252624,37923,43355,13249920,37923,,,
08affc7ab2802cf7,81175,51155266,29336,81258,51152835,29336,,,
08be5828c90dcca8,67440,37424566,67876,67525,37420257,67876,,,
094a8690df3c3ddc,75299,45285224,49981,75385,45279712,49981,,,
096814f06068e87b,81055,51040404,58203,81139,51033757,58203,,,
0a454426ab9b24a4,62642,32624702,34204,62728,32622475,34204,,,
0a87782385daa78f,64800,34782578,33893,64885,34780250,33893,,,
0a8a66324bb15fac,86752,56734337,37731,86837,56731530,37731,,,
0aafd6ddb09cf5e5,88908,58890762,12180,88995,58889622,12180,,,
0acb5ae58961ced0,46990,16971727,42784,47074,16968575,42784,,,
0aeb3ca791e730c7,65997,35981752,38292,66084,35979188,38292,,,
0b3ee26f2761e9df,69322,39285135,43794,69387,39281572,43794,,,
0b5b4f7739ccda8b,48735,18714283,37908,48816,18710991,37908,,,
0b94a3da27ee0938,59782,29685160,40152,59787,29682195,40152,59176,29774415,40175
0bca7aedcfbb82e9,79435,49415126,30864,79518,49412720,30864,,,
0bcc5e555c379511,89696,59675710,58604,89777,59671433,58604,,,
0c40df08f46d841f,56107,26087454,28185,56191,26085560,28185,,,
0c7223b81df05a27,38953,8935781,35562,39038,8933118,35562,,,
0c753f4d1d4ca19c,52090,22069055,34838,52171,22065925,34838,,,
0c802475f319f4f5,83513,53494419,65526,83596,53490539,65526,,,
0c8baca53481e525,45968,15951492,41405,46054,15948525,41405,,,
0cac44d522331ffe,78292,48273781,20463,78377,48272250,20463,,,
0cc31d79cff84ae0,86090,56076157,52312,86178,56072840,52312,,,
0ce87e834e12bc05,32174,2157432,37913,32260,2154774,37913,,,
0d2e7e808a7e5ea5,67136,37122345,41088,67225,37119673,41088,,,
0db4864b79f7c29c,67978,37962464,42006,68065,37959726,42006,,,
0dbdc40548a8fbd2,76195,46177825,25439,76281,46176098,25439,,,
0dca4533fbe84128,57001,26985924,57262,57087,26982303,57262,,,
0ec39f4c5a9a109b,80572,50557386,60641,80659,50553534,60641,,,
0ec5d888d8bd0d64,79555,49535006,28421,79638,49532676,28421,,,
0ef7cb5052bb9428,58923,28908048,39879,59009,28904145,39879,,,
0f3895b7115d612d,44707,14691030,39332,44793,14688235,39332,,,
0f50d2b47c5a5d0e,43992,13975201,57642,44077,13971526,57642,,,
0ff60dd29975e2c0,57307,27289547,60659,57390,27285271,60659,,,
1009f45fcc698c90,88611,58593264,42287,88696,58590702,42287,,,
102b06a2e88dd51d,55445,25430662,57778,55532,25426454,57778,,,
109a814b7e5cc1c8,86990,56971380,23892,87075,56969721,23892,,,
10ae61295f3fa824,88789,58770981,13626,88875,58769690,13626,,,
10cfc6ebe428b201,81414,51395332,26434,81498,51392800,26434,,,
112cd31f953fcfd4,55205,25189989,55983,55292,25186419,55983,,,
117b45b73d512442,34638,4617881,39444,34720,4615123,39444,,,
11804f749c878070,74459,44438043,22716,74541,44436091,22716,73874,44509986,22716
1213e5444b80ee9a,63783,33765713,51302,63867,33761485,51302,,,
1222f0aa5a90b07d,85728,55713898,49824,85815,55710277,49824,,,
125f84b7d7b071a0,54305,24290120,37547,54393,24287354,37547,,,
12709c1d25a496d1,66416,36401888,40891,66504,36399267,40891,,,
128d6b24fece3ec2,46692,16671359,42324,46774,16668455,42324,,,
12afeace4de24858,79015,48997376,60368,79099,48993437,60368,,,
146b4a1af6143fd6,42371,12354096,34671,42457,12351772,34671,,,
1479053f0133c44a,53228,23214633,48344,53316,23210896,48344,,,
148645c5c5914cbc,40643,10616190,35610,40718,10613300,35610,,,
16058769ff183537,85437,55412888,44460,85515,55410139,44460,,,
1621c9821ec055df,81712,51695121,26185,81798,51692850,26185,,,
1649bf2b0019e42c,37030,7015581,40306,37117,7012187,40306,,,
167db3c2deaa7bbb,79315,49301444,60640,79399,49293838,60640,,,
16c9ba4ffa872c67,89457,59434852,57479,89536,59431250,57479,,,
16ce350e7ea8765b,82431,52417886,39073,82520,52415139,39073,,,
16d8938bd10a2366,78593,48576789,56769,78678,48573297,56769,,,
17391bba3e447664,45067,15051228,40052,45154,15048430,40052,,,
1742f984578856e6,66356,36342038,40720,66445,36339438,40720,,,
1770070ba9c7f2ed,32632,2577747,37659,32680,2575191,37659,,,
177af5c3a1f34cb9,88133,58114438,54367,88216,58111107,54367,,,
18086cf1b20ae36a,57548,27530277,60487,57631,27525831,60487,,,
181a7981b30bf277,53770,23751122,50018,53853,23747844,50018,,,
18ab212549c5f5a8,65039,35021473,34633,65124,35019002,34633,,,
18d020825aa0e5df,60486,30465005,37603,60567,30462317,37603,,,
193e2afa013acea4,54903,24887607,27226,54991,24885649,27226,,,
19443bff433a8a2e,89398,59374576,55718,89476,59370992,55718,,,
196d046dda221371,65099,35082823,48484,65185,35079697,48484,,,
1976e558db21f271,68338,38324577,41762,68425,38320105,41762,67748,38401439,41946
1987459b621c7004,82732,52718660,36016,82820,52714926,36016,82145,52800701,36062
19a9d1c5080eb523,42013,11996244,51583,42098,11992375,51583,,,
19d26ab82d2a0f66,70254,40238512,40506,70341,40235862,40506,,,
1a51b17584f5cc6a,80331,50317622,55250,80419,50313371,55250,,,
