ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-20T19:39:45+00:00,1779305985447584968,9.15,7.32,1.83,101032,37,30,760,8.47,7.55,0.00,83.98,0.00,0.00
2026-05-20T19:39:46+00:00,1779305986593082727,5.79,4.90,0.89,101160,36,30,760,5.79,6.46,0.22,87.53,0.94,0.00
2026-05-20T19:39:47+00:00,1779305987737390004,5.74,3.97,1.77,101160,36,30,760,7.95,9.27,0.22,82.56,0.93,1.71
2026-05-20T19:39:49+00:00,1779305988904188466,5.73,4.41,1.32,101160,36,30,760,7.05,9.03,0.00,83.92,2.78,1.74
2026-05-20T19:39:50+00:00,1779305990052250151,5.26,4.39,0.88,101288,36,30,760,6.14,7.46,0.22,86.18,1.85,0.00
2026-05-20T19:39:51+00:00,1779305991197708557,6.19,3.98,2.21,101288,36,30,760,10.18,9.29,0.00,80.53,2.83,0.00
2026-05-20T19:39:52+00:00,1779305992342650427,6.14,3.95,2.19,105512,36,30,760,22.59,10.75,0.22,66.45,15.89,4.35
2026-05-20T19:39:53+00:00,1779305993492801000,6.24,4.01,2.23,105512,36,30,760,24.05,13.14,0.00,62.81,45.87,31.30
2026-05-20T19:39:54+00:00,1779305994642410555,6.62,5.30,1.32,105512,36,30,760,14.57,9.27,0.22,75.94,14.68,16.38
2026-05-20T19:39:55+00:00,1779305995794722277,6.76,4.05,2.70,105512,36,30,760,5.18,7.88,0.23,86.71,1.87,0.86
2026-05-20T19:39:57+00:00,1779305996952067832,6.59,3.96,2.64,105512,36,30,760,7.91,8.35,0.00,83.74,4.67,1.71
2026-05-20T19:39:58+00:00,1779305998121967442,5.64,4.34,1.30,105512,36,30,760,27.98,13.45,0.22,58.35,36.94,16.24
2026-05-20T19:39:59+00:00,1779305999300665441,6.18,3.97,2.21,105512,36,30,760,8.17,11.26,0.22,80.35,7.48,7.02
2026-05-20T19:40:00+00:00,1779306000444682515,5.75,5.31,0.44,105640,36,30,760,6.86,6.64,0.00,86.50,0.94,0.00
2026-05-20T19:40:01+00:00,1779306001586170477,5.62,4.32,1.30,105640,35,30,760,5.18,9.50,0.22,85.10,10.83,0.00
2026-05-20T19:40:02+00:00,1779306002737998902,6.64,4.87,1.77,105640,35,30,760,13.72,11.73,0.00,74.56,6.36,0.88
2026-05-20T19:40:04+00:00,1779306003893006846,5.86,3.60,2.25,105640,35,30,760,2.70,8.56,0.23,88.51,1.83,0.87
2026-05-20T19:40:05+00:00,1779306005042657049,6.79,4.07,2.71,105640,35,30,760,4.75,7.24,1.36,86.65,0.00,0.00
2026-05-20T19:40:06+00:00,1779306006185972585,6.24,4.45,1.78,105640,35,30,760,4.68,7.57,0.00,87.75,0.00,0.86
2026-05-20T19:40:07+00:00,1779306007339508585,5.36,2.68,2.68,105640,35,30,760,4.91,6.92,0.22,87.95,0.94,0.00
2026-05-20T19:40:08+00:00,1779306008493606584,6.94,4.34,2.60,105640,35,30,760,11.50,11.71,0.00,76.79,6.36,4.31
2026-05-20T19:40:09+00:00,1779306009675799380,6.65,4.43,2.22,105640,35,30,760,5.76,8.65,0.22,85.37,1.89,0.87
2026-05-20T19:40:10+00:00,1779306010826276008,5.33,3.56,1.78,105640,35,30,760,4.67,7.78,0.22,87.33,0.93,0.86
2026-05-20T19:40:12+00:00,1779306011976800452,5.79,4.45,1.34,105640,35,30,760,5.57,7.13,0.22,87.08,0.94,0.87
2026-05-20T19:40:13+00:00,1779306013127324563,5.79,4.01,1.78,105640,35,30,760,11.58,8.91,0.00,79.51,0.00,0.88
2026-05-20T19:40:14+00:00,1779306014276177025,7.10,5.32,1.77,105640,35,30,760,11.97,9.76,0.00,78.27,1.90,1.77
2026-05-20T19:40:15+00:00,1779306015420630080,5.68,3.49,2.18,105640,35,30,760,5.90,8.52,0.00,85.59,0.93,0.00
2026-05-20T19:40:16+00:00,1779306016565569931,5.25,3.06,2.19,105640,35,30,760,5.69,7.44,0.22,86.65,0.92,0.86
2026-05-20T19:40:17+00:00,1779306017717294449,6.54,3.49,3.05,105640,35,30,760,6.10,8.28,0.22,85.40,0.93,0.00
2026-05-20T19:40:19+00:00,1779306018873791763,5.62,4.32,1.30,105640,35,30,760,12.31,9.94,0.00,77.75,2.73,1.72
2026-05-20T19:40:20+00:00,1779306020043776577,6.67,3.56,3.11,105640,35,30,760,8.22,7.78,0.22,83.78,0.00,0.88
2026-05-20T19:40:21+00:00,1779306021185937039,5.29,3.96,1.32,105640,35,30,760,5.73,8.15,0.22,85.90,0.00,0.88
2026-05-20T19:40:22+00:00,1779306022328750946,6.54,5.23,1.31,105640,35,30,760,7.19,7.41,0.00,85.40,0.92,0.00
2026-05-20T19:40:23+00:00,1779306023506053871,6.11,4.37,1.75,105640,35,30,760,8.73,9.17,0.22,81.88,0.93,0.00
2026-05-20T19:40:24+00:00,1779306024654949648,6.70,5.80,0.89,105640,35,30,760,7.37,7.37,0.00,85.27,1.89,0.88
2026-05-20T19:40:25+00:00,1779306025796278722,6.22,4.00,2.22,105640,35,30,760,10.89,8.89,0.22,80.00,2.83,0.00
2026-05-20T19:40:27+00:00,1779306026942015369,6.49,4.76,1.73,105640,35,30,760,6.71,8.01,0.22,85.06,0.93,0.00
2026-05-20T19:40:28+00:00,1779306028092753850,6.58,4.82,1.75,105640,35,30,760,7.02,7.24,0.00,85.75,0.00,0.00
2026-05-20T19:40:29+00:00,1779306029241923405,5.74,4.42,1.32,105640,35,30,760,9.49,9.05,0.22,81.24,0.93,0.88
2026-05-20T19:40:30+00:00,1779306030389797589,5.87,5.03,0.84,105640,35,30,760,6.50,11.32,0.00,82.18,17.97,0.87
2026-05-20T19:40:31+00:00,1779306031541387663,5.79,4.45,1.34,105640,35,30,760,7.35,7.35,0.22,85.08,1.87,0.00
2026-05-20T19:40:32+00:00,1779306032686988847,6.21,4.43,1.77,105640,35,30,760,10.42,7.32,0.22,82.04,2.80,0.00
