content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
00df2ad6e0630610,65524,35442998,38796,65544,35440193,38796,,,
0100c01a83d9e8ce,60907,30827194,36735,60929,30824771,36735,,,
0136c80c6ab77400,81363,51280670,55644,81381,51277230,55644,,,
018ef4eaf0479e4b,31102,1021509,31019,31123,1019238,31019,,,
0267884077889e53,39559,9476518,38084,39578,9473691,38084,,,
02c074f01399f221,59886,29806036,37818,59907,29803167,37818,,,
02efe273d7d45576,79018,48937619,53609,79038,48934007,53609,,,
02f3ffbca33547a3,74780,44679286,27998,74781,44677169,27998,,,
02f5946cfca64bad,33921,3838564,39577,33940,3835802,39577,,,
033ec454c35ad0e6,32964,2879100,41445,32980,2875972,41445,,,
034c3288ec17e9b4,56772,26694051,38179,56794,26690148,38179,,,
0443da121a4c4e22,46682,16553336,38913,46655,16550879,38913,,,
04d57844d9a3a5de,70020,39940896,55384,70041,39936886,55384,,,
05359c21d05cef6b,78416,48335184,25648,78437,48333314,25648,,,
05420426e92fef54,72601,42520493,28315,72622,42518040,28315,,,
05664738135711c2,63912,33827040,37941,63928,33823743,37941,,,
05a61510bfdea8ee,83639,53553549,26642,83655,53551525,26642,,,
05ef6eac9d8a11c3,37169,7082363,56948,37182,7078192,56948,,,
06200cf021da752f,88610,58530113,39944,88631,58527191,39944,,,
0644656944b369c3,55090,25011054,41065,55112,25008245,41065,,,
068ec366c4162383,67929,37846630,56495,67947,37843020,56495,,,
06a86a1ad8c7c068,86453,56373842,41880,86475,56371042,41880,,,
07e102a6973c8234,43815,13737786,39381,43838,13733767,39381,,,
08ba3ff715408a45,68348,38265457,54754,68365,38260876,54754,,,
08cd04fefd974fee,79499,49418791,55900,79518,49414135,55900,,,
08e3f9e424edef20,54732,24651397,40626,54751,24647558,40626,,,
097be16304717763,81003,50925196,54271,81023,50919528,54271,,,
09e21e40467c3b46,74376,44259193,30902,74361,44256930,30902,,,
0a5f3584212f7362,44298,14216834,39368,44317,14212836,39368,,,
0ad75de8f2ebbc56,40097,10016934,40608,40118,10014166,40608,,,
0b2f1673801d61b4,41057,10976945,40739,41077,10972642,40739,,,
0b3c5cd1b6664481,78120,48035427,26047,78137,48033377,26047,,,
0b661e9c87f1862e,31578,1497283,27402,31599,1495195,27402,,,
0b6f7d122e85efdb,52750,22668940,39585,52770,22666316,39585,,,
0bed39a037782df0,77882,47797525,55609,77898,47794120,55609,,,
0c537f6d199e55bb,50651,20572498,38160,50674,20570093,38160,,,
0c748340f81209cb,67022,36942899,36962,67044,36940340,36962,,,
0cc1fdc78d3dbf46,75483,45401821,60812,75502,45398090,60812,,,
0ccc0bbf04740dea,85557,55476397,40862,85576,55472390,40862,,,
0ce819f696ee4749,53427,23334210,66894,53434,23330324,66894,,,
0d0ab819cc21bafa,83998,53916018,67058,84016,53911804,67058,,,
0d168c0749d46a25,83279,53200153,59171,83299,53195377,59171,,,
0d5a1c0708c2c0e8,61691,31606411,36643,61707,31603505,36643,,,
0d67f7ed56902bfa,83938,53853161,26737,83955,53851275,26737,,,
0d8035055f45eb93,57312,27229945,37174,57331,27226669,37174,,,
0d9039c68b635c43,46090,16023243,39784,46086,15982105,39784,,,
0dbb870e48f9642e,80577,50497479,34301,80599,50495181,34301,,,
0e69f603cadca02c,89990,59911423,35942,90013,59908984,35942,,,
0e9195aaef956f30,40699,10615319,40047,40716,10612580,40047,,,
0eb9e0c5a7fa476a,68766,38685557,39614,68786,38682518,39614,,,
0ebc6ff59c9763bd,71103,41018142,26048,71120,41016292,26048,,,
0ec600f0e6236d6d,43282,13195836,41998,43297,13192919,41998,,,
0ee69169436f0978,64385,34302776,38724,64404,34300188,38724,,,
0f636931f79c4c16,55633,25553169,40679,55654,25550454,40679,,,
0fb7d36b1dd8f858,83699,53613314,26584,83715,53611527,26584,,,
0fc00f37c8de9167,70626,40541520,57349,70641,40537283,57349,,,
1003ccb7ef832ce7,57431,27349706,38050,57451,27346793,38050,,,
111958181571c2c4,47596,17512477,38078,47614,17509789,38078,,,
113c4a0154d6b74c,36980,6900038,53233,37001,6896673,53233,,,
11e61ffd634a4a38,79260,49181709,56018,79281,49176803,56018,,,
12376b2e0fdabb4b,30262,182068,37072,30283,179148,37072,,,
127793b1a7ddca0b,37287,7199034,41177,37300,7196171,41177,,,
13021d2eb358bc6e,52571,22489306,39227,52590,22486316,39227,,,
132c0dee51f7b05b,35779,5698179,35199,35800,5695923,35199,,,
1363f045db865e94,68109,38026107,56011,68127,38022747,56011,,,
139a221a0ea5e339,60667,30586038,38769,60687,30583155,38769,,,
143add88bb5263fa,47009,16914209,38660,47015,16911526,38660,,,
1466aa7286881682,71884,41801048,56812,71901,41797434,56812,,,
14efc59dcba25751,39018,8939654,64431,39040,8935720,64431,,,
1533f8a78d6f15dd,83459,53381311,28149,83483,53379036,28149,,,
15347932a88da02b,36261,6181515,35159,36283,6179026,35159,,,
154b51c5c353b1a9,53957,23871226,40349,53972,23868510,40349,,,
1594af69785d2b2d,32363,2285604,41639,32386,2282136,41639,,,
15ca0a6e66939d85,69485,39402797,24410,69505,39401114,24410,,,
15d7264538ec1e24,71577,41499035,34771,71600,41496504,34771,,,
162db2551a591407,79200,49120717,55483,79221,49116900,55483,,,
16b231f52d808ec3,49154,19073663,37765,49175,19071229,37765,,,
16cd80c8039fa72d,53367,23272730,40627,53373,23268869,40627,,,
16d7105119b50079,42436,12358456,42322,42459,12354623,42322,,,
170e44a5ccc1cb9a,52631,22549338,39375,52650,22546357,39375,,,
172ce20f00fcb1ff,66366,36283103,39505,66384,36280465,39505,,,
174e25c5a3ddae58,72422,42343158,59299,72443,42339417,59299,,,
18947b2079f17532,64266,34182550,40858,64284,34179956,40858,,,
18ca02c6dd2aba03,71824,41743133,55038,71843,41739342,55038,,,
18ce11a1a81ee4eb,69066,38982930,24664,69085,38981194,24664,,,
1931d979931d9aa0,82856,52778099,58253,82877,52772917,58253,,,
195f537248679fa0,71222,41138085,25362,71240,41136301,25362,,,
19679b72c7882b04,64503,34423709,38448,64524,34419902,38448,,,
19c15a4d3c5d4f36,77823,47737577,55980,77838,47733952,55980,,,
19cdab4138335cb5,89392,59313834,62239,89414,59310256,62239,,,
19e555a724f1b546,38659,8576779,37927,38678,8573717,37927,,,
1a10e068b7af7ce5,32423,2341968,41431,32443,2338732,41431,,,
1a2735418810e471,31698,1619061,27428,31720,1616511,27428,,,
1a50112024d93b65,51909,21829336,38919,51930,21826431,38919,,,
1a8b9954da49a5f7,40038,9958527,40562,40059,9955010,40562,,,
1af00e5a9e49dad5,86998,56919726,42277,87018,56914327,42277,,,
1b2d856f951cc60a,63488,33410196,37501,63510,33405744,37501,,,
1b3e52e4e7de2313,61087,31007115,36488,61109,31004689,36488,,,
1b41805f0c436406,35480,5398351,38183,35500,5396034,38183,,,
1b779dc775a17ab3,30201,123158,26812,30223,119122,26812,,,
1c2a3b19ad6947a4,65106,35023061,39077,65124,35020389,39077,,,
1c2d95422ca6bc44,81720,51637229,26877,81739,51635239,26877,,,
1c4ce8e26bdeb3d6,66604,36523064,37407,66624,36520350,37407,,,
1c4e856f14b16c07,68645,38565133,54725,68665,38561061,54725,,,
1c6ee706a7ce5ee7,68585,38504746,54495,68605,38500922,54495,,,
1c9d707aa34c227f,38539,8456380,37493,38558,8453623,37493,,,
1d4cf769fc1fabf1,44772,14692123,39432,44793,14689256,39432,,,
1d5be3dfcc9e8dd3,57968,27886837,36672,57988,27884344,36672,,,
1d5f5eb6116b4508,87477,57395215,40285,87496,57392391,40285,,,
1d5fbb13fb211002,65046,34962642,38696,65064,34959977,38696,,,
1da932bf3dab52bb,57012,26934445,63956,57035,26930853,63956,,,
1de87e4f1d120ebb,52929,22849242,40344,52950,22846293,40344,,,
1df2a5eaeae868a7,85856,55774540,43926,85875,55771070,43926,,,
1e560331d1a24f45,85084,54993376,40784,85095,54990748,40784,,,
1e6d31239042211c,53307,23223579,40490,53320,23215655,40490,,,
1e88fb17c85307e9,80518,50436581,25276,80538,50434515,25276,,,
1ec628dcebfbff0f,62529,32447430,37275,62548,32443737,37275,,,
1ee6077b6a8cdca8,69781,39698745,33507,69800,39696280,33507,,,
1ef28de0ccab821c,65166,35082720,38918,65184,35079997,38918,,,
1f1e5d99dcd9b18e,69365,39286548,24172,69387,39283041,24172,,,
1f34af264eed189b,79863,49782302,27724,79884,49779997,27724,,,
1f57bccbcc819a31,66425,36343017,38180,66444,36340264,38180,,,
1f87a1d2ce810fbd,50414,20332366,38025,50434,20330028,38025,,,
