ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-20T19:55:12+00:00,1779306912858975212,8.78,6.47,2.31,101712,37,32,759,9.01,7.62,0.23,83.14,0.93,0.00
2026-05-20T19:55:14+00:00,1779306914005652192,4.49,3.60,0.90,101712,36,32,759,4.04,6.97,0.00,88.99,0.00,0.88
2026-05-20T19:55:15+00:00,1779306915149679377,4.52,3.62,0.90,101712,36,32,759,5.66,7.24,0.23,86.88,1.89,0.88
2026-05-20T19:55:16+00:00,1779306916297831691,5.35,3.56,1.78,101712,36,32,759,5.35,7.80,0.00,86.86,0.00,0.00
2026-05-20T19:55:17+00:00,1779306917442163876,4.06,3.16,0.90,101840,36,32,759,7.67,8.58,0.23,83.52,0.94,0.00
2026-05-20T19:55:18+00:00,1779306918582747375,4.47,2.68,1.79,101840,36,32,759,3.80,8.28,0.00,87.92,0.00,0.88
2026-05-20T19:55:19+00:00,1779306919727838300,4.43,2.22,2.22,101840,36,32,759,6.43,8.87,0.44,84.26,13.76,5.26
2026-05-20T19:55:21+00:00,1779306920878231466,3.85,2.57,1.28,101840,36,32,759,26.55,9.64,0.00,63.81,30.97,13.93
2026-05-20T19:55:22+00:00,1779306922101290039,5.21,3.90,1.30,101840,36,32,759,20.17,12.36,0.00,67.46,18.92,29.31
2026-05-20T19:55:23+00:00,1779306923272003576,4.78,3.91,0.87,101840,36,32,759,8.48,8.04,0.22,83.26,0.93,0.87
2026-05-20T19:55:24+00:00,1779306924416901834,5.25,3.06,2.19,101840,36,32,759,6.78,8.10,0.00,85.12,1.89,0.88
2026-05-20T19:55:25+00:00,1779306925567608334,3.95,3.07,0.88,101840,36,32,759,22.37,9.65,0.22,67.76,35.78,31.03
2026-05-20T19:55:26+00:00,1779306926721029426,4.85,3.52,1.32,101840,36,32,759,14.54,11.23,0.22,74.01,10.09,12.82
2026-05-20T19:55:28+00:00,1779306927901492425,4.84,3.08,1.76,101840,36,32,759,8.35,9.23,0.22,82.20,0.00,0.00
2026-05-20T19:55:29+00:00,1779306929048627646,4.43,3.99,0.44,101840,35,32,759,7.10,5.76,0.00,87.14,0.00,0.00
2026-05-20T19:55:30+00:00,1779306930187302942,4.81,3.06,1.75,101840,35,32,759,6.35,8.10,0.22,85.34,1.89,0.88
2026-05-20T19:55:31+00:00,1779306931337619275,3.95,3.07,0.88,101840,35,32,759,6.58,7.46,0.00,85.96,0.93,0.00
2026-05-20T19:55:32+00:00,1779306932487781218,4.73,3.87,0.86,101840,35,32,759,8.39,7.53,0.22,83.87,3.10,0.00
2026-05-20T19:55:34+00:00,1779306933901546755,5.15,2.94,2.21,101840,35,32,759,13.24,7.90,0.00,78.86,0.93,0.00
2026-05-20T19:55:35+00:00,1779306935043882365,4.26,2.56,1.71,101840,35,32,759,5.12,11.09,0.21,83.58,15.20,0.88
2026-05-20T19:55:36+00:00,1779306936185169753,4.86,3.09,1.77,101840,35,32,759,7.28,6.40,0.00,86.31,2.75,2.61
2026-05-20T19:55:37+00:00,1779306937357715141,4.42,3.54,0.88,101840,35,32,759,5.97,8.19,0.22,85.62,1.89,1.72
2026-05-20T19:55:38+00:00,1779306938505750530,4.92,4.03,0.89,101840,35,32,759,8.72,7.83,0.22,83.22,0.93,0.00
2026-05-20T19:55:39+00:00,1779306939656516418,4.45,1.78,2.67,101840,35,32,759,5.57,8.24,0.22,85.97,1.92,0.88
2026-05-20T19:55:40+00:00,1779306940803206010,4.44,3.56,0.89,101840,35,32,759,8.44,7.33,0.00,84.22,2.73,0.00
