content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
006408ac3415fc83,47295,17215711,33558,47310,17213800,33558,,,
00801bd2aa3fef3a,32783,2702922,50056,32796,2700103,50056,,,
00cc564e2368c3bc,52642,22553320,35513,52648,22551811,35513,,,
00f07d362286352c,74099,44019492,35375,74113,44017537,35375,,,
011c6f2ef4b1976e,53598,23512402,36112,53606,23510661,36112,,,
011dc1ffd84a8d1e,78721,48639751,25140,78734,48637879,25140,,,
015bf76de9ac237f,89581,59493025,23157,89587,59491565,23157,,,
01ac917e00eba9c4,73391,43303365,36782,73397,43301508,36782,,,
01cb712d57353e51,42078,11935161,34398,42029,11933579,34398,41295,12003606,34398
025c7bbb892bf034,40099,10019333,34444,40113,10016823,34444,,,
02749bf1443d6bf4,40338,10260029,48978,40353,10257110,48978,,,
027549a5805c7e0f,46698,16615477,33533,46710,16613971,33533,,,
02ebc85822b3ce1e,55032,24951451,53194,55043,24947342,53194,,,
02fb357270d3f63f,57740,27649243,32649,57743,27647185,32649,,,
0335f133a8436dd5,47601,17523062,49852,47612,17516132,49852,,,
0351087fe606cdf4,33798,3720061,23117,33813,3717074,23117,,,
0450056de55d3ec8,85558,55477731,26978,85572,55475949,26978,,,
04abb3db1fde296a,88138,58060654,52919,88150,58054522,52919,,,
04d6dbb0c29e6b99,34637,4559210,49477,34652,4556392,49477,,,
0524873722b6bebd,63852,33774396,51128,63863,33767266,51128,,,
053a0c3403ca7728,69245,39166238,50645,69259,39163295,50645,,,
055e7a86cdac8976,62347,32266857,51370,62360,32264154,51370,,,
05c4ef232b35ddc2,78661,48582707,45983,78674,48578190,45983,,,
06070b24dc926f74,64926,34847638,34872,64941,34844859,34872,,,
06076227b2029d10,71166,41084484,50438,71178,41081813,50438,,,
068b3d155c78138a,58508,28430306,49138,58523,28427653,49138,,,
06d2d6d757eda1fa,72004,41923544,35181,72017,41921692,35181,,,
072e6ca58f544f95,65047,34967404,35216,65061,34965096,35216,,,
07464327fdbce35f,45209,15115873,33918,45209,15113529,33918,,,
0783964565cbc1aa,54432,24352791,35572,54447,24350931,35572,,,
079cdc0e563b1ae9,36020,5942620,48406,36037,5940905,48406,,,
08085c18bc7ef2f9,52937,22854411,35224,52947,22850882,35224,,,
086d898932c94b27,32964,2883010,50823,32976,2880301,50823,,,
08c95a1244580b3d,34398,4319542,50651,34412,4316355,50651,,,
093cbb9f98ff9983,38418,8338537,24770,38433,8337047,24770,,,
0968a99b13b10fe6,45976,15896566,50938,45990,15894217,50938,,,
0976b5049258f340,88076,57997382,53240,88088,57991770,53240,,,
0990e13849a54411,45916,15836544,50625,45930,15834127,50625,,,
09e43334d8bf42cf,44866,14755922,33623,44849,14753593,33623,,,
09e8faa02907e984,84079,53915135,5605,84010,53914347,5605,83371,53992431,5605
09f463e5055e7b61,34577,4499216,49389,34592,4496381,49389,,,
0a0aa989ed05deec,51373,21293581,53443,51387,21290860,53443,,,
0a1c25c211b702ee,62587,32507623,34597,62600,32504496,34597,,,
0a286080d5e4e79a,58036,27952890,33269,58048,27952736,33269,,,
0a5e77e6bca50d81,86398,56318639,53608,86412,56315832,53608,,,
0acf1d1c8cdec1e1,76864,46782713,80445,76874,46778518,80445,,,
0ad2f7df850e1770,43716,13615239,34834,43709,13613368,34834,,,
0b89c5fc531c8546,36679,6600743,48703,36693,6597304,48703,,,
0bf00e3c0da31731,64687,34606487,34759,64700,34604183,34759,,,
0c19343972826fbf,66195,36109540,36455,66201,36105429,36455,,,
0c48c1fb76422b00,53717,23633632,35795,53727,23631343,35795,,,
0c9a7148616e1398,35061,4979021,49606,35072,4976324,49606,,,
0cd3d1f31832f504,55270,25190575,62538,55283,25187366,62538,,,
0cd573e11a3dfe00,56351,26268700,33486,56363,26266969,33486,,,
0cf2f60376c74283,77822,47741805,50978,77834,47738399,50978,,,
0cf8af7e404abc3a,75239,45159958,36056,75253,45157691,36056,,,
0d005d9932951f8a,30802,722795,54072,30816,720145,54072,,,
0d5b512247f34836,70146,40062565,32495,70157,40060803,32495,,,
0dccbe398bd0247a,41534,11454959,33669,41549,11453005,33669,40815,11526409,33715
0df3c5285e08d7ab,87057,56975212,53046,87068,56971951,53046,,,
0ec5726b123549d7,45152,15055869,33966,45149,15053562,33966,,,
0ec9b2f79ed6d4d1,35718,5638911,44347,35732,5636394,44347,,,
0f42c6e871ed5fc5,66613,36526400,33325,66620,36524591,33325,,,
0f7517cb39129a3d,86338,56258439,53561,86351,56255383,53561,,,
0fd1c531f27a4400,85678,55595655,12199,85690,55594677,12199,,,
0ffb27c5816d9f16,50772,20692885,35016,50787,20691014,35016,,,
104e843d29e46803,79681,49601032,48082,79694,49598519,48082,,,
105a8916de465b85,50891,20811983,35208,50906,20810369,35208,,,
10676cc85f6f2bd6,73451,43363990,36137,73458,43362000,36137,,,
10e78337aa9d3c6b,44808,14695627,33406,44789,14693774,33406,,,
110f613f14ff5b4f,37517,7438134,29008,37532,7436362,29008,,,
110f62baff984280,63913,33828086,51612,63920,33824395,51612,,,
1127ce000a53c8c9,63434,33345910,33740,63440,33343915,33740,,,
12391199620e6861,64033,33948314,51885,64040,33944489,51885,,,
126167ed1419eb8d,57024,26938337,50028,57027,26931181,50028,,,
12b1586bd8ce3716,73030,42947762,53580,73039,42943435,53580,,,
12c21688f38612d0,46579,16495768,34032,46590,16494049,34032,,,
138cc3b4dd0aa2ec,79323,49241595,51109,79335,49239632,51109,,,
139ce4ebb84f1503,40878,10796446,60669,40889,10793409,60669,,,
13a9f3844abfdc4f,77282,47201198,51733,77294,47198072,51733,,,
13b3b0613fc2f5f8,69423,39344635,50605,69438,39341810,50605,,,
13ef030b3cba38d1,52344,22253073,35873,52347,22251395,35873,,,
140249ab1cd981fa,49691,19613022,50147,49706,19610479,50147,,,
145fd2d531698cd3,63610,33526671,47691,63621,33524909,47691,,,
14b69dcf057ec4a9,46335,16255936,36630,46350,16253961,36630,,,
15890789ba8d0ade,37999,7921008,69598,38013,7917217,69598,,,
15a5472cfc6e6f47,74701,44621236,51812,74714,44618144,51812,,,
15dc2b57eb1c373c,54372,24292669,35933,54387,24290770,35933,,,
160d46e8c2699c5c,39501,9423009,34185,39516,9420359,34185,,,
162188ca9fc81c48,39198,9118817,35527,39213,9116931,35527,,,
16e3328da6079a02,55693,25614776,32410,55708,25612448,32410,,,
1703b0b8030de87b,35898,5819584,47546,35913,5816905,47546,,,
175dd05172328c1e,63199,33105977,33874,63200,33104023,33874,,,
17616b0c623ab3bc,50474,20392662,35648,50486,20390412,35648,,,
17b69a1991b83d32,84027,53855528,12015,83950,53854552,12015,83311,53972166,12015
17b979bc1a5f545b,33918,3838722,46350,33932,3836224,46350,,,
17e42e180da6dcdb,57917,27829469,32812,57923,27827330,32812,,,
1866723546110439,30140,61154,25657,30155,59416,25657,,,
19c7058780376141,89521,59433102,24955,89528,59431793,24955,,,
19e448ff7d85fdef,53173,23093412,53527,53187,23090848,53527,,,
1a10506d6da098ac,43248,13135560,34727,43229,13133317,34727,,,
1a11de83274b4c33,39861,9778618,33973,39873,9776915,33973,,,
1a358e4673015b27,39078,9000289,61613,39093,8997106,61613,,,
1a56718f97e13013,40399,10320909,64257,40413,10317265,64257,,,
1b9354465b09d6a5,72843,42765329,52114,72859,42762882,52114,,,
1bca530b09306069,55993,25909319,33313,56003,25906911,33313,,,
1c9d19b82725914e,62658,32580145,34160,62672,32576748,34160,,,
1cf3f590347fd65f,79562,49481520,47984,79574,49478525,47984,,,
1d2b9dacf5bc87a8,63258,33165911,34154,63260,33163928,34154,,,
1d7e1e79aea2ed1d,79944,49843889,47554,79935,49839730,47554,,,
1e34cf71d86a1b9b,48672,18593750,33047,48689,18592808,33047,,,
1e481be240b3e178,32310,2225579,54388,32318,2222437,54388,,,
1e57f00b4d569124,30622,542919,53392,30636,540278,53392,,,
1ec1e988d7a7c2f7,49036,18955902,33177,49050,18954371,33177,,,
1f92a3d595c4ee71,80762,50676697,42001,80770,50674682,42001,,,
1fa9464ef9bf1b41,51313,21233717,52767,51327,21230925,52767,,,
1fe247a5d7502045,37217,7139160,5183,37232,7136487,5183,36461,7197875,6425
1ff41dbb37e32ee9,37156,7077976,12207,37174,7078112,12207,,,
20369745ec921210,42019,11876317,34526,41970,11873953,34526,41235,11953920,34595
205d837c2848fec8,80588,50495346,14192,80590,50494250,14192,,,
208310fb86202839,36798,6718775,48697,36812,6716612,48697,,,
20d8b0b6b97f1aaa,76322,46239954,35866,76334,46237826,35866,,,
