content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
000c74ebbc19068d,62158,32144940,15080,62241,32144057,15080,,,
0110e86e194db686,40570,10556750,17178,40654,10557092,17178,,,
013548c42a229dd2,44407,14395288,26741,44491,14393919,26741,,,
01be50cc83cc5323,64261,34246658,31501,64342,34244727,31501,,,
01e40bbf4a4c3cd7,79074,49060847,36504,79156,49058884,36504,,,
01ff80d4ae60c43b,62399,32386281,23443,62482,32384544,23443,,,
021c8a91effd5cb9,34751,4740158,33890,34835,4738054,33890,,,
02830ab131cea588,31521,1504061,52438,31598,1500517,52438,,,
02b1b48dd5650666,55207,25189976,40433,55285,25187918,40433,,,
02c73d423dea17d9,79896,49864811,35084,79934,49837093,35084,,,
03594d5d579bae0f,45918,15897148,23597,45993,15895460,23597,45267,15920978,23597
037b117b3ab5a1f5,69060,39043598,26901,69140,39042535,26901,,,
04299bb7e1deeb11,86448,56434912,53074,86529,56432130,53074,,,
051a4e5e4dc93a5f,66957,36944369,53255,67039,36941360,53255,,,
0592b28f289eca07,47224,17212192,36147,47308,17210418,36147,,,
05cbf5311d8e9494,78594,48582979,36972,78677,48579803,36972,,,
05ee9543fada4375,40155,10135725,37203,40231,10133594,37203,,,
05f58c1a3d787aa5,45571,15536613,38634,45632,15534276,38634,,,
06b4dc1eebf31a2f,36731,6719960,51774,36815,6717734,51774,,,
073f046354f13a7d,33870,3838777,37480,33934,3836724,37480,,,
0740cf4cb132fef1,33617,3619171,37684,33698,3600849,37684,,,
076fb3224960ce4a,82970,52958297,47238,83053,52955521,47238,,,
07866bd65b5d1d8c,80933,50921662,50888,81015,50917633,50888,,,
07be353dee850ad4,43033,13016485,50370,43111,13014079,50370,,,
07c089a484e9f38c,63663,33648222,37201,63743,33645582,37201,,,
080c6a8f8270a96f,76373,46362017,24290,76457,46359763,24290,,,
083fdd2775dea621,61682,31667544,49830,61762,31664753,49830,,,
09062e271304f141,42250,12235939,36713,42331,12233921,36713,,,
0911ac002687cc19,42310,12295823,25508,42393,12295338,25508,,,
094641f844476643,78235,48219740,23900,78316,48218417,23900,,,
095d8f906a89c967,86763,56762967,52734,86800,56702529,52734,,,
09895f21a2808011,76493,46479818,24524,76575,46478222,24524,,,
0a047b3d511a0655,67318,37302395,24734,67398,37300951,24734,,,
0a09cbd20c2f41b6,34166,4138786,35433,34234,4136753,35433,,,
0a4c4898d13ed74c,68589,38564628,53186,68659,38562165,53186,,,
0aec79798c3954f5,61382,31370776,50021,61469,31371682,50021,,,
0b1280f8ce61d22f,59998,29986938,48401,60082,29984798,48401,,,
0b1af064b41e5c0b,71337,41323133,22599,71419,41321542,22599,,,
0b5cfadbf971a7b9,88261,58235639,58269,88330,58232811,58269,,,
0b6b03b50891230f,53221,23209869,17020,53306,23208829,17020,,,
0bd7b67d379d9a13,46746,16732119,35705,46827,16730284,35705,,,
0bfec7c50aa7f9d8,58022,28009666,35242,58105,28007968,35242,,,
0c19a867c0baafea,87265,57153037,17603,87249,57151580,17603,86524,57181149,17603
0c3096f9a3390c4b,89448,59433979,22146,89529,59432251,22146,,,
0c46fd67e240eb59,58202,28191029,50302,58286,28188596,50302,,,
0c49b87a9a4e13f6,72837,42826870,34067,72920,42822968,34067,,,
