ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-20T19:49:24+00:00,1779306564738108086,8.02,7.25,0.76,105928,37,38,911,11.83,16.22,0.19,71.76,0.93,0.00
2026-05-20T19:49:26+00:00,1779306565881126807,4.38,3.65,0.73,106056,36,38,911,12.77,15.69,0.18,71.35,0.93,0.00
2026-05-20T19:49:27+00:00,1779306567030001436,3.30,2.57,0.73,106056,36,38,911,12.66,14.86,0.00,72.48,1.89,0.87
2026-05-20T19:49:28+00:00,1779306568171966973,3.77,3.77,0.00,106056,36,38,911,12.05,17.14,0.19,70.62,0.95,0.88
2026-05-20T19:49:29+00:00,1779306569314178213,4.52,4.14,0.38,106056,36,38,911,11.11,17.89,0.19,70.81,0.00,0.00
2026-05-20T19:49:30+00:00,1779306570462713656,3.23,2.87,0.36,106056,36,38,911,12.19,17.38,0.00,70.43,16.80,0.00
2026-05-20T19:49:31+00:00,1779306571605719730,3.68,2.21,1.47,106056,36,38,911,15.10,15.65,0.18,69.06,19.82,3.48
2026-05-20T19:49:32+00:00,1779306572751954896,4.24,2.70,1.54,106056,36,38,911,25.63,20.62,0.19,53.56,26.17,55.26
2026-05-20T19:49:34+00:00,1779306573897186488,3.83,3.07,0.77,106056,36,38,911,18.20,19.16,0.00,62.64,10.81,11.11
2026-05-20T19:49:35+00:00,1779306575125263746,4.62,2.13,2.49,106056,36,38,911,14.56,14.74,0.18,70.52,1.79,1.69
2026-05-20T19:49:36+00:00,1779306576273426097,3.70,2.22,1.48,106056,36,38,911,13.52,14.07,0.00,72.41,2.78,2.59
2026-05-20T19:49:37+00:00,1779306577421700689,3.80,2.66,1.14,106056,36,38,911,28.08,18.79,0.19,52.94,15.09,59.48
2026-05-20T19:49:38+00:00,1779306578571370170,4.17,2.66,1.52,106184,36,38,911,14.99,18.41,0.00,66.60,11.32,9.57
2026-05-20T19:49:39+00:00,1779306579713620429,3.84,2.69,1.15,106312,36,38,911,10.94,17.85,0.38,70.83,0.00,0.00
2026-05-20T19:49:41+00:00,1779306580865404595,4.03,2.02,2.02,106312,35,38,911,4.23,16.33,0.00,79.44,0.93,0.00
2026-05-20T19:49:42+00:00,1779306582011964150,4.50,2.86,1.64,106312,35,38,911,4.09,15.34,0.20,80.37,0.00,0.88
2026-05-20T19:49:43+00:00,1779306583155411278,3.67,2.44,1.22,106312,35,38,911,4.68,16.09,0.00,79.23,1.87,0.00
2026-05-20T19:49:44+00:00,1779306584297521037,3.88,2.33,1.55,106312,35,38,911,5.62,16.28,0.00,78.10,1.74,0.00
2026-05-20T19:49:45+00:00,1779306585534132536,4.50,2.86,1.64,106312,35,38,911,8.38,17.38,0.20,74.03,3.77,2.59
2026-05-20T19:49:46+00:00,1779306586680930776,4.02,3.62,0.40,106312,35,38,911,3.62,16.70,0.20,79.48,0.00,0.00
2026-05-20T19:49:47+00:00,1779306587826885276,4.03,2.42,1.61,106312,35,38,911,4.23,16.33,0.00,79.44,0.93,0.00
2026-05-20T19:49:49+00:00,1779306588990917275,4.45,2.83,1.62,106312,35,38,911,6.28,17.41,0.20,76.11,4.63,5.26
2026-05-20T19:49:50+00:00,1779306590135750237,4.45,3.24,1.21,106312,35,38,911,7.49,16.19,0.00,76.32,0.94,0.00
2026-05-20T19:49:51+00:00,1779306591284448274,4.07,4.07,0.00,106312,35,38,911,6.30,15.24,0.41,78.05,1.89,0.00
2026-05-20T19:49:52+00:00,1779306592429075143,3.99,2.79,1.20,106312,35,38,911,5.79,15.97,0.00,78.24,1.87,0.00
