ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-20T20:12:36+00:00,1779307956850133404,8.20,6.38,1.82,105116,36,33,745,12.53,10.02,0.23,77.22,5.50,0.89
2026-05-20T20:12:38+00:00,1779307957996980255,4.90,3.12,1.78,105372,36,33,745,4.23,8.02,0.00,87.75,0.00,0.88
2026-05-20T20:12:39+00:00,1779307959137096681,4.93,3.59,1.35,105372,36,33,745,4.71,6.50,0.22,88.57,0.00,0.88
2026-05-20T20:12:40+00:00,1779307960281747143,3.62,2.26,1.36,105372,36,33,745,4.07,7.47,0.45,88.01,0.00,0.00
2026-05-20T20:12:41+00:00,1779307961427280698,4.97,3.16,1.81,105372,36,33,745,9.93,9.48,0.23,80.36,2.86,3.51
2026-05-20T20:12:42+00:00,1779307962568680604,4.93,3.59,1.35,105372,36,33,745,6.50,8.30,0.00,85.20,0.00,0.00
2026-05-20T20:12:43+00:00,1779307963716230363,4.47,3.13,1.34,105372,36,33,745,6.26,7.16,0.22,86.35,11.11,4.39
2026-05-20T20:12:45+00:00,1779307964864761288,4.82,4.39,0.44,105372,36,33,745,25.66,10.53,0.44,63.38,53.51,18.26
2026-05-20T20:12:46+00:00,1779307966026957584,4.80,3.06,1.75,105372,36,33,745,14.19,9.17,0.22,76.42,11.93,20.69
2026-05-20T20:12:47+00:00,1779307967193573916,4.41,3.08,1.32,105372,36,33,745,10.13,9.91,0.00,79.96,1.87,2.61
2026-05-20T20:12:48+00:00,1779307968336292564,4.89,4.00,0.89,105372,36,33,745,6.00,7.11,0.22,86.67,2.83,2.61
2026-05-20T20:12:49+00:00,1779307969489770823,4.37,3.06,1.31,105372,36,33,745,25.55,11.57,0.00,62.88,33.64,18.10
2026-05-20T20:12:50+00:00,1779307970666118322,4.42,3.53,0.88,105372,36,33,745,10.82,11.70,0.00,77.48,7.55,8.70
2026-05-20T20:12:51+00:00,1779307971814891358,5.24,2.62,2.62,105372,36,33,745,6.99,7.86,0.22,84.93,3.70,0.00
2026-05-20T20:12:53+00:00,1779307972959582154,3.54,2.21,1.33,105372,35,33,745,13.05,9.96,0.00,76.99,3.74,0.00
2026-05-20T20:12:54+00:00,1779307974111501672,5.26,3.51,1.75,105372,35,33,745,5.48,7.02,0.22,87.28,0.00,0.00
2026-05-20T20:12:55+00:00,1779307975253043078,3.98,2.65,1.33,105372,35,33,745,5.09,7.52,0.00,87.39,0.00,0.86
2026-05-20T20:12:56+00:00,1779307976396008707,4.39,3.07,1.32,105372,35,33,745,5.70,8.77,0.22,85.31,0.93,1.74
2026-05-20T20:12:57+00:00,1779307977542456262,5.25,3.50,1.75,105372,35,33,745,8.97,9.63,0.00,81.40,0.94,0.00
2026-05-20T20:12:58+00:00,1779307978698190132,3.90,3.03,0.87,105372,35,33,745,7.58,8.23,0.22,83.98,0.00,0.00
2026-05-20T20:12:59+00:00,1779307979847842594,4.39,3.51,0.88,105372,35,33,745,6.14,7.68,0.22,85.96,2.75,0.00
2026-05-20T20:13:01+00:00,1779307981009258464,5.21,4.34,0.87,105372,35,33,745,13.02,11.06,0.00,75.92,9.57,2.63
2026-05-20T20:13:02+00:00,1779307982162218500,4.29,2.15,2.15,105372,35,33,745,4.29,10.73,0.21,84.76,13.82,0.00
2026-05-20T20:13:03+00:00,1779307983307322592,4.46,3.12,1.34,105372,35,33,745,8.26,7.81,0.00,83.93,1.89,0.00
2026-05-20T20:13:04+00:00,1779307984451429684,4.42,2.65,1.77,105372,35,33,745,11.28,7.74,1.55,79.42,3.70,0.87
2026-05-20T20:13:05+00:00,1779307985602957109,4.42,3.54,0.88,105372,35,33,745,5.31,6.86,0.22,87.61,0.93,0.87
2026-05-20T20:13:06+00:00,1779307986747699090,4.90,3.12,1.78,105372,35,33,745,6.24,8.24,0.00,85.52,0.93,0.88
2026-05-20T20:13:08+00:00,1779307987893122108,5.35,3.12,2.23,105372,35,33,745,8.02,8.46,0.22,83.30,0.00,0.00
2026-05-20T20:13:09+00:00,1779307989042196052,3.99,3.10,0.89,105372,35,33,745,3.99,7.98,0.00,88.03,1.87,0.87
2026-05-20T20:13:10+00:00,1779307990191280829,4.93,3.14,1.79,105372,35,33,745,9.42,8.30,0.22,82.06,0.95,0.87
2026-05-20T20:13:11+00:00,1779307991336209495,4.03,3.13,0.89,105372,35,33,745,6.26,6.49,0.22,87.02,1.87,0.87
2026-05-20T20:13:12+00:00,1779307992480362105,4.43,2.66,1.77,105372,35,33,745,5.54,6.87,0.00,87.58,0.00,0.00
2026-05-20T20:13:13+00:00,1779307993629628308,4.91,4.46,0.45,105372,35,33,745,7.59,8.26,0.22,83.93,0.00,0.88
2026-05-20T20:13:14+00:00,1779307994773453715,4.44,3.11,1.33,105372,35,33,745,4.67,7.33,0.22,87.78,0.93,0.87
2026-05-20T20:13:16+00:00,1779307995924766862,4.46,3.57,0.89,105372,35,33,745,10.71,7.59,0.00,81.70,0.00,0.88
2026-05-20T20:13:17+00:00,1779307997069528028,4.88,2.22,2.66,105372,35,33,745,6.21,8.87,0.22,84.70,2.78,1.75
