content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
000b5dcdbd3307b1,82080,52062753,52355,82157,52059131,52355,,,
00ca9187a506a916,66606,36592218,38290,66684,36585641,38290,,,
011dd09f539740c3,78959,48943068,54711,79037,48938717,54711,,,
012fcbbceb7cd11e,55572,25555164,52914,55650,25551577,52914,,,
0148fa298434bff3,41420,11403992,31594,41497,11398841,31594,,,
019fbee83dec92e2,69371,39347761,49547,69443,39345258,49547,,,
01a07cefcc75e0c9,42737,12717161,50656,42812,12713908,50656,,,
01ed15040981480f,41119,11099726,36251,41195,11097297,36251,,,
021031dc124beffc,77040,47024476,52321,77117,47018623,52321,,,
02c6e80bcc3a647c,67745,37729121,52521,67824,37725694,52521,,,
03a78a2f2aea8346,88736,58716770,17123,88813,58715382,17123,,,
03f2853d39fe7479,39203,9181290,65857,39275,9177449,65857,38592,9253754,66064
04a99c9e1f70f43d,65767,35748944,50977,65843,35745109,50977,,,
04f3f586278681b6,83340,53320718,22290,83417,53318620,22290,,,
05418dd5a01daa8c,76258,46240517,31677,76336,46237929,31677,,,
0549224e72f9be75,46695,16677216,51159,46772,16674232,51159,,,
05e18a8c2611955d,45732,15716648,47318,45812,15713980,47318,,,
061a60dd4b10a985,30561,544568,52377,30638,540439,52377,,,
0629fb3622d32aa2,61690,31670962,42925,61766,31668069,42925,,,
063529fd4964071a,73382,43366807,63429,73461,43362606,63429,,,
0670c8acbcb3d21b,81599,51582348,22810,81678,51579838,22810,,,
06891f95a4ffafac,45196,15175547,26939,45272,15173713,26939,,,
069d2d30ec651cd5,73746,43723650,33151,73820,43721562,33151,,,
06b5ec0bf9d37d71,56112,26092193,16962,56189,26090986,16962,,,
06b749568cdd8445,85917,55899909,50321,85994,55896436,50321,,,
06cc0b8b2d2aaebd,80644,50625941,51469,80718,50620120,51469,,,
06f49437255283e2,51915,21893854,49721,51989,21890917,49721,,,
073f2feb0c3441a6,35060,5043924,48960,35139,5040929,48960,,,
07628dfe87a5d0c6,53293,23275742,68123,53370,23271587,68123,,,
078aeb675e205af0,84421,54397409,32198,84493,54395505,32198,,,
079b2f2a0ad666a4,75903,45885248,34170,75980,45882186,34170,,,
07bce1bd7478d5f0,68299,38268753,53986,68363,38265458,53986,,,
07e1a6bad9b622b9,46216,16197226,52257,46292,16194034,52257,,,
082ff9f7bc8dbcbd,38837,8820596,63772,38915,8817364,63772,,,
08479babb08e0ee3,31340,1322124,29534,31418,1319996,29534,,,
085968fa25e194ef,88918,58897922,31035,88994,58895576,31035,,,
086a2f715fa3b98a,66424,36408121,52760,66503,36405187,52760,,,
089d1a289fa769c8,53892,23876175,34385,53970,23871500,34385,,,
08f41086b74a9fb7,70202,40184291,50841,70279,40181374,50841,,,
0948f70d3ac03369,54014,23998333,34553,54093,23995474,34553,,,
095348adb3f7a398,66670,36651578,26240,66747,36649190,26240,,,
097bd724101c05e2,77220,47202942,52616,77296,47198461,52616,,,
