ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-20T20:06:48+00:00,1779307608217038519,7.73,6.01,1.72,101192,36,33,904,9.87,8.80,0.21,81.12,0.90,0.00
2026-05-20T20:06:49+00:00,1779307609429927574,4.79,3.49,1.31,101320,36,33,904,6.97,7.84,0.22,84.97,2.78,2.59
2026-05-20T20:06:50+00:00,1779307610576490833,4.63,2.11,2.53,101320,36,33,904,4.00,12.63,0.00,83.37,18.32,0.00
2026-05-20T20:06:51+00:00,1779307611727712239,5.36,4.02,1.34,101320,36,33,904,4.69,8.04,0.22,87.05,1.85,0.00
2026-05-20T20:06:53+00:00,1779307612882024850,4.90,2.67,2.23,101320,36,33,904,5.35,7.13,0.22,87.31,0.94,0.00
2026-05-20T20:06:54+00:00,1779307614027782794,3.60,2.70,0.90,101320,36,33,904,7.64,8.76,0.45,83.15,2.80,0.88
2026-05-20T20:06:55+00:00,1779307615166543626,4.81,3.06,1.75,101320,36,33,904,8.53,7.88,0.00,83.59,4.63,8.55
2026-05-20T20:06:56+00:00,1779307616336731589,4.43,2.66,1.77,101320,36,33,904,24.17,12.42,0.22,63.19,30.91,46.15
2026-05-20T20:06:57+00:00,1779307617498064792,4.88,3.10,1.77,101320,36,33,904,11.97,9.31,0.00,78.71,14.55,6.90
2026-05-20T20:06:59+00:00,1779307618797033754,4.77,3.30,1.47,105416,36,33,904,17.61,9.91,0.18,72.29,3.17,1.44
2026-05-20T20:07:00+00:00,1779307620046258864,5.30,4.42,0.88,105416,36,33,904,13.02,6.84,0.00,80.13,27.52,1.75
2026-05-20T20:07:01+00:00,1779307621191334567,4.42,3.09,1.32,105416,36,33,904,20.09,14.13,0.22,65.56,17.43,31.58
2026-05-20T20:07:02+00:00,1779307622334233678,4.86,3.97,0.88,105416,36,33,904,6.84,5.74,0.22,87.20,1.85,0.00
