content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
000f515221e9438d,56936,26865624,17999,56955,26864144,17999,,,
007eef3550b38e8e,87520,57451568,21644,87539,57448514,21644,,,
008212e1b0219275,41530,11457737,63133,41545,11454275,63133,,,
009b2927b4e92c4d,57176,27105265,16813,57194,27103872,16813,,,
00cb604ccca9f2b1,77577,47439236,51460,77526,47435234,51460,,,
00d17e4b288a9cc1,69770,39698719,17520,69788,39697344,17520,,,
012cd88be439b59f,62716,32623373,19538,62712,32621018,19538,,,
015a1435eaf3195a,52743,22671621,62821,52758,22668036,62821,,,
019a78a4f3a67236,42728,12656614,42790,42745,12654127,42790,,,
0216555f9862745c,83447,53377355,52174,83464,53373120,52174,,,
02625e7cd151232f,88612,58539935,50671,88620,58529076,50671,,,
031fb92ee54ab7e5,33433,3363812,50902,33448,3357378,50902,,,
03216c135a125c7c,43147,13077703,49066,43165,13074284,49066,,,
0328ce266d88a44a,43444,13375547,50152,43462,13371785,50152,,,
033bf032ab6addb5,72121,42042862,64968,72129,42038947,64968,,,
03474ca93692d631,30075,1202,11235,30090,0,11235,,,
0349d3ab97b036a4,64554,34484161,44946,64572,34481206,44946,,,
03a75dea52fc8096,74571,44496530,32691,74585,44494383,32691,,,
03b5a57c67c5f603,33250,3181138,49643,33268,3177090,49643,,,
03c632b93b0b28ee,76608,46537081,34892,76625,46534822,34892,,,
051d0b6c0d0e9b62,52445,22372462,62008,52458,22367816,62008,,,
0529f22042ef5309,36072,5999536,33237,36088,5997068,33237,,,
05b8f0c78253f4dc,82786,52714630,50934,82802,52711695,50934,,,
05c224f56dcfacf0,85554,55474657,48057,85563,55472029,48057,,,
05efe0a551393fc0,77635,47497592,51727,77585,47494963,51727,,,
06512720fcd5bb6e,58327,28248267,53829,58335,28244514,53829,57615,28275206,53852
0677fba0599fa4bc,54603,24535655,50209,54619,24528141,50209,,,
06ab72be605c0776,64794,34724719,51005,64812,34721472,51005,,,
06c34fec3fdde610,66716,36648149,66832,66733,36642299,66832,,,
07cb57f229789c56,43207,13137164,49423,43225,13134343,49423,,,
07f626c49b4a20f2,80629,50559601,16586,80648,50557856,16586,,,
081269fc88f4584a,49741,19669425,31853,49757,19666997,31853,,,
0829984f414df02d,31275,1199814,44968,31287,1196650,44968,,,
083735baa721584a,73549,43479890,27861,73569,43478065,27861,,,
08a52438b4e22ee3,56038,25966788,50695,56055,25964071,50695,,,
08c90c363e0cc50f,43385,13313691,50229,43401,13310672,50229,,,
0918a0392fe11b4b,46931,16862733,68560,46949,16858447,68560,,,
0949c506f9895d3f,70316,40241242,49380,70329,40238057,49380,,,
09a381cc0fe3213d,59820,29750006,49479,59836,29745863,49479,,,
09f913d2b7aa19c4,82008,51932998,24800,82022,51931185,24800,,,
0a5508473a1c1ef1,64914,34844699,51661,64932,34841811,51661,,,
0a806d6201b2a376,68871,38799896,39237,68888,38797582,39237,,,
0ae1cd24d01ebf5c,53100,23029925,32949,53118,23027552,32949,,,
0b42825142cd3a56,81888,51813705,39210,81902,51811484,39210,,,
0b57921318c0253e,83864,53792918,23114,83882,53791436,23114,,,
0b8d8f99f8f957f6,86630,56555047,47756,86643,56552178,47756,,,
0c1319771928f163,39066,8995305,5105,39084,8993340,5105,,,
0c7a00dc01b3aa3c,86450,56376310,47700,86464,56373226,47700,,,
0c7c5de48a07d9e6,46444,16372372,15208,46462,16371130,15208,,,
0d5e767ec39448e1,85434,55354875,48326,85442,55352003,48326,,,
0ecc5561605cc934,57683,27587354,51849,57675,27584304,51849,,,
0eebefb9e2a96fd7,32411,2339981,33714,32427,2336807,33714,,,
0f12fe995c221929,78827,48756308,16573,78845,48754810,16573,,,
0f2d905434a82928,85494,55415328,47951,85503,55412333,47951,,,
0f47e2befc9b84e5,67736,37664633,17607,67752,37661464,17607,,,
10183560bbbd5162,75286,45215611,19211,75305,45214242,19211,,,
10439b8afa1148d2,32530,2459175,33402,32547,2456690,33402,,,
107e89db8f9f528a,41104,11034790,18681,41124,11033561,18681,,,
10a7e3a11aa044f1,39486,9417411,57983,39505,9414253,57983,,,
10b01d418db391ce,57979,27887491,52344,57975,27884589,52344,,,
111a033b3b22e9ca,69651,39578283,5617,69668,39577080,5617,,,
1123997d33ced05e,33972,3899341,34167,33987,3896916,34167,,,
113d2fc89ce80004,80269,50196599,25535,80285,50194955,25535,,,
118560b4d83d055b,40687,10615458,31097,40704,10613719,31097,,,
121ddf0fc76a559c,54123,24051206,50786,54139,24048065,50786,,,
1238fb79b3c5e77b,68754,38682505,71024,68769,38678121,71024,,,
1245dd3f34628736,33069,3000321,46857,33087,2996960,46857,,,
12586f9c7f9ab284,88183,58112109,50218,88199,58108996,50218,,,
126dc7f9c40cfa45,78185,48098815,51741,78186,48095254,51741,,,
12d2feb1945b3a06,60778,30705570,15647,60795,30704180,15647,,,
130285ca5cc92bb3,74929,44855856,22736,74945,44854313,22736,,,
130318f727c772b6,57743,27647758,51947,57735,27644328,51947,57015,27673649,53810
130d6bdf89644888,67986,37899573,16105,67988,37897838,16105,,,
1332b0a7ce6bf277,47765,17692851,34533,47781,17690870,34533,,,
135bb7196e13c0ce,54543,24470998,50738,54558,24468024,50738,,,
13ede326e973c361,65697,35624375,50622,65712,35621523,50622,,,
1440cf0b7e54ad25,51481,21410606,47352,51498,21407760,47352,,,
145ec165cae410df,55681,25611100,48518,55699,25608040,48518,,,
147f0657a21c1715,69172,39099879,34757,69188,39097625,34757,,,
14b6c9bc34016101,70556,40480999,50517,70569,40478013,50517,,,
1517689cbef4dea6,71509,41440265,34798,71528,41438022,34798,,,
15a85234015105be,40088,10017883,63986,40105,10014378,63986,,,
15e1c5ef8adee429,69472,39399846,34268,69488,39397669,34268,,,
16d577aa89e7ca63,71810,41741101,43272,71829,41738571,43272,,,
16ed60e46c032070,32650,2579154,33424,32667,2576739,33424,,,
173e441b22c407df,84772,54693719,34638,84782,54691729,34638,,,
17459bb4aaebb815,75828,45759559,69369,75846,45755277,69369,,,
17b3bbb8462f4ee3,88552,58482787,50591,88570,58479419,50591,,,
1813e9b6c8902d21,43624,13555773,49882,43642,13551606,49882,,,
182ec06d58fe3e5c,47588,17512881,34135,47601,17510899,34135,,,
19653998a096087c,42907,12835836,30511,42924,12833962,30511,,,
19ce61e1808e9014,34151,4079307,33762,34167,4076929,33762,,,
1a132fdd439cb724,81827,51758760,54254,81843,51752572,54254,,,
1b2f515461f4f41a,82846,52775712,51346,82863,52772690,51346,,,
1bbe154a448377a9,32949,2879509,32926,32968,2877082,32926,,,
1bc4db3c8c8a667a,30434,363525,45811,30451,360559,45811,,,
1bca25504d822009,33371,3302839,50178,33389,3298745,50178,,,
1c0d951d80b84ac3,89680,59610910,30801,89699,59608598,30801,,,
1c2960ff427f6ffb,43983,13913387,50282,44001,13910384,50282,,,
1c478c50afa3c601,65157,35088757,51647,65173,35082505,51647,,,
1c4c6424da2f20e2,47053,16976489,69384,47063,16972323,69384,,,
1c933ea6a0df7ae4,88363,58292009,50329,88379,58288816,50329,,,
1cb6dca2b2044ee5,48183,18111605,16584,48201,18110412,16584,,,
1cfe32fa25e40662,74810,44739070,31966,74826,44735776,31966,,,
1d179d50d90f8b8f,86206,56135899,47886,86223,56132340,47886,,,
1d40fb6aef8097b2,72857,42760667,32391,72849,42758384,32391,,,
1d8fedb2addb9634,33130,3060154,48584,33148,3057063,48584,,,
1d93de075a9b1614,51904,21828405,18533,51917,21826933,18533,,,
1e5d61567dc04e42,82545,52474486,47243,82562,52471783,47243,,,
1e8ca218be4f5d30,81525,51455106,53824,81542,51451870,53824,,,
1e94b4bb9aebbcb2,36131,6058995,33266,36148,6057058,33266,,,
1ea4bea6ef656af8,55202,25130811,12588,55218,25127723,12588,,,
1f0789faacd76d1a,75048,44974735,4926,75064,44973989,4926,,,
1f1e931fae5eb68a,82666,52596982,50473,82684,52593146,50473,,,
1f204f2ab797857c,50219,20150235,45597,50238,20147331,45597,,,
1f8d6a90e284cade,84045,53975721,22559,84064,53973652,22559,,,
1f9dce34f9c395ed,37986,7917008,31445,38005,7914462,31445,,,
1fa5f65cf4db6136,89561,59490313,23759,89579,59488488,23759,,,
1fd373cc91115ee1,34389,4319503,34248,34407,4316928,34248,,,
1fd7f55746d03884,61028,30959004,43545,61036,30945101,43545,,,
1fe7d9b0623415bc,46324,16252395,34898,46341,16250453,34898,,,
201ec26b37f27dd3,80447,50375474,5673,80465,50374725,5673,,,
202ff77c7b5f6d6b,50582,20513591,47703,50598,20507775,47703,,,
203b3944ddd54011,33310,3240994,49816,33328,3237434,49816,,,
2080a0556e4898aa,73490,43419544,19811,73508,43417904,19811,,,
209510a8b9757ba8,61920,31846389,33177,61935,31844578,33177,,,
210b7081edc8f7df,42967,12896770,45419,42985,12894190,45419,,,
218d56fcd69e7cb1,45068,15000245,66280,45084,14993494,66280,,,
2191f9b07a30dcd2,65818,35744151,25011,65832,35741457,25011,,,
21b58f0a317b236e,46623,16553299,45075,46641,16550711,45075,,,
21d2d70e61efd6d7,44946,14874263,64467,44962,14871085,64467,,,
21f338932c3ceabe,83507,53434867,52777,83522,53431860,52777,,,
21f494083b12d002,74094,44022532,63527,74109,44018898,63527,,,
220fcf031ae2ba2e,58983,28905665,25439,58995,28904043,25439,,,
226ef1135132ab22,65637,35564573,50709,65652,35561797,50709,,,
22a3d38f39d96004,80388,50315799,12042,80405,50314795,12042,,,
22c9ea5d6c897d53,41950,11878775,63945,41965,11874543,63945,,,
2318f86734b383cc,34211,4139872,33801,34227,4137021,33801,,,
232e8e33c0eb00b2,48784,18714740,69037,48802,18711368,69037,,,
2333ed831ab8bff2,78130,48037648,51401,78125,48035006,51401,,,
234ae39c501e4975,71449,41378731,7332,71468,41377599,7332,,,
23cd3d004b2fa91c,62038,31967214,32807,62055,31964840,32807,,,
23f0aa4e7133525e,78240,48159382,51701,78246,48155427,51701,,,
23f1e0cacb98d510,84535,54453750,34279,84542,54451691,34279,,,
240134ff595e15c3,30733,663833,47534,30751,660660,47534,,,
2486a9ad9b845545,50944,20870348,47168,50958,20867333,47168,,,
24e782cb48cc8753,46264,16191746,5334,46281,16190133,5334,,,
24f906c75d1c63e3,54841,24771994,49606,54858,24767990,49606,,,
253bb2a1b59fdf22,70795,40721037,50996,70809,40718035,50996,,,
25ac72e117952532,55978,25907087,51021,55995,25904064,51021,,,
