ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-20T23:13:47+00:00,1779318827288360666,10.11,6.44,3.68,100976,37,43,864,13.33,9.66,0.00,77.01,3.74,1.74
2026-05-20T23:13:48+00:00,1779318828435219906,4.90,3.12,1.78,100976,37,43,864,8.02,8.69,0.22,83.07,2.80,0.88
2026-05-20T23:13:49+00:00,1779318829578158405,4.45,2.67,1.78,100976,37,43,864,3.12,7.80,0.22,88.86,0.00,0.00
2026-05-20T23:13:50+00:00,1779318830722563608,4.89,3.11,1.78,100976,37,43,864,5.11,6.44,0.00,88.44,0.93,0.00
2026-05-20T23:13:52+00:00,1779318831873913681,4.43,2.22,2.22,100976,37,43,864,4.43,8.20,0.22,87.14,0.93,0.00
2026-05-20T23:13:53+00:00,1779318833024434310,4.49,3.15,1.35,100976,37,43,864,4.94,6.74,8.09,80.22,1.85,0.00
2026-05-20T23:13:54+00:00,1779318834172604124,4.46,2.23,2.23,100976,37,43,864,8.48,9.38,0.22,81.92,0.95,0.88
2026-05-20T23:13:55+00:00,1779318835322009902,4.40,0.88,3.52,100976,37,43,864,4.40,8.35,0.00,87.25,0.94,0.00
2026-05-20T23:13:56+00:00,1779318836466532123,4.42,2.21,2.21,100976,37,43,864,7.51,9.27,0.22,83.00,4.67,3.51
2026-05-20T23:13:57+00:00,1779318837615267382,4.46,3.57,0.89,100976,37,43,864,5.80,6.70,0.22,87.28,0.00,0.00
2026-05-20T23:13:58+00:00,1779318838781991437,4.30,3.01,1.29,100976,37,43,864,12.69,9.68,0.22,77.42,3.57,1.67
2026-05-20T23:14:00+00:00,1779318839962947751,4.86,3.97,0.88,100976,37,43,864,5.74,6.84,0.00,87.42,0.93,0.00
2026-05-20T23:14:01+00:00,1779318841110110194,4.77,2.60,2.17,100976,37,43,864,8.46,7.38,0.22,83.95,0.00,0.85
2026-05-20T23:14:02+00:00,1779318842280383157,3.98,3.10,0.88,100976,37,43,864,4.42,7.30,0.00,88.27,0.93,0.00
2026-05-20T23:14:03+00:00,1779318843426830323,4.98,2.26,2.71,100976,36,43,864,3.39,7.69,0.23,88.69,2.80,0.88
2026-05-20T23:14:04+00:00,1779318844568113118,4.87,3.10,1.77,100976,36,43,864,9.96,7.74,0.22,82.08,0.93,0.85
2026-05-20T23:14:05+00:00,1779318845721015303,3.55,2.66,0.89,100976,36,43,864,5.10,7.10,0.00,87.80,0.93,0.00
2026-05-20T23:14:07+00:00,1779318846868587247,5.29,4.41,0.88,100976,36,43,864,6.39,9.03,0.22,84.36,1.85,0.00
2026-05-20T23:14:08+00:00,1779318848032627042,4.01,3.56,0.45,100976,36,43,864,6.01,6.24,0.00,87.75,0.00,0.87
2026-05-20T23:14:09+00:00,1779318849175826060,4.46,4.02,0.45,100976,36,43,864,8.26,7.37,0.67,83.71,0.93,0.88
2026-05-20T23:14:10+00:00,1779318850318610226,4.48,3.59,0.90,100976,36,43,864,10.09,7.62,0.22,82.06,1.87,0.88
2026-05-20T23:14:11+00:00,1779318851467728892,4.31,3.02,1.29,100976,36,43,864,4.74,9.91,0.00,85.34,14.52,0.87
2026-05-20T23:14:12+00:00,1779318852613450021,4.49,3.15,1.35,100976,36,43,864,4.04,6.74,0.22,88.99,0.93,0.00
2026-05-20T23:14:13+00:00,1779318853751673798,4.90,3.56,1.34,100976,36,43,864,6.24,6.24,0.22,87.31,0.93,0.88
2026-05-20T23:14:15+00:00,1779318854897835816,4.06,2.71,1.35,100976,36,43,864,7.22,6.77,0.00,86.00,0.00,0.00
