content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
002ca497fd12de25,69970,40004696,53156,70101,40002167,53156,69448,40003593,53156
005fae752aef8779,52571,22609763,58945,52707,22608166,58945,52048,22610219,58945
00913d051b285d9f,33141,3178589,29513,33275,3176866,29513,32617,3177696,29513
00c54a4ab0069a98,71226,41259157,25356,71356,41258024,25356,70701,41259142,25356
01b0bd162251962b,63552,33586716,41773,63684,33585092,41773,63028,33586773,41773
01be3a6d0767749e,46873,16913431,58125,47010,16911155,58125,46351,16913419,58125
01cbc2e5961aebed,53293,23329002,26319,53426,23327513,26319,52769,23328228,26319
021c35286ca7eb84,61216,31247997,56170,61344,31245135,56170,60693,31247139,56170
021f69c559b2cf2d,51015,21053112,39222,51150,21051315,39222,50492,21052750,39222
026f8667906fc3bc,70829,40844567,41553,70941,40842242,41553,70294,40843445,41553
02a800251fcb777b,38896,8934485,24798,39032,8933440,24798,38374,8934387,24798
031fa60b0870c194,58092,28129411,30115,58227,28128162,30115,57570,28129442,30115
035bcfcc95611b47,54320,24349647,41871,54446,24347964,41871,53798,24349072,41871
0397aedf96c6ea57,46515,16552910,51791,46649,16550812,51791,45992,16552979,51791
03f8ba906a7dcc98,88980,59013554,26771,89111,59012432,26771,88455,59013570,26771
04a3c377f57bb747,54675,24709268,44539,54806,24708026,44539,54153,24709658,44539
04f404a1cf74de84,32723,2759085,65958,32856,2757409,65958,32199,2759650,65958
04f7cd3a41a988c3,56654,26688838,22818,56786,26687835,22818,56131,26688753,22818
055060c7235104af,84000,54039220,51547,84135,54036317,51547,83476,54037695,51547
0556b123a756cf85,43653,13676897,31152,43774,13675528,31152,43127,13676873,31152
05656c8d93abe7f1,41056,11095615,37779,41193,11094081,37779,40535,11095642,37779
05cb70f2ed65a828,51577,21604320,21183,51700,21602020,21183,51046,21603044,21183
05cc8d9c5e512cf5,51254,21292662,24935,51390,21291186,24935,50732,21292178,24935
05ff7f8a2204dbb0,61810,31846511,40760,61943,31844918,40760,61287,31846614,40760
060afbfaf8f87dc7,43771,13795423,30470,43893,13794110,30470,43245,13795441,30470
064e711ad31a2fe9,66665,36704150,48594,66800,36701496,48594,66142,36703236,48594
065e17a7760837c9,30323,362467,52051,30459,360615,52051,29802,362649,52051
0660b802381e24f8,32663,2699203,65741,32796,2697665,65741,32139,2699919,65741
06bc635e28cb1514,38836,8874476,24790,38972,8873407,24790,38314,8874504,24790
