content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
00a89237f354f2ca,54361,24293336,45423,54380,24289931,45423,,,
011d8d6fcce8d810,62273,32204902,40285,62293,32203722,40285,,,
012179cfe4720de5,86983,56912481,44303,87001,56911199,44303,,,
01cb9cd7748839d3,75232,45159480,31196,75247,45157511,31196,,,
01cccefd983cbce0,84223,54152228,41642,84240,54150778,41642,,,
02412393ce7b4858,45961,15890759,26986,45979,15889374,26986,,,
02628b1503051206,42784,12714957,48319,42803,12713315,48319,,,
02a11b0f35fbd0c9,32954,2881634,46979,32970,2879923,46979,,,
02b5b377bde1afc9,48900,18831322,37317,48919,18829770,37317,,,
02e16b5f87efd66a,40264,10193820,39872,40282,10192638,39872,,,
02f84ebc19887620,50881,20813022,37266,50900,20810209,37266,,,
0378e59b08dcda8d,88247,58173779,67229,88262,58172096,67229,,,
03874a7e63b17379,33485,3416448,15635,33505,3415242,15635,,,
03a293c6f8332e20,72648,42578977,56582,72667,42577348,56582,,,
044cb843572ea818,71090,41021839,28130,71110,41020595,28130,,,
04ba103c1fef0333,44823,14754790,41673,44843,14753177,41673,,,
04f0ccac83313ca2,38827,8758760,51570,38847,8756998,51570,,,
04f97680cdaa5be0,44523,14454476,34165,44543,14453020,34165,,,
05987ad67e7e3712,35650,5578682,40190,35666,5576047,40190,,,
063162b78c223749,85663,55593322,42722,85681,55591235,42722,,,
0643852dbf360036,78166,48097793,64218,78184,48094236,64218,,,
065dba6ea294831d,62997,32925570,40269,63013,32923674,40269,,,
0732dfe1f354a087,78706,48637149,51964,78724,48634447,51964,,,
07bbbcaed7a3fef0,36129,6059621,39799,36146,6056311,39799,,,
0818042c7eec9fe9,76817,46718793,31187,76807,46717541,31187,,,
082ed9ccb33f834a,74446,44318827,44091,74407,44317324,44091,,,
08398022978f381e,44162,14094480,34379,44183,14093102,34379,,,
08631877366530a4,33727,3657683,46793,33746,3656020,46793,,,
0918aea18a843105,73252,43177341,8838,73266,43176591,8838,,,
09c2ae55ce5cfac8,34086,4017613,44571,34106,4015919,44571,,,
09cc79b0c2450724,52444,22367754,39282,52456,22366509,39282,,,
09d3f819cce7c8f7,72893,42818937,26433,72907,42817368,26433,,,
0a1af011f4674329,31331,1261981,44844,31350,1259974,44844,,,
0a3f525c7184de52,85121,55052885,40883,85141,55051472,40883,,,
0a782fd1d4c4264e,73013,42938381,25637,73027,42937298,25637,,,
0abe39c64b9a785d,60595,30525100,54549,60613,30523664,54549,,,
0c07784830ea1c61,32716,2641545,46794,32729,2639735,46794,,,
0c2dd917a451337d,53641,23568459,43265,53656,23566634,43265,,,
0c4919e095a65fc6,60114,30044637,36546,60133,30043393,36546,,,
0c9a07604d9ce5a6,85481,55412317,42731,85501,55410997,42731,,,
0cc7305f7d09a5fc,73728,43659696,58097,73747,43657841,58097,,,
0d07b2876b5af6f5,63781,33705098,42652,63793,33703810,42652,,,
0d46e02a8816632a,52266,22187726,38740,52276,22186469,38740,,,
0d734d0780948d15,85783,55713297,43158,85801,55710974,43158,,,
0e149c6bfa6c92aa,76523,46450098,32692,76520,46430152,32692,,,
0e2897c0a84173ee,70675,40602711,55426,70691,40601107,55426,,,
0e4d8635eb34682f,68451,38382743,59638,68471,38381004,59638,,,
0e918fb9ebb77958,72347,42278929,57413,72367,42277326,57413,,,
0e94e3a06e9b0fc8,32656,2581976,46784,32669,2579832,46784,,,
0eb9b94cb87ed41d,64376,34305442,46995,64394,34303996,46995,,,
0f038226678d55cc,51852,21772472,39202,51860,21770301,39202,,,
0f1cc31b8af246bc,54117,24048568,44184,54137,24047120,44184,,,
0f25e3b798afdd19,36608,6537951,37510,36626,6536654,37510,,,
0f8121fed218ed76,39666,9594469,36708,39682,9592602,36708,,,
10276fcc56136e44,77810,47739813,58659,77828,47738014,58659,,,
1055d00c519c8fd9,53522,23450171,71230,53538,23448271,71230,,,
10f1ad7560c30f67,61436,31365624,36963,61453,31363702,36963,,,
110ebdd460e4a7f0,50521,20452080,38079,50540,20450028,38079,,,
112bfd60bab60a8a,56582,26510205,40034,56597,26507149,40034,,,
113fab8d05de739b,40924,10855037,67359,40943,10853258,67359,,,
1151927c14a5c4bd,32895,2821592,46929,32909,2819849,46929,,,
11aa8c3238141cdc,79487,49417136,57667,79504,49414283,57667,,,
125c6803e49abffd,80323,50254910,26621,80343,50253808,26621,,,
12c0a66479bf0abd,87581,57511644,10842,87600,57510610,10842,,,
12ebea4e18c48411,76465,46382082,32927,76458,46368747,32927,,,
13390979c9ca0cd9,66891,36822829,67708,66911,36821059,67708,,,
133e18635d22f72b,56643,26573251,40162,56659,26569265,40162,,,
136e6cf061dd61b7,79247,49177427,60291,79264,49174520,60291,,,
1391b53243bcbf14,46920,16851505,38906,46939,16849782,38906,,,
13bc9da4bb2e18aa,71331,41261889,25292,71350,41260659,25292,,,
14887defe8320871,74331,44199367,59720,74287,44197628,59720,,,
14f07320dd9c26cd,48780,18711464,37316,48799,18709788,37316,,,
15020245c462ffde,41845,11755151,43257,41843,11752892,43257,,,
153737e6109fcc45,59575,29505166,37847,59593,29503267,37847,,,
15e1bee4d435d4dd,61376,31305503,37251,61393,31303518,37251,,,
15e89d6b84fec219,56402,26329192,42838,56417,26327153,42838,,,
16439b2a0a483a1f,34928,4858153,40743,34946,4855990,40743,,,
16898d5b971b84cb,62638,32565797,41463,62653,32563693,41463,,,
174752f20d27237b,62698,32625808,40126,62713,32623661,40126,,,
175e3eee5b7877f1,76700,46600944,31625,76688,46598321,31625,,,
175ff6d65ce79355,81109,51037468,56948,81124,51034674,56948,,,
17829a1f64e4ce9a,64796,34728073,43956,64816,34726746,43956,,,
178639021d0e4123,66350,36281510,27708,66370,36279992,27708,,,
17b93538967be006,48240,18171229,39055,48259,18169733,39055,,,
181e8290e84a6987,83085,53017016,57182,83105,53014986,57182,,,
18286864aea8ad55,81768,51699658,40740,81785,51695793,40740,,,
18318dcff152f3b8,54722,24649417,45190,54737,24646898,45190,,,
1839c278e2b34865,52917,22848444,38761,52936,22846399,38761,,,
189dae4bb8a07d5d,64980,34902668,44883,64990,34900330,44883,,,
18dc41dc90621411,48720,18651421,37580,48739,18649792,37580,,,
1972297d98fca435,66470,36402451,60754,66490,36400515,60754,,,
19a85c6fa65d0b7b,58677,28605021,38127,58693,28603121,38127,,,
1a51bf21cb8138f7,72588,42518938,57193,72607,42517395,57193,,,
1a90896ccd05c20c,47339,17271260,39199,47359,17269645,39199,,,
1ab5e6f47c145d46,53402,23328131,41877,53416,23326813,41877,,,
1aef6d0063ac7643,57059,26989272,40549,57077,26987088,40549,,,
1af894311ab407a5,63476,33407494,40839,63495,33405157,40839,,,
1b1d556bcfc31d24,73073,42998499,26036,73087,42997376,26036,,,
1b51eb0b56347833,48180,18111464,41883,48199,18109846,41883,,,
1b6dee438d4748bd,53036,22967812,38612,53056,22966520,38612,,,
1b72da801472cc2d,75053,44977893,23074,75067,44977036,23074,,,
1b9200254013ff9d,70559,40485458,54304,70573,40483845,54304,,,
1bf1f93036c687a8,44703,14633749,20850,44722,14632808,20850,,,
1c119eeb2e67b6f2,41964,11875167,43873,41963,11872920,43873,,,
1c686e1c394ba2fb,70971,40902657,55205,70991,40901080,55205,,,
1c69540cb0b9b647,33192,3121575,47507,33209,3119854,47507,,,
1c878962c7164dd6,56522,26449204,40895,56537,26447141,40895,,,
1ca1cd1142266806,59933,29864692,36671,59953,29863468,36671,,,
1ce42d401935df59,66530,36462653,64535,66550,36460621,64535,,,
1cef8f718f15aacb,55317,25248433,46212,55337,25246996,46212,,,
1d1febf1f23d7f9e,40805,10733914,39919,40822,10732745,39919,,,
1de2e0870e1f47fa,88307,58233646,67152,88321,58231855,67152,,,
1de6531a02e53eb7,43025,12954631,45151,43043,12953113,45151,,,
1e0337f7730a2910,87462,57392484,33733,87481,57391186,33733,,,
1e0d599209f2d2ff,67850,37781691,27196,67870,37780215,27196,,,
1e2018e1b811b133,42142,12055146,44638,42143,12052997,44638,,,
1e37b49a55fdf1f3,86203,56133524,43586,86221,56131252,43586,,,
1e7009e8732988cb,65099,35022396,44932,65110,35020129,44932,,,
1ea5d0f556bab874,49742,19674051,52678,49760,19670861,52678,,,
1ebf10a413691222,78526,48455572,20766,78543,48453493,20766,,,
1ec54e424067a0ac,32358,2290010,46670,32375,2285111,46670,,,
1ec89570091a62e4,79127,49058588,59621,79144,49054418,59621,,,
1f268074398cf530,56342,26269067,43913,56357,26266887,43913,,,
20c6a05b1f9aff46,82545,52477157,50596,82564,52474726,50596,,,
20d15c2bc2f3592a,45543,15472133,60838,45560,15469969,60838,,,
20f4208844c1c79f,56821,26749009,40739,56837,26746953,40739,,,
20f9d47179138aed,43564,13494621,46914,43583,13493165,46914,,,
210c33ee130657df,49320,19251446,37840,49340,19249865,37840,,,
2270c0c6bfd0514b,89921,59853763,56996,89941,59851809,56996,,,
227d0f01874027e3,35829,5757470,37965,35846,5756022,37965,,,
2329d61ee7d7673e,50162,20092057,37990,50180,20089982,37990,,,
23d2f54de77b8837,36069,5998351,38638,36086,5996093,38638,,,
23dae78d95454cfd,33426,3356562,16841,33445,3355284,16841,,,
246961afb163f07e,33667,3597941,14693,33687,3597113,14693,,,
247003fdc0cd64eb,35230,5158421,41452,35246,5155995,41452,,,
24f56f8b4609eb30,44883,14815042,61060,44903,14813467,61060,,,
250fe64bccc3e25c,40324,10253994,39719,40342,10252854,39719,,,
2552e60234459796,37930,7857724,35825,37946,7856491,35825,,,
255f972bdef263ed,75471,45399181,29805,75487,45397362,29805,,,
25706f8cb19c4f51,39906,9834720,39212,39922,9832619,39212,,,
264b1dbf13b8e8d6,32596,2521673,46725,32609,2519822,46725,,,
277813cb50868f2e,55800,25728586,45331,55817,25727200,45331,,,
27d3a63584b67d87,49679,19611397,37348,49699,19609804,37348,,,
27f3a58e27a5c5d6,45723,15650578,30487,45739,15649283,30487,,,
2809084a28ccfa28,53096,23028218,38957,53117,23026890,38957,,,
282678feb9d87545,75770,45701718,41876,75789,45699207,41876,,,
282d2f31da8f8cd2,83740,53671625,26098,83760,53670391,26098,,,
28a89a3b918b06c8,40085,10013902,40095,40102,10012742,40095,,,
2957b21da0ddf175,69967,39882086,33083,69970,39880656,33083,,,
29880854087a8344,58318,28250016,38334,58337,28247262,38334,,,
29bcc8276740882c,77991,47922547,62975,78009,47919233,62975,,,
29ce89f232385048,82068,51995288,18392,82084,51994327,18392,,,
29e8ec5de696b972,34988,4918127,40896,35006,4915921,40896,,,
2a0acc7034194cfb,70500,40423679,54205,70512,40422022,54205,,,
