ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-20T23:23:26+00:00,1779319406271688432,8.70,6.86,1.83,100868,37,29,831,7.32,7.09,0.00,85.58,0.93,0.87
2026-05-20T23:23:27+00:00,1779319407433914505,5.16,3.87,1.29,100868,37,29,831,8.17,10.75,0.22,80.86,13.22,3.45
2026-05-20T23:23:28+00:00,1779319408573754708,4.47,3.13,1.34,100868,37,29,831,5.37,7.83,0.22,86.58,1.85,0.00
2026-05-20T23:23:29+00:00,1779319409721696578,4.45,3.12,1.34,100868,37,29,831,5.57,7.35,0.22,86.86,1.85,0.00
2026-05-20T23:23:31+00:00,1779319410870515651,4.46,3.12,1.34,100868,37,29,831,7.37,7.81,0.22,84.60,0.94,0.00
2026-05-20T23:23:32+00:00,1779319412026596706,4.95,4.05,0.90,100868,37,29,831,5.18,6.98,5.18,82.66,2.83,0.00
2026-05-20T23:23:33+00:00,1779319413177065853,4.39,1.75,2.63,100868,37,29,831,9.43,8.77,0.00,81.80,20.00,3.45
2026-05-20T23:23:34+00:00,1779319414324500242,4.44,2.67,1.78,100868,37,29,831,17.11,9.11,0.22,73.56,33.03,10.53
2026-05-20T23:23:35+00:00,1779319415477056537,4.78,2.61,2.17,100868,37,29,831,26.74,13.04,0.22,60.00,46.43,20.00
2026-05-20T23:23:36+00:00,1779319416661379018,5.27,3.52,1.76,100868,37,29,831,5.93,7.91,0.22,85.93,1.83,2.61
2026-05-20T23:23:37+00:00,1779319417816494184,4.42,2.21,2.21,100868,37,29,831,5.30,7.73,0.00,86.98,0.00,3.42
2026-05-20T23:23:39+00:00,1779319418961879609,4.78,3.04,1.74,100868,37,29,831,15.00,10.65,0.22,74.13,35.71,5.22
2026-05-20T23:23:40+00:00,1779319420138414979,5.27,3.96,1.32,100868,37,29,831,27.25,12.09,0.00,60.66,43.12,14.04
2026-05-20T23:23:41+00:00,1779319421285728941,3.99,2.66,1.33,100868,37,29,831,8.43,8.87,0.00,82.71,1.85,0.88
2026-05-20T23:23:42+00:00,1779319422432184144,4.42,3.53,0.88,100868,36,29,831,7.06,8.17,0.22,84.55,1.89,1.77
2026-05-20T23:23:43+00:00,1779319423574723643,5.30,4.42,0.88,100868,36,29,831,6.84,6.40,0.00,86.75,0.00,0.88
2026-05-20T23:23:44+00:00,1779319424720715143,3.95,3.95,0.00,100868,36,29,831,7.24,5.70,0.22,86.84,0.00,0.00
2026-05-20T23:23:46+00:00,1779319425881597012,4.57,3.33,1.25,100868,36,29,831,9.15,8.11,0.21,82.54,0.89,0.00
2026-05-20T23:23:47+00:00,1779319427092570753,5.38,2.69,2.69,100868,36,29,831,12.78,8.74,0.00,78.48,1.90,0.88
2026-05-20T23:23:48+00:00,1779319428241561233,3.49,2.62,0.87,100868,36,29,831,5.90,6.99,0.00,87.12,0.00,0.00
2026-05-20T23:23:49+00:00,1779319429383344418,5.29,3.52,1.76,100868,36,29,831,5.95,6.83,0.22,87.00,0.00,1.72
2026-05-20T23:23:50+00:00,1779319430532347658,4.80,2.18,2.62,100868,36,29,831,7.42,9.17,0.22,83.19,6.36,2.63
2026-05-20T23:23:51+00:00,1779319431687983676,3.97,1.77,2.21,100868,36,29,831,8.39,9.71,0.22,81.68,2.80,0.87
