ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-20T23:17:39+00:00,1779319059087290824,8.84,5.58,3.26,101460,37,38,826,12.09,9.77,0.23,77.91,0.00,1.74
2026-05-20T23:17:40+00:00,1779319060229748045,4.98,2.26,2.71,101460,37,38,826,4.30,7.24,0.00,88.46,2.78,0.88
2026-05-20T23:17:41+00:00,1779319061372987489,4.06,2.71,1.35,101460,37,38,826,3.84,7.45,0.23,88.49,0.00,0.87
2026-05-20T23:17:42+00:00,1779319062519113803,4.94,3.15,1.80,101460,37,38,826,6.97,7.87,0.22,84.94,1.85,0.00
2026-05-20T23:17:43+00:00,1779319063666042191,4.98,3.62,1.36,101460,37,38,826,13.12,8.37,0.00,78.51,1.90,0.88
2026-05-20T23:17:44+00:00,1779319064817056246,4.91,3.12,1.79,101460,37,38,826,4.46,6.92,0.22,88.39,0.00,1.72
2026-05-20T23:17:46+00:00,1779319065958243153,4.40,3.52,0.88,101460,37,38,826,8.57,6.81,0.00,84.62,11.01,4.35
2026-05-20T23:17:47+00:00,1779319067104658023,4.74,3.88,0.86,101588,37,38,826,23.49,12.50,0.22,63.79,34.23,20.34
2026-05-20T23:17:48+00:00,1779319068280292133,4.89,4.00,0.89,101588,37,38,826,17.56,9.11,0.00,73.33,27.52,6.19
2026-05-20T23:17:49+00:00,1779319069436400577,5.35,3.56,1.78,101588,37,38,826,6.68,9.13,0.22,83.96,1.89,3.45
2026-05-20T23:17:50+00:00,1779319070586885076,4.38,3.50,0.88,101588,37,38,826,6.56,7.66,0.22,85.56,0.00,1.74
2026-05-20T23:17:51+00:00,1779319071740529890,4.36,2.18,2.18,101588,37,38,826,23.75,12.20,0.22,63.83,47.79,30.43
2026-05-20T23:17:53+00:00,1779319072910478353,4.81,2.63,2.19,101588,37,38,826,10.72,12.69,0.00,76.59,11.11,3.48
2026-05-20T23:17:54+00:00,1779319074061769389,4.37,4.37,0.00,101588,37,38,826,7.21,6.55,0.22,86.03,2.75,0.88
2026-05-20T23:17:55+00:00,1779319075216916684,4.46,3.12,1.34,101588,36,38,826,9.60,9.60,0.22,80.58,1.90,1.74
2026-05-20T23:17:56+00:00,1779319076359559536,4.42,2.65,1.77,101588,36,38,826,5.52,6.62,0.00,87.86,0.00,0.00
2026-05-20T23:17:57+00:00,1779319077503930831,4.89,4.00,0.89,101588,36,38,826,5.33,6.67,0.00,88.00,0.93,0.00
2026-05-20T23:17:58+00:00,1779319078652125442,4.42,3.97,0.44,101588,36,38,826,8.39,8.61,0.22,82.78,0.93,0.00
2026-05-20T23:17:59+00:00,1779319079801975182,5.01,2.92,2.09,101588,36,38,826,5.43,13.99,0.21,80.38,19.38,0.00
2026-05-20T23:18:01+00:00,1779319080953423718,4.03,2.24,1.79,101588,36,38,826,5.59,7.16,0.22,87.02,1.85,0.00
2026-05-20T23:18:02+00:00,1779319082101879958,4.94,2.70,2.25,101588,36,38,826,4.49,7.42,0.00,88.09,0.94,0.00
2026-05-20T23:18:03+00:00,1779319083255540309,4.48,3.14,1.35,101588,36,38,826,8.74,8.97,0.22,82.06,6.54,3.51
2026-05-20T23:18:04+00:00,1779319084400439272,4.44,2.22,2.22,101588,36,38,826,8.22,7.56,0.00,84.22,0.93,0.00
2026-05-20T23:18:05+00:00,1779319085547621715,4.97,3.61,1.35,101588,36,38,826,4.29,7.00,0.23,88.49,0.95,1.72
