content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
00fd506ce6ca248d,39380,9352331,66401,39400,9349178,66401,,,
0117d89fc1d592b6,85979,55951422,37362,86000,55949209,37362,,,
016e592858926e20,35541,5513473,40025,35564,5512270,40025,,,
018bb1e7648ca551,87236,57210260,64119,87259,57207824,64119,,,
01dce4199aa284be,87719,57688566,34679,87739,57687327,34679,,,
01ddd02efafd27f7,32301,2273896,37242,32324,2272610,37242,,,
01f2ff40c7322f4f,44776,14748281,56338,44797,14746036,56338,,,
024c1132196358cb,87117,57090300,54300,87139,57087635,54300,,,
024d75a990c46522,86459,56429522,36913,86479,56427686,36913,,,
029a84ebd6350b0d,63785,33758275,19100,63807,33755779,19100,,,
0323dfcbc4dfa0d1,89035,59006187,64956,89055,59003954,64956,,,
0347e05129af9865,61747,31720682,28037,61771,31719576,28037,,,
03532b531f99655a,47116,17087701,40615,47137,17085868,40615,,,
03a4ebad0ea82825,77639,47611537,37709,77661,47609915,37709,,,
03c5de24128aabda,86579,56548409,36336,86598,56547189,36336,,,
03fbcec4e8d3eabc,73201,43175156,56774,73225,43173713,56774,,,
04244a23dea9eee9,44003,13977131,74401,44024,13972457,74401,,,
045ce90605a4862a,32779,2753111,37454,32803,2751892,37454,,,
045edfd5702ed6fd,60249,30221627,33053,60271,30219536,33053,,,
04a8b3f112ddd9b1,47777,17748020,43582,47797,17745946,43582,,,
04de4ca9e88a8105,42078,12050653,37268,42100,12049075,37268,,,
04df812ce84279c7,81120,51092090,45175,81142,51090624,45175,,,
051d1f909ecbe0ad,49696,19667518,40430,49717,19666091,40430,,,
0542881b485c15ff,77038,47011399,36812,77061,47009736,36812,,,
0589f05cd5f6ad43,31880,1853238,37807,31903,1851921,37807,,,
05ef47d67470a21d,46216,16187768,37785,46237,16185680,37785,,,
060f7deda5e97268,70266,40234385,34003,70284,40233068,34003,,,
06451dff65fe77ca,89632,59604833,37464,89655,59603571,37464,,,
0694a0160b1848dd,49216,19187439,32919,49237,19186051,32919,,,
06aa3f5fa6090ae6,70206,40174494,48668,70224,40173108,48668,,,
06ae313a8ae3a347,87356,57328585,37330,87379,57327303,37330,,,
06c0222886a0d85e,72006,41974387,32593,72025,41973267,32593,,,
070cdbb2adceed91,69060,39034006,27334,69084,39032944,27334,,,
071933361fc9a425,40337,10310601,27066,40360,10308983,27066,,,
075b3f59e9aae841,36142,6114619,41416,36164,6112653,41416,,,
08258f61c9367aee,88138,58109323,34828,88159,58107614,34828,,,
08a7d5a02307d8c7,53411,23383827,37171,53434,23382564,37171,,,
08f5a0a7142799fa,77459,47431710,37008,77481,47430152,37008,,,
09256c9c46228e9a,81539,51512116,46688,81562,51510737,46688,,,
0999945eddf11cc7,75158,45110267,37712,75159,45107807,37712,,,
09e1c6010d6d9d7b,71220,41193935,28263,71244,41192944,28263,,,
0a15fd93ac483ab3,63250,33217269,29886,63267,33215848,29886,,,
0a191bf4400732d7,61867,31840693,28012,61891,31839587,28012,,,
0a25683ebc4acf97,41477,11450761,38898,41501,11449305,38898,,,
0a4644f94127f5ca,67925,37898638,58426,67948,37896991,58426,,,
0a4dd77c144453a5,83697,53669435,44771,83718,53667167,44771,,,
0afb73b8a3e31982,41238,11211112,39729,41260,11208950,39729,,,
0b0d6071a43ca253,40699,10671158,39058,40720,10668858,39058,,,
0b7b5cdd95c90cee,48136,18107521,44108,48157,18106009,44108,,,
0b84c282755d9755,80345,50312933,41766,80363,50311592,41766,,,
0bbf2da209d896c8,62228,32201586,25821,62251,32200153,25821,,,
0c732cd88ac42137,54070,24044039,36557,54094,24042713,36557,,,
0c88c9fb8ff8782b,56292,26264266,24749,56314,26262770,24749,,,
0c90692b639c436d,30573,546913,38068,30596,544347,38068,,,
0cf1cab5d8f67b08,69364,39333546,19442,69384,39332577,19442,,,
0d74878d7464efeb,57969,27941498,40684,57990,27939197,40684,,,
0d91d128063761a9,57195,27165393,37679,57214,27163030,37679,,,
0dd0be0e53c6e85d,37644,7614822,44290,37664,7612519,44290,,,
0dd3cec7be7912be,89274,59244710,37935,89295,59243498,37935,,,
0e88bfc644e5f52c,36441,6414381,42195,36464,6412329,42195,,,
0eb9b94d93529faf,49636,19607172,28216,49657,19605984,28216,,,
0f3ab324606fb8d0,59592,29563250,48395,59612,29560586,48395,,,
0f732644800e6246,89513,59484980,37413,89535,59483714,37413,,,
0fd06ad2e0a78af6,71587,41557439,66024,71605,41553580,66024,,,
100ad830b2db0b6b,71467,41441104,64901,71489,41437672,64901,,,
108b05070db84ad9,60789,30762144,60256,60811,30760094,60256,,,
1094b836bff0829c,35962,5933579,41392,35984,5932296,41392,,,
1182d24cd39747f4,35601,5573545,40479,35624,5572228,40479,,,
11b0ad44c706e606,58510,28481652,46442,58531,28479400,46442,,,
11b76c7837024ad9,69122,39096014,20848,69145,39093668,20848,,,
11e16378aaeefe58,48375,18349397,44056,48398,18346955,44056,,,
122fff743978a3f9,33020,2993604,52974,33043,2992078,52974,,,
123eff0574054288,37703,7674824,44167,37724,7672530,44167,,,
12c0a8870c7a8e1f,66425,36398396,55124,66448,36396753,55124,,,
13297e64b4f6c28d,68467,38438730,59286,68488,38437151,59286,,,
13c60a5ef43788f8,82738,52712418,47180,82762,52710820,47180,,,
13d5eef3cdc99657,73805,43778060,59436,73825,43773940,59436,,,
13e602cd3e6af05a,33622,3594207,37587,33643,3592121,37587,,,
14156c4519aae425,88979,58949545,54477,88999,58947832,54477,,,
14410e1d69a13865,59228,29202377,47114,59251,29199963,47114,,,
15818518561dd8c4,56958,26924360,38047,56974,26923148,38047,,,
15f5fceded22a235,45017,14987531,26863,45037,14985743,26863,,,
1610918714d23713,31171,1137819,37352,31187,1135885,37352,,,
16347ae1c3fe9518,61088,31062270,61222,61111,31060171,61222,,,
163948b1152d5379,39139,9111640,65402,39161,9109364,65402,,,
172af9fa6c884fbe,90053,60024932,37995,90075,60023620,37995,,,
179a29e5b5a238b1,79259,49231795,40579,79282,49230277,40579,,,
1847f7865ebdbd6b,63369,33338891,28167,63389,33337708,28167,,,
18731242955fa89c,58089,28061563,41219,58110,28059198,41219,,,
191d27a3d0f651fd,30269,237791,38845,30287,235543,38845,,,
195fa97391ad50df,74703,44675106,41645,74725,44673668,41645,,,
19c51b570108e125,77157,47131601,36580,77181,47129953,36580,,,
1a53cfe8daebeaa0,76559,46531236,37035,76581,46529740,37035,,,
1a78df0e451565b9,38066,8035623,45049,38084,8033006,45049,,,
1aaf00eed0466c5b,56659,26625086,63519,56675,26623496,63519,,,
1ac3f10d027662ce,37882,7854144,44475,37904,7852635,44475,,,
1ae789fdd9d7377f,42918,12890671,36916,42941,12889380,36916,,,
1ba3ce1d76d1bf18,64385,34358644,56092,64408,34357011,56092,,,
1bbcee64be23d964,43217,13190724,36079,43241,13189420,36079,,,
1bf5ced0b2920281,80521,50492330,43090,80542,50490404,43090,,,
1c1dd58566c40178,30508,477723,38736,30527,475520,38736,,,
1c62d972dc34a865,57078,27052559,37307,57097,27045380,37307,,,
1cb27512a557d3b2,68168,38139448,60156,68188,38137109,60156,,,
1ce850ff08634d4a,49876,19848759,65582,49898,19847003,65582,,,
1cf03deeaa9eafbc,73745,43716059,59904,73765,43714040,59904,,,
1d084e17d7c3a305,55754,25725525,40144,55774,25722900,40144,,,
