ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-21T00:08:04+00:00,1779322084175489576,9.25,7.05,2.20,102052,37,31,691,10.35,8.37,0.22,81.06,3.51,0.00
2026-05-21T00:08:05+00:00,1779322085390062038,7.08,5.75,1.33,102052,37,31,691,7.52,7.52,0.00,84.96,1.85,0.86
2026-05-21T00:08:06+00:00,1779322086542129167,6.24,4.90,1.34,102052,37,31,691,5.57,7.13,0.00,87.31,0.95,0.00
2026-05-21T00:08:07+00:00,1779322087693375352,6.74,4.49,2.25,102052,37,31,691,5.84,7.42,0.22,86.52,1.89,0.87
2026-05-21T00:08:08+00:00,1779322088840832499,6.15,3.96,2.20,102052,37,31,691,8.79,8.57,0.22,82.42,2.78,0.87
2026-05-21T00:08:10+00:00,1779322089988565795,6.22,4.00,2.22,102052,37,31,691,14.89,8.67,0.00,76.44,1.90,0.00
2026-05-21T00:08:11+00:00,1779322091133740628,7.14,5.36,1.79,102052,37,31,691,6.47,7.14,0.22,86.16,0.93,0.00
2026-05-21T00:08:12+00:00,1779322092280316831,6.24,4.90,1.34,102052,37,31,691,6.01,7.13,0.00,86.86,0.93,1.74
2026-05-21T00:08:13+00:00,1779322093434907163,5.76,4.43,1.33,102052,37,31,691,6.65,8.65,0.22,84.48,4.59,1.75
2026-05-21T00:08:14+00:00,1779322094576841126,6.43,5.22,1.20,102052,37,31,691,9.24,8.63,0.20,81.93,1.69,0.00
2026-05-21T00:08:15+00:00,1779322095854087662,6.09,4.78,1.30,102052,37,31,691,7.61,8.70,0.22,83.48,1.89,0.00
2026-05-21T00:08:17+00:00,1779322097000279957,5.75,2.65,3.10,102052,37,31,691,5.75,7.74,0.00,86.50,1.87,0.87
2026-05-21T00:08:18+00:00,1779322098156284494,7.10,4.88,2.22,102052,37,31,691,5.10,7.76,0.22,86.92,0.93,0.00
2026-05-21T00:08:19+00:00,1779322099309457123,5.30,4.86,0.44,102052,37,31,691,7.73,5.74,0.22,86.31,0.00,1.72
2026-05-21T00:08:20+00:00,1779322100457993326,5.68,3.49,2.18,102052,36,31,691,8.52,9.17,0.00,82.31,2.75,0.00
2026-05-21T00:08:21+00:00,1779322101618601788,5.94,4.67,1.27,102052,36,31,691,11.04,11.46,0.21,77.28,16.80,0.00
2026-05-21T00:08:22+00:00,1779322102762585676,6.65,4.88,1.77,102052,36,31,691,6.43,7.10,0.00,86.47,1.83,0.87
2026-05-21T00:08:24+00:00,1779322103915155953,5.65,3.91,1.74,102052,36,31,691,6.74,6.96,1.09,85.22,0.00,0.00
2026-05-21T00:08:25+00:00,1779322105072662138,6.17,4.12,2.06,102052,36,31,691,8.85,9.67,0.00,81.48,0.86,0.81
