content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
0015c042cca0d280,50713,20692740,54140,50740,20691295,54140,49906,20693310,54140
0026bc1c9457b57c,72899,42876732,28370,72925,42875601,28370,72096,42877017,28370
00b115308802b5b0,32545,2520443,56461,32565,2516411,56461,31737,2518720,56461
00b9cf01d0fa259a,38178,8158031,58613,38205,8156430,58613,37371,8158674,58613
00f3cd2796eb89de,86937,56914073,54228,86962,56912520,54228,86134,56914640,54228
00f785ea7868a60d,30808,781010,54291,30828,778891,54291,29999,781416,54291
00fa4c65e60dfba5,44059,14038608,28984,44086,14037260,28984,43256,14038797,28984
011f31bb2e6e2fd1,83695,53673397,26362,83721,53672389,26362,82891,53673647,26362
013c5f6a1c2cf151,54970,24945458,26661,54993,24943661,26661,54165,24944576,26661
01562b977039e12c,40754,10732180,25475,40780,10731163,25475,39948,10732407,25475
01601c51d13e1ff2,78062,48032813,27565,78081,48031731,27565,77254,48033054,27565
01d1ad939fd8f59a,87534,57510107,24276,87558,57508830,24276,86729,57509950,24276
01e1fc6b64dbd6c6,77167,47140324,52970,77186,47137358,52970,76362,47139441,52970
0205e0b8dfefd761,31701,1678863,24249,31726,1676843,24249,30894,1677783,24249
020eb4a3e414159c,32783,2757329,59437,32805,2755723,59437,31975,2757902,59437
021d8ac7e107ca16,59044,29022922,29147,59071,29021730,29147,58238,29023102,29147
02f05f3a6128c93b,52270,22247387,53478,52295,22246005,53478,51465,22247966,53478
02f5e84f70a4277e,39377,9356454,52839,39402,9352849,52839,38569,9354842,52839
03a9a449ab752d68,40036,10014067,55105,40062,10012625,55105,39231,10014655,55105
03c3f1979bbe643f,67203,37181600,41494,67228,37179192,41494,66397,37180810,41494
03cc3423805e72e2,69723,39700076,23096,69747,39698089,23096,68916,39698997,23096
03dc89c254aff7fa,70023,40002692,60622,70050,40001084,60622,69220,40003335,60622
040045f27b78c439,88990,58950677,27677,88998,58949409,27677,88174,58950803,27677
042a4274135b4222,78181,48152723,26228,78201,48151644,26228,77373,48152899,26228
048bc36bb3954297,87593,57569405,18234,87617,57568439,18234,86789,57569296,18234
05338fca51f1d311,85793,55768257,7570,85817,55767499,7570,84988,55767945,7570
053e2bbe42f11a16,72721,42697531,27905,72744,42695024,27905,71916,42696279,27905
058412e04ec7a70a,64085,34064541,53370,64111,34061573,53370,63281,34063427,53370
0595ca52012d24df,59230,29206450,29120,59253,29204420,29120,58423,29205828,29120
05c1d6b5faf016f6,44835,14814436,54443,44860,14811419,54443,44031,14813178,54443
05ee2d24266aac9d,55148,25125811,19941,55173,25124269,19941,54344,25125205,19941
0653ef79774dbb0e,70743,40721357,31458,70769,40719848,31458,69938,40721417,31458
06674e18052f9467,53721,23688851,50571,53736,23687386,50571,52913,23689297,50571
0723eb4686a40edb,77767,47738910,58848,77785,47736181,58848,76952,47738564,58848
07841009778c1a4d,42920,12899214,32227,42945,12895839,32227,42114,12897137,32227
082f4895d323282f,76932,46898423,29164,76945,46896288,29164,76128,46897718,29164
0833a33e454031fa,77460,47439433,57391,77487,47437722,57391,76655,47439915,57391
08446809aeff4bf7,34579,4557478,56384,34605,4555901,56384,33770,4558050,56384
08556950c6738bef,67144,37120834,40644,67169,37119516,40644,66338,37121220,40644
085ab64df47e3638,44478,14454052,48562,44500,14450978,48562,43675,14452621,48562
093530ac922b3604,50057,20031021,28233,50078,20029111,28233,49248,20030373,28233
093536119f5ec1a6,66674,36640627,40155,66688,36639124,40155,65869,36640991,40155
09519bd63c7eecbd,55815,25788564,59001,55836,25786900,59001,55008,25789102,59001
09672fa5d23e1e38,75660,45639080,55483,75685,45635662,55483,74855,45637625,55483
09febdf0d4871582,86272,56252511,54185,86300,56251076,54185,85467,56253118,54185
0a038b54700f5fad,46319,16301527,44098,46327,16277530,44098,45472,16279733,44098
0a7249a683f66ab7,72127,42101748,59490,72148,42098503,59490,71314,42100742,59490
0a7f7c13e708a1e5,67264,37243837,41088,67290,37240877,41088,66457,37242589,41088
0a8e6351e49a2f49,35418,5393432,9578,35441,5392436,9578,34612,5392915,9578
0b0775d4814fe363,41298,11273847,53213,41321,11272319,53213,40492,11274299,53213
0b6234d08d60af88,50832,20811393,54194,50859,20809950,54194,50025,20811995,54194
0b79f588bdd4043b,39917,9893973,55511,39942,9892491,55511,39111,9894616,55511
0b8a6740b13e9928,56293,26268563,60452,56316,26266980,60452,55487,26269164,60452
0b8b33abe662d050,41723,11703133,52573,41750,11700770,52573,40912,11702670,52573
0b951e88eeb57940,71402,41379305,20563,71427,41378276,20563,70594,41379200,20563
0ba7a84b8a9d7b74,76320,46298837,27703,76346,46296574,27703,75512,46297727,27703
0bac2759543d5409,41478,11455287,53493,41502,11453295,53493,40671,11455542,53493
0bc335733c132f52,69428,39400816,34405,69448,39399197,34405,68618,39400868,34405
0bffbcbd392f0f33,71947,41920017,59685,71965,41916090,59685,71135,41918406,59685
0c44c7fe8d5c2391,33980,3958681,53343,34005,3955712,53343,33172,3957758,53343
0c4bd7eb6719342a,37877,7856094,38880,37903,7853716,38880,37074,7855129,38880
0c527111d8d0ec69,52150,22128564,54675,52176,22126909,54675,51341,22129070,54675
0c77aa45f09e5730,64145,34124666,53901,64171,34121586,53901,63341,34123437,53901
0c8c55b147ebc702,65013,34971610,36138,65014,34965272,36138,64186,34966752,36138
0d25a5befe2ef74c,58925,28902594,32115,58950,28901409,32115,58119,28902906,32115
0d70ce766283d6e2,54074,24048399,54669,54096,24046659,54669,53267,24048857,54669
0d733426b55d313e,79438,49413993,41486,79460,49411439,41486,78633,49412905,41486
0d7399896db9bf7c,78596,48572805,27032,78621,48571829,27032,77790,48573047,27032
0d815c5c74e34a8e,54311,24291080,54707,54338,24289213,54707,53503,24291515,54707
0db1a1340e6682ca,36858,6835763,30802,36883,6834223,30802,36052,6835495,30802
0dd7b41fdc3d9f1a,70324,40302644,60563,70348,40299308,60563,69521,40301484,60563
0dfac47b043a954e,84837,54811782,54828,84859,54810373,54828,84029,54812385,54828
0ecf2bdfb032cf2b,76081,46059459,59117,76107,46057783,59117,75273,46060022,59117
0ed13b9fec5a80cc,41783,11760164,52598,41805,11755880,52598,40971,11757872,52598
0ee39b4f8c7875be,48313,18289440,30853,48337,18288154,30853,47504,18289598,30853
0f1723f131fc0516,41115,11097839,50264,41142,11092996,50264,40307,11095052,50264
0f6a79affc30d3be,69782,39759052,21189,69807,39757480,21189,68975,39758295,21189
0f758286a1ff1393,43935,13914884,56894,43962,13913128,56894,43128,13915338,56894
0f9c3960ec31753e,44776,14754399,52112,44800,14751256,52112,43972,14752964,52112
0fa25b0dc6b53ca9,69961,39940911,56265,69987,39938434,56265,69154,39940509,56265
10594bcb091c2c18,30630,600808,54167,30648,598986,54167,29813,601272,54167
1077ccafd82de4a1,33376,3355195,25875,33403,3353725,25875,32570,3354850,25875
109842d6bcd899ee,53661,23625902,33813,53673,23623745,33813,52853,23624922,33813
10b63c79d5649a30,84358,54337810,53852,84382,54332697,53852,83550,54334960,53852
10f523f90c5f63a7,36141,6119577,65418,36166,6116707,65418,35337,6119622,65418
10fe0546218460e8,86515,56491912,54681,86538,56488691,54681,85706,56490648,54681
111baeb643b12642,35656,5635464,28379,35683,5634061,28379,34851,5635285,28379
115f57239bc2ecc7,66376,36340173,40917,66387,36337725,40917,65571,36339197,40917
12776d43e9384275,38543,8518888,60701,38566,8517217,60701,37736,8519507,60701
129830d27419c1a2,51848,21825922,34489,51873,21824401,34489,51042,21826129,34489
12c6cf04f21a6cf7,85671,55651040,24497,85699,55649961,24497,84868,55651226,24497
12ccbcfbd0809792,71582,41560179,27207,71608,41558727,27207,70779,41559842,27207
12d44666ca9a543d,87296,57270706,26697,87318,57269360,26697,86492,57270735,26697
12e93d26ade6cf64,74700,44675869,19551,74724,44674933,19551,73895,44675974,19551
13047e96ee66ccf2,41842,11813574,52618,41860,11810826,52618,41030,11812662,52618
134241a4b62c02f5,85016,54991838,54674,85039,54990435,54674,84208,54992474,54674
