ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-21T00:21:31+00:00,1779322891305378391,10.50,7.31,3.20,101552,37,43,808,7.76,7.31,0.23,84.70,0.93,0.88
2026-05-21T00:21:32+00:00,1779322892451037780,6.67,3.11,3.56,101552,37,43,808,5.33,8.89,0.22,85.56,1.87,0.89
2026-05-21T00:21:33+00:00,1779322893598239409,6.15,4.40,1.76,101552,37,43,808,12.09,7.03,0.00,80.88,0.92,0.86
2026-05-21T00:21:34+00:00,1779322894777156408,6.15,3.96,2.20,101552,37,43,808,6.15,6.59,0.22,87.03,1.80,0.87
2026-05-21T00:21:36+00:00,1779322895926672907,5.50,3.81,1.69,101552,37,43,808,12.05,9.51,0.00,78.44,0.00,0.83
2026-05-21T00:21:37+00:00,1779322897125394462,7.93,5.73,2.20,101552,37,43,808,6.39,7.71,0.22,85.68,0.93,1.74
2026-05-21T00:21:38+00:00,1779322898273278535,5.71,3.96,1.76,101552,37,43,808,10.55,8.13,0.00,81.32,4.59,16.67
2026-05-21T00:21:39+00:00,1779322899419882831,6.02,4.30,1.72,101552,37,43,808,26.45,12.04,0.22,61.29,57.14,17.39
2026-05-21T00:21:40+00:00,1779322900585388515,6.56,4.81,1.75,101552,37,43,808,14.66,11.16,0.22,73.96,19.27,6.09
2026-05-21T00:21:41+00:00,1779322901745928793,7.36,3.46,3.90,101552,37,43,808,6.93,9.74,0.00,83.33,3.70,1.69
2026-05-21T00:21:43+00:00,1779322902909858218,5.05,3.79,1.26,101552,37,43,808,9.26,10.11,0.21,80.42,8.18,5.00
2026-05-21T00:21:44+00:00,1779322904112324106,6.18,4.42,1.77,101552,37,43,808,23.18,10.38,0.00,66.45,31.82,13.39
2026-05-21T00:21:45+00:00,1779322905267593346,7.56,5.33,2.22,101552,37,43,808,8.67,10.00,0.22,81.11,4.76,4.39
2026-05-21T00:21:46+00:00,1779322906417969882,6.15,3.96,2.20,101552,37,43,808,13.85,11.87,0.22,74.07,7.41,6.96
2026-05-21T00:21:47+00:00,1779322907572783122,6.28,4.48,1.79,101552,36,43,808,5.83,8.97,0.00,85.20,2.83,0.88
2026-05-21T00:21:48+00:00,1779322908718141381,7.14,4.91,2.23,101552,36,43,808,5.80,8.04,0.67,85.49,0.93,0.00
2026-05-21T00:21:50+00:00,1779322909867227454,5.78,4.44,1.33,101552,36,43,808,4.89,7.56,3.33,84.22,0.93,0.00
2026-05-21T00:21:51+00:00,1779322911020652750,5.93,3.39,2.54,101552,36,43,808,8.26,11.65,0.21,79.87,14.40,0.00
2026-05-21T00:21:52+00:00,1779322912166743897,6.12,3.67,2.45,101552,36,43,808,8.16,9.59,0.20,82.04,7.09,2.29
2026-05-21T00:21:53+00:00,1779322913497398545,7.50,4.58,2.92,101552,36,43,808,10.83,8.54,0.00,80.62,0.00,0.00
2026-05-21T00:21:54+00:00,1779322914645178803,5.86,4.50,1.35,101552,36,43,808,4.73,6.98,0.23,88.06,0.95,0.00
2026-05-21T00:21:56+00:00,1779322915791515692,6.05,3.89,2.16,101552,36,43,808,7.78,9.07,0.00,83.15,6.14,6.56
2026-05-21T00:21:57+00:00,1779322917025954080,6.42,4.71,1.71,101552,36,43,808,13.28,8.14,0.21,78.37,1.87,1.75
2026-05-21T00:21:58+00:00,1779322918175903709,6.24,3.56,2.67,101552,36,43,808,5.57,7.80,0.22,86.41,1.85,0.87
2026-05-21T00:21:59+00:00,1779322919327847819,6.29,4.04,2.25,101552,36,43,808,10.11,8.31,0.00,81.57,0.00,0.88
2026-05-21T00:22:00+00:00,1779322920479566744,6.24,4.01,2.23,101552,36,43,808,5.12,7.35,0.22,87.31,0.93,0.00
2026-05-21T00:22:01+00:00,1779322921626236188,6.24,3.12,3.12,101552,36,43,808,6.90,9.13,0.00,83.96,0.00,0.00
2026-05-21T00:22:02+00:00,1779322922770553206,7.10,4.88,2.22,101552,36,43,808,5.99,7.98,0.22,85.81,1.87,0.86
2026-05-21T00:22:04+00:00,1779322923926997872,5.74,3.53,2.21,101552,36,43,808,6.18,8.17,0.00,85.65,0.93,0.88
2026-05-21T00:22:05+00:00,1779322925081060279,7.06,5.30,1.77,101552,36,43,808,7.73,7.95,0.22,84.11,0.00,0.00
