content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
003e652a2840254f,51612,21651254,67544,51702,21648784,67544,,,
005c0218ef8fd933,35354,5392433,28575,35444,5391525,28575,,,
00ae53a2346d4365,37639,7673551,38728,37724,7671320,38728,37151,7745475,38728
00b955cfbfc86cf7,49028,19067037,37621,49117,19064626,37621,,,
00c040abc01b66f3,80275,50311691,27129,80362,50309635,27129,,,
00fc996d716e93eb,85252,55291114,27696,85343,55290103,27696,,,
0109371f5471d316,78598,48636138,47934,78687,48634682,47934,,,
0154fe88a9cfe6d8,82948,52957884,37172,83008,52955569,37172,,,
01ac42cca579505c,46693,16728257,58850,46778,16724999,58850,,,
01c54ed300f3253e,41833,11872016,41806,41923,11870371,41806,,,
01e56754cc112dec,81715,51751826,38222,81803,51750555,38222,,,
021db096b27c92bb,90053,60090955,61192,90142,60089067,61192,,,
0234981f5bd6b175,32658,2694042,45627,32744,2690973,45627,,,
029ab085f2170b2f,46087,16125972,28400,46177,16124016,28400,,,
02d1342b3bf7af6f,87075,57088769,43878,87139,57086200,43878,86571,57169001,43924
02d6b0ff0d705dcb,77580,47618310,62301,77666,47613485,62301,,,
032f55d5f8d11af7,72238,42273776,34728,72324,42271522,34728,,,
034934ffc394c165,53350,23384724,42241,53435,23381737,42241,,,
039480ebb5efd3e8,51842,21881693,40526,51914,21861589,40526,,,
03f6eaae618732a0,76258,46296159,44580,76347,46294085,44580,75779,46368523,44603
04a822bdfc65f08b,63603,33640291,27149,63691,33638288,27149,,,
04bd7622c5a6e747,50053,20087383,36798,50139,20086131,36798,,,
04da98ba5771dc64,89094,59128946,31793,89179,59126510,31793,,,
056e556fe41ae80f,85614,55652685,27871,85703,55650314,27871,,,
0592fe44d95062b2,42253,12290956,41150,42342,12289506,41150,41771,12373017,41219
05b118e56d8e30b0,60724,30760787,37655,60812,30759596,37655,,,
05e546dcf55da9fb,55631,25671052,66527,55721,25668225,66527,,,
0609d9a87ea899b4,85555,55593232,28112,85645,55592096,28112,,,
065952cb0039c7d9,64929,34968686,43072,65018,34965277,43072,,,
065c7b48f255bc95,38358,8397116,37363,38447,8394303,37363,,,
0693f692313b2ef7,79975,50010628,27231,80062,50009535,27231,,,
06af715012508d1f,61443,31482542,36923,61533,31480048,36923,,,
070dab437f2e3cc6,40880,10910749,44388,40961,10907918,44388,,,
072da9a181420698,32300,2337999,45118,32389,2336371,45118,,,
073fee99c3ca7480,79854,49893918,27240,79945,49892571,27240,,,
074b102e2b68c338,72537,42577069,40009,72625,42572039,40009,,,
075e514eca327236,67862,37898757,46000,67949,37895899,46000,,,
07620e50a01729fb,89450,59487788,24249,89539,59486665,24249,,,
077d8472124c73c7,35777,5814039,40433,35866,5812701,40433,,,
079aafbad19bef51,83340,53372401,35715,83424,53371122,35715,,,
07a3b36bd851f535,63969,34000556,26847,64052,33999444,26847,,,
082639e4566f6861,52929,22964152,41292,53016,22962850,41292,52447,23041681,41338
087f144587a06582,38957,8997409,54834,39047,8993895,54834,,,
090d198b4bdabde9,40453,10490064,39724,40540,10487499,39724,,,
0951aa243db0057b,37339,7373569,40229,37424,7371073,40229,,,
096757cdf885445f,47112,17148798,59957,47200,17147116,59957,,,
098801165bfe864c,42552,12591950,43082,42643,12590458,43082,42059,12661264,43151
09d437cd9385ab8f,59227,29267269,38929,59313,29260246,38929,,,
0a21890000e1b3a7,64029,34060556,26879,64112,34059488,26879,,,
0a2230c6565994ef,89331,59366577,11003,89419,59365830,11003,,,
0abfa32f49ac38e1,49568,19607825,37433,49659,19606061,37433,,,
0adf14002586d309,52481,22488036,40513,52539,22486627,40513,,,
0b68f85ff09d0915,87189,57208749,45380,87259,57206095,45380,,,
0bbd6177c20cccd5,56111,26146964,65055,56198,26145167,65055,,,
0bd00d6df2856854,47769,17806111,27260,47858,17805038,27260,,,
0ca2f7f6a5ec3dcd,41773,11812122,41460,41863,11810550,41460,,,
0ccbecf771735bc5,47171,17209297,60351,47260,17207533,60351,,,
0cfd7a7d1b58f844,36016,6055516,40415,36104,6051365,40415,,,
0d2b5193e99ff8c6,66367,36397836,30096,66448,36395543,30096,,,
0d90b2f1f97b9500,74101,44140560,39761,74190,44137625,39761,,,
0e0069d11d2aeaf7,60304,30342755,37969,60392,30339270,37969,,,
0e52a522d2374e6b,33797,3833583,20179,33885,3831726,20179,33309,3913116,20179
0e9f0aa920de78cd,40633,10671283,41860,40721,10668174,41860,,,
0f337e4b99dd3fce,63723,33761886,26978,63813,33760645,26978,,,
10277c3e7a29ea4f,72775,42814055,40007,72865,42811805,40007,,,
10596b0505106b54,79140,49179364,65139,79230,49177366,65139,,,
110baf6432f10aea,63909,33940437,26919,63992,33939448,26919,,,
1172c6ff7212e851,79316,49353718,63454,79405,49351982,63454,,,
119d387bf29f8fd4,34756,4792986,32276,34845,4791758,32276,,,
1239fb6106ef8112,47291,17327396,43843,47379,17326009,43843,,,
126aa97cf91c4bdf,73143,43177025,59172,73225,43172430,59172,,,
12860046eb8706de,52018,22008098,40114,52060,22006793,40114,51491,22087433,40114
128892c9ce2d5fae,61083,31120883,36729,61172,31119656,36729,,,
12dd49492b4db9e2,30381,416944,38452,30468,415641,38452,,,
12f38c3f083326fa,82257,52292043,40677,82342,52289517,40677,,,
1344b4a56a4b92bd,68160,38199818,42260,68249,38195849,42260,67689,38285719,42329
1346a6c89166c985,88310,58349786,42987,88399,58346596,42987,,,
1390fb48c7298fc1,58334,28365518,39450,58416,28363183,39450,57840,28441664,39565
1407aa22b15d11f9,51904,21926574,40824,51963,21909885,40824,,,
141b3697ed13d0ad,68943,38980004,41035,69029,38976548,41035,,,
141b5e55885325a5,69121,39158855,41137,69210,39157383,41137,,,
14be67da64e11914,34637,4675640,62210,34726,4673636,62210,,,
14e371575dae57ed,43826,13851391,45751,43903,13850016,45751,,,
1548b1b308b06caa,51432,21469245,58090,51520,21467549,58090,,,
156b4bd65d5f14f2,61503,31542101,36964,61592,31539168,36964,,,
159c7f1cafca5bb9,63543,33580324,27299,63631,33578432,27299,,,
1690c28f9621f1ab,71762,41801864,33871,71852,41799024,33871,,,
16930053cb83cca7,71879,41914365,34623,71965,41911965,34623,,,
16c8793b8ea43268,75657,45695884,42022,75747,45694221,42022,,,
16e92365b4ecca74,39793,9831639,37572,39882,9829128,37572,,,
1793bba6f197934c,46271,16306110,30181,46357,16304070,30181,,,
17d0f6ff20907825,66001,36040519,55552,66092,36038717,55552,,,
1826f49fc42f4563,37100,7133529,39975,37185,7132254,39975,,,
183be67921ab452f,49752,19791251,54453,49842,19788944,54453,,,
184ad41f0f7aff74,73083,43115855,59447,73165,43112514,59447,,,
18cfbd62de847ae8,81176,51212139,38041,81264,51210834,38041,,,
18fa128ed10e0ad9,47231,17269170,60564,47320,17267327,60564,,,
191d53c9c860c9f2,73502,43534971,40197,73585,43532314,40197,,,
19262f8451193568,68040,38077871,42745,68129,38075758,42745,,,
195d9b918d8ee6d8,72298,42333578,35860,72384,42331589,35860,,,
19ab6bf07a695bf6,80754,50791729,40737,80843,50790371,40737,,,
19affd18d32d779e,55992,26026526,64637,56078,26024761,64637,,,
19bdb95e8b0393e0,83284,53319005,35847,83369,53316289,35847,,,
1a697aa9f5581f8d,64683,34721908,42463,64773,34720583,42463,,,
1ac53ebdeedd36e2,56586,26623566,29109,56675,26622404,29109,,,
1af80480e710ab16,53413,23452831,70693,53501,23448114,70693,,,
1b09b343f974447f,82593,52592873,37871,82643,52590643,37871,,,
1b4c0ad1be514bce,62586,32624639,60211,62675,32622495,60211,,,
1c0714bab8c76be4,79555,49591007,31441,79643,49589777,31441,,,
1c2027753942e7ff,46211,16248320,52244,46298,16245157,52244,,,
1c26fe8a72caf6df,88734,58771293,68927,88822,58769553,68927,,,
1c47a9151a604c1b,86786,56792166,42237,86843,56790200,42237,,,
1c58c05f4a330f9c,73739,43774269,39885,73825,43771865,39885,,,
1c6237a8560b41b0,50770,20808332,37012,50859,20806507,37012,,,
1c6e6b57575dcb9b,48491,18527494,39096,48579,18525813,39096,,,
1c8cc343eb736fa1,59588,29620567,39067,59672,29619248,39067,,,
1cb82389e334ef33,57374,27404853,41003,57456,27403200,41003,,,
1d00661205653ce0,44591,14629047,20510,44680,14627508,20510,,,
1d5b7df8d8f2ebc5,85974,56010388,40989,86059,56006553,40989,,,
1d610c669f6d4627,53534,23565627,44953,53616,23562995,44953,,,
1db4009544c301eb,30982,1017074,39357,31067,1014432,39357,,,
1dd130de7d1de335,40333,10371870,38285,40422,10369155,38285,,,
1e9352adf1f1e52b,82077,52116354,37901,82166,52112993,37901,,,
1ec99bd0ef2910a9,67204,37244242,66613,67294,37241622,66613,,,
1f43bc095a7f0690,89813,59850932,59247,89902,59849048,59247,,,
1f79048840fadd9d,62165,32203155,51722,62253,32199828,51722,,,
1ff11b0473d31e21,74401,44434888,40283,74486,44433196,40283,73935,44504608,40306
205a7940b67d7560,64089,34120369,26837,64172,34119285,26837,,,
206c53b879c0572b,51492,21529700,59411,51580,21527466,59411,,,
2096bf365509fdf4,81356,51391895,37864,81444,51390705,37864,,,
20d479c894d2143d,71043,41078223,36998,71130,41076993,36998,,,
20eea0185da371fa,37818,7853217,37042,37904,7851145,37042,37331,7928300,37042
21083e7872dcb8af,43999,14031150,46520,44083,14029741,46520,,,
21aa7f6cf70d1b91,54130,24164972,47350,54216,24163098,47350,,,
21ac5fe507c3d2ed,45076,15113864,67935,45165,15111916,67935,,,
21aff810609249a7,83999,54038353,87621,84087,54033831,87621,,,
21c00131724da5cb,64565,34601858,42366,64653,34600423,42366,,,
21c4dff9744272cb,47893,17932397,27048,47978,17925515,27048,,,
21c5e7c7ac488cae,39613,9650291,37630,39702,9648745,37630,,,
21c9a0b2b5e2bf5a,58394,28425649,39256,58476,28423243,39256,,,
2240e694bad79322,53892,23925184,45924,53976,23923215,45924,,,
237e3c2f59eb9cc6,57848,27884559,40130,57936,27883068,40130,,,
23b86b3406b7dddf,54308,24346422,47238,54397,24344194,47238,,,
23e120b0935893d4,33136,3174913,46678,33225,3172541,46678,32647,3248072,46931
246b91f9695d3589,64268,34301899,43514,64353,34300541,43514,,,
25055e3d77b70f58,35477,5514254,43236,35566,5512885,43236,,,
25596da7ba62a79c,46753,16791573,59976,46841,16788132,59976,,,
2564e6b29691cadb,89509,59548466,22311,89600,59547283,22311,,,
25785e0cb5bd95ae,48731,18769133,38865,48821,18767722,38865,,,
