content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
00a3bce37c61c609,81054,51042958,65796,81127,51040966,65796,,,
01fa733a7fec624e,47646,17633731,45400,47718,17632381,45400,,,
01fe937654f0782b,44342,14279491,56305,44363,14276479,56305,,,
02af3cdf5912fcac,75359,45340806,37539,75424,45338342,37539,,,
02d7075eaa331965,88728,58714374,40403,88798,58712375,40403,,,
034b3d65255e707d,67289,37245395,40830,67329,37242877,40830,,,
034dd41af5f07774,56107,26091650,58172,56174,26088425,58172,,,
0352484b8975574c,56522,26510500,26297,56594,26508139,26297,,,
0387a33745bb620e,47285,17273543,43432,47358,17272153,43432,,,
03a65aba990d4bdd,80571,50557651,39914,80641,50555066,39914,,,
04bf4b01488c743f,60241,30229895,32752,60314,30228272,32752,,,
051d2f930a8991fc,63842,33826869,38367,63911,33824536,38367,,,
0524e0d2b80a8c1c,84295,54278568,40093,84363,54277251,40093,,,
0624301baeef20f5,82131,52120388,46544,82205,52118965,46544,,,
06aa91c5ff7ba660,63419,33408887,38147,63492,33406360,38147,,,
06cdaf94c64f594a,83873,53859705,41232,83943,53857290,41232,,,
06fea45145a4270d,34874,4860070,39269,34945,4858836,39269,,,
0700b2660ca0895e,43629,13616262,37964,43701,13614995,37964,,,
07767ebc3dc3319a,55224,25189240,27266,55273,25187239,27266,54654,25215212,27266
07edd0cfaedb066e,49166,19142281,47225,49225,19139086,47225,,,
07f2e214eca4f296,42609,12597868,39882,42681,12595411,39882,,,
089c01af4a05dbee,86455,56434350,37322,86518,56432124,37322,,,
08ce831a817ff1d3,88130,58114301,36930,88198,58112295,36930,,,
08d7701eee1a37a3,71941,41926421,62624,72011,41924595,62624,,,
09184471ee58b080,60899,30887909,56228,60971,30884745,56228,,,
09bdb0df123db53b,37154,7142981,47221,37227,7141190,47221,,,
0a0410e6efad4ae7,48365,18353523,46515,48437,18350720,46515,,,
0a51f3d1c6b16e3d,76860,46843830,54628,76927,46840917,54628,,,
0a7cd5f49cd240a0,63002,32987597,39020,63072,32985977,39020,,,
0aca7fb3a2c3f5d2,64943,34910628,37717,64992,34905771,37717,,,
0afcff3f1a51182e,68818,38804210,41043,68889,38802940,41043,,,
0b63e195ca1a8cfc,52748,22734993,55905,52818,22731882,55905,,,
0baa46270c345ace,88966,58954867,40423,89040,58953610,40423,,,
0bcd59a42fa53046,50106,20095169,55648,50180,20093583,55648,,,
0bdfecc493da2109,39614,9596084,41809,39680,9593765,41809,,,
0c147bf95ef242b7,52927,22912319,20306,52998,22911423,20306,,,
0c277c2eb0eb8d05,74634,44620459,37335,74704,44618300,37335,,,
0c44ba8a5147ffad,79974,49958139,28039,80042,49955835,28039,,,
0c6817c6c4c93b87,69839,39824858,45095,69909,39823359,45095,,,
0cb9276e26ab37f0,53403,23389182,27520,53474,23388011,27520,,,
0cd2c0e66991ea37,65766,35747918,52880,65831,35745399,52880,,,
0ce2753c6dcfd1bb,75968,45940637,34896,76026,45939456,34896,,,
0d2f0cc64c5cdfaa,83393,53382157,42594,83463,53377251,42594,,,
0d5a983af8055b8c,85069,55058404,37949,85143,55057149,37949,,,
0e22de3a366a6c51,62277,32266157,28006,62350,32264077,28006,,,
0e934df1da80eda0,56048,26031745,58720,56115,26028428,58720,,,
0f333b91fcb94e6f,59224,29210831,44137,59294,29208391,44137,,,
0f78ac86082e4695,39971,9955696,38525,40040,9953443,38525,,,
0f81a6d142acae3e,64882,34871672,37793,64954,34868274,37793,,,
0fa7bc5bbd50c77c,88310,58294565,38246,88378,58292172,38246,,,
0fbf9f1179112e8c,74334,44323041,37828,74408,44321824,37828,,,
10eef6cf4922a4dc,53823,23811648,54516,53896,23809806,54516,,,
112662241bcd8b9d,36672,6660406,46723,36745,6658951,46723,,,
1194eb2e461fc4b0,44902,14876827,38859,44961,14875329,38859,,,
11d4cc2581f44b6a,44570,14517507,38485,44601,14515229,38485,,,
11d632777351a62d,51485,21472701,20964,51558,21471743,20964,,,
1249280f1379c997,48305,18293673,46540,48377,18290946,46540,,,
12661a720e640bd5,63722,33707757,38366,63791,33704651,38366,,,
12ceda42c21da5ac,62942,32928148,38963,63012,32925996,38963,,,
12e9057af79f8770,83030,53018844,41457,83103,53017404,41457,,,
12f74a06001eeb19,30440,423998,38834,30508,421790,38834,,,
1313b28f12afb274,44958,14936849,38720,45021,14935278,38720,,,
1321ac4f5078a32c,33644,3633340,39821,33716,3629957,39821,,,
13872eaf932c134d,67799,37784230,43178,67868,37781456,43178,,,
138f1423bc07dc0e,68156,38143666,39801,68227,38141264,39801,,,
13a8c817ff7fc29e,64320,34307997,37880,64392,34306052,37880,,,
13e52e326ba656fc,65003,34968679,37511,65051,34965307,37511,,,
141852f3b7c0ee2f,57842,27830883,41464,57916,27829431,41464,,,
1444bd530e37467f,55809,25791495,58269,55874,25788272,58269,,,
144a9d08df3dd783,73914,43902556,39767,73985,43898829,39767,,,
149e0e99f40085b5,64141,34129677,64262,64214,34127901,64262,,,
14e14a6b5b26b9d1,60180,30168347,45189,60253,30166904,45189,,,
160229a698735362,46209,16196918,40437,46281,16194489,40437,,,
1606dd94b5b41783,35555,5522626,40473,35606,5519627,40473,,,
1619f8b87794d87d,89332,59320533,68043,89399,59313370,68043,,,
162a3de0a7a45032,83090,53078351,41485,83163,53077071,41485,,,
1637ada4cb0b60b7,85010,54998253,38105,85083,54997046,38105,,,
16ddc8688e00a66e,51129,21113359,27418,51198,21111786,27418,,,
16e08725179fe390,30740,724101,38325,30809,722933,38325,,,
17007ca5da21dad8,71216,41202131,8946,71287,41201126,8946,,,
17206877f4ac0822,41714,11703039,38458,41786,11699509,38458,,,
178351f6768b2f85,42012,11995706,37323,42080,11993619,37323,,,
1785f1364a39fa51,75115,45101384,37681,75185,45099141,37681,,,
18026e2d4c0f976c,42311,12296806,36526,42380,12293751,36526,,,
18af9446d8485354,75910,45888117,35234,75973,45886744,35234,,,
191f634dbe0dcb37,52269,22257278,55700,52340,22253945,55700,,,
1921f349c4a97768,48185,18173398,45565,48257,18170654,45565,,,
196dd99dc78364ca,35909,5882397,41819,35965,5879275,41819,,,
19c99ac8ecd871dd,74574,44560423,37375,74644,44558163,37375,,,
19cc0fc479ff0ef5,71881,41868467,62216,71953,41866765,62216,,,
19cd8e39e4e143d8,51010,20996567,28185,51081,20995146,28185,,,
1a2bf56db9bbe3f7,31216,1203002,38370,31288,1201803,38370,,,
1a379a397edab159,87709,57694268,36636,87779,57693095,36636,,,
1a702a78a6e6cc16,76554,46543459,70090,76626,46539613,70090,,,
1a74737e4aa5833b,30799,783314,38086,30868,782073,38086,,,
1ac7652548e31702,72653,42639928,29336,72725,42638759,29336,,,
1b7d48bf93ddc459,49335,19312629,33729,49397,19310589,33729,,,
1bf942adf048eb0f,74694,44680422,37104,74764,44678212,37104,,,
1bfff0546c2939c5,34752,4740143,39915,34823,4737350,39915,,,
1cce988ca9f763e3,48800,18773828,46628,48857,18771020,46628,,,
1cf10f901df36a86,37213,7198640,24706,37284,7197620,24706,,,
1d9608a31d7b3b64,75850,45820811,35233,75904,45818251,35233,,,
1dec05cda4b2b440,77397,47382179,56736,77465,47379101,56736,,,
1e62aaf9e76a6f92,72360,42344153,32368,72429,42342986,32368,,,
1e85bc8d2fa60c95,60421,30404367,9585,60490,30403439,9585,,,
1e94c1861ec00ecb,67457,37424145,40598,67508,37421607,40598,,,
1e9ce2edb1474110,51726,21713454,27946,51798,21711779,27946,,,
1e9e793ae585dc7c,77635,47623064,41754,77705,47619276,41754,,,
1ead6e8126a3e2ec,42192,12175795,37550,42260,12173648,37550,,,
1f2f8c3b42eb9525,68276,38263911,40405,68348,38261481,40405,,,
1f34afb23860e9ca,66766,36725436,40924,66806,36719812,40924,,,
1f5c12db2597d741,66541,36527773,40194,66611,36524938,40194,,,
1f6344b823db1b90,53942,23932064,54397,54016,23930270,54397,,,
1f7a44f21195e9df,69539,39528366,74536,69612,39526235,74536,,,
1f7fe9e606c2239c,65593,35575042,37872,65655,35569348,37872,,,
209321cad0df53cc,88907,58894814,40160,88980,58893531,40160,,,
2095016337251d47,76920,46905047,54262,76988,46902101,54262,,,
20f3398c026aa066,38416,8400937,47533,38485,8399387,47533,,,
214b57b35e0612ea,60000,29987909,45494,60072,29986011,45494,,,
21a14b13b4a85194,79731,49718720,31003,79802,49715879,31003,,,
21ab5527b4127f6f,70575,40545423,47011,70630,40543989,47011,,,
221364bf434477e6,63962,33947114,38356,64031,33944583,38356,,,
22310fc6b2d5851e,45549,15536381,38998,45620,15534227,38998,,,
225c59a2b27bf4c2,59524,29513159,45053,59596,29509696,45053,,,
2261fab40a83254b,86514,56494524,36469,86578,56492083,36469,,,
22bef6793f462d0c,39674,9655743,41042,39740,9653449,41042,,,
2335b7fa16434d8e,72891,42879527,25894,72964,42878405,25894,,,
2353aa26e229cc41,52027,22016124,57243,52098,22012039,57243,,,
23889bf326dbd4e6,85371,55358554,38290,85443,55357227,38290,,,
23f5422575681439,81240,51218482,48840,81303,51217085,48840,,,
2409136795758e33,64740,34728246,37358,64811,34724828,37358,,,
2461ed49188e5395,66302,36287418,37718,66371,36284985,37718,,,
2483a86e3255b872,44736,14697028,38628,44781,14695302,38628,,,
2558ce6c4c56e310,79851,49837463,28886,79922,49835856,28886,,,
258dcef2877d7e47,55749,25731844,58126,55814,25728199,58126,,,
259484dfc0ff6894,83996,53980123,43556,84064,53977534,43556,,,
26352f28c3196aaf,82730,52720041,46789,82805,52718614,46789,,,
2676c37ac33aec0e,78533,48522645,48914,78606,48520075,48914,,,
26afe697a9d691fe,33311,3298287,25162,33383,3297172,25162,,,
26d4939a6e7678b1,37333,7319174,29660,37404,7317936,29660,,,
26d7420a07440435,64261,34248102,37656,64333,34246591,37656,,,
26e886206874c2d8,53343,23332188,48524,53416,23329835,48524,,,
271f08861fbb1fa8,66881,36823438,40361,66907,36821163,40361,,,
275c202dee47ea09,89026,59015141,40661,89100,59013869,40661,,,
277772251e4ecc50,70457,40425035,46938,70510,40423663,46938,,,
27a5c8b373e55834,47586,17574152,45173,47659,17572787,45173,,,
27bcf36a924d936c,63121,33109092,38603,63192,33105987,38603,,,
27d9ab8f04fd8e0d,72593,42580448,29736,72665,42579327,29736,,,
283c2e3b113e7151,41650,11638174,37833,41723,11636730,37833,,,
2868dff63046e91e,88489,58474770,40720,88558,58472368,40720,,,
286c5038a002d9bb,64679,34668269,37675,64752,34666249,37675,,,
28c069cadbecf007,71099,41082604,16416,71168,41081794,16416,,,
28d543cf736a6f4e,65122,35086850,37464,65171,35084731,37464,,,
2906ddfb68a4b076,60958,30947993,59496,61031,30944807,59496,,,
290ce4ffebdfb570,67741,37726079,68009,67808,37722372,68009,,,
2926bd30f3ca6524,44625,14576950,37679,44661,14575175,37679,,,
295f4dc2e6830e07,35375,5347440,67489,35430,5343859,67489,,,
29833300b0352379,53643,23631199,53179,53716,23629622,53179,,,
2987463080ea26b2,33705,3660276,37722,33744,3657637,37722,,,
29adf2057e192a43,85671,55659526,37325,85744,55658154,37325,,,
29ccadca2da87579,53463,23449323,25362,53534,23448245,25362,,,
2a1b64f34f357b2a,68095,38084392,40455,68168,38081609,40455,,,
2a6f41032acb1260,42971,12957071,37650,43041,12955067,37650,,,
2a76dbddd16b822a,86042,56017827,37428,86102,56015586,37428,,,
2a880a163008e189,83210,53198181,40977,83283,53196839,40977,,,
2aadfa91aa47c186,59940,29928317,45206,60012,29926175,45206,,,
2b0d5359bbdb1f38,86995,56975275,36002,87060,56973999,36002,,,
2b225b4eb80540d2,44514,14457540,38714,44541,14455262,38714,,,
2b75198b79d56511,69236,39224468,43688,69308,39221778,43688,,,
2b9f3c6f03cbf128,88190,58176824,37331,88259,58173182,37331,,,
2c405b3263d82c02,72061,42047570,64718,72131,42044922,64718,,,
2c573f612e178d41,32477,2461247,55914,32543,2457359,55914,,,
