content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
004966316ead5024,50833,20869980,43425,50911,20869573,43425,50156,20869474,43425
0054cece94d04ddd,82437,52474241,44675,82515,52473071,44675,81763,52473918,44675
0060a9d86b6eeb62,45875,15889215,40640,45930,15888389,40640,45188,15888925,40640
0068570584d4c960,47772,17809673,42465,47851,17809311,42465,47098,17809130,42465
007201c7ccbf7bc1,58567,28606212,37912,58648,28606602,37912,57894,28606167,37912
00a80cb33437a291,35600,5635635,38445,35677,5635291,38445,34926,5635082,38445
014cb15f82a028cd,46870,16909690,39494,46950,16907823,39494,46197,16908810,39494
019e0b086da5890e,70681,40720617,46160,70762,40720283,46160,70008,40720242,46160
01aa6dafdc625000,75240,45279058,39557,75321,45279624,39557,74566,45278946,39557
01cedfefb8c76459,60062,30102845,76541,60146,30104428,76541,59389,30103702,76541
01d093e3f5614f52,34655,4696448,54478,34737,4694990,54478,33979,4692003,54478
021de76763f062e5,37697,7737783,44141,37779,7736854,44141,37023,7735940,44141
023b0aa897279b2d,79134,49172967,27081,79214,49172068,27081,78462,49172449,27081
027746eb6859cbc6,61565,31602774,33227,61644,31601770,33227,60891,31602481,33227
0318143a400b42a8,40001,10024456,41960,40065,10023454,41960,39311,10018779,41960
032ea735af79d8fe,37936,7976201,45686,38018,7975889,45686,37263,7975846,45686
039639434cf02b60,78239,48277549,56678,78320,48278233,56678,77565,48277546,56678
03bab9ebe2098e72,30920,958898,25886,30999,957322,25886,30246,958047,25886
047f7c32e87b05e7,67562,37600369,38927,67642,37599710,38927,66889,37599728,38927
04b6fce0020bdf7e,64683,34723070,38446,64765,34723332,38446,64011,34722882,38446
04c2ba130443e680,82916,52956564,47618,82998,52955775,47618,82242,52954640,47618
055d64093f26c59f,63726,33763952,42306,63804,33762277,42306,63053,33763073,42306
056ed0239043142c,70501,40540496,45712,70581,40539193,45712,69827,40540211,45712
05af6a5bef62ea5b,66430,36459871,39236,66501,36458776,39236,65756,36459220,39236
06e27a06d556800d,81119,51155104,44745,81195,51153582,44745,80445,51154295,44745
07b62bac8aa99b10,46043,16069288,38973,46111,16068813,38973,45362,16068545,38973
07bc3f4aa1f86632,34896,4918760,65527,34960,4917773,65527,34219,4917331,65527
07fa25a4f9ee39f2,46214,16249136,36512,46290,16248526,36512,45537,16248296,36512
0809ab4fd60d1e85,77880,47919361,69217,77959,47917474,69217,77205,47918392,69217
081f5dcd5e55d160,65104,35143090,37548,65185,35143415,37548,64430,35142936,37548
082972da23e31e04,53529,23565470,37636,53608,23565798,37636,52854,23565484,37636
083f70e33e18bc7e,38419,8455140,7677,38496,8454073,7677,37745,8454344,7677
0863ce4104ed8eb7,36379,6416343,40843,36456,6414302,40843,35706,6415383,40843
08a4a33187258bf6,39912,9952251,42170,39984,9942338,42170,39222,9934331,42170
08b12135e5e9cf63,59405,29442590,42740,59484,29441905,42740,58731,29442338,42740
08d41cb0d82aae53,42075,12113665,66857,42155,12113173,66857,41399,12113072,66857
0915c9c1dd5f8764,41473,11512430,39451,41554,11511754,39451,40800,11511773,39451
09214934f983fbc0,66074,36109588,37718,66150,36107928,37718,65401,36106755,37718
09384ccb44deaa79,76385,46424868,38696,76467,46425108,38696,75710,46422047,38696
09e9c9ca2c67be22,38299,8339026,25476,38379,8336973,25476,37625,8336744,25476
