ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-21T00:25:23+00:00,1779323123112578494,8.22,6.39,1.83,101320,38,31,947,7.31,7.08,0.23,85.39,0.95,0.00
2026-05-21T00:25:24+00:00,1779323124261848697,4.88,3.99,0.89,101448,37,31,947,8.20,8.87,0.00,82.93,0.00,0.88
2026-05-21T00:25:25+00:00,1779323125408110659,4.37,4.37,0.00,101448,37,31,947,6.99,7.42,0.22,85.37,0.93,0.00
2026-05-21T00:25:26+00:00,1779323126552680547,4.38,3.94,0.44,101448,37,31,947,7.00,7.00,0.00,86.00,2.78,0.00
2026-05-21T00:25:27+00:00,1779323127705593232,4.88,4.43,0.44,101448,37,31,947,10.64,7.98,0.22,81.15,2.83,0.00
2026-05-21T00:25:28+00:00,1779323128854128972,4.39,3.51,0.88,101448,37,31,947,7.02,6.80,0.22,85.96,0.93,1.77
2026-05-21T00:25:30+00:00,1779323129999207082,4.44,4.00,0.44,101448,37,31,947,8.89,7.78,0.00,83.33,0.00,0.86
2026-05-21T00:25:31+00:00,1779323131141249026,4.86,3.97,0.88,101448,37,31,947,6.40,5.96,0.00,87.64,1.85,0.00
2026-05-21T00:25:32+00:00,1779323132286236544,4.26,2.55,1.70,101448,37,31,947,5.53,13.40,0.21,80.85,21.97,2.65
2026-05-21T00:25:33+00:00,1779323133432395025,4.93,3.14,1.79,101448,37,31,947,6.50,7.17,0.22,86.10,1.87,1.72
2026-05-21T00:25:34+00:00,1779323134582857765,4.43,3.10,1.33,101448,37,31,947,6.87,8.87,0.00,84.26,0.93,0.00
2026-05-21T00:25:35+00:00,1779323135734510023,4.45,4.01,0.45,101448,37,31,947,5.12,7.57,0.22,87.08,0.94,0.00
2026-05-21T00:25:37+00:00,1779323136885797912,4.49,2.70,1.80,101448,37,31,947,4.27,6.74,0.22,88.76,1.85,0.00
