content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
00bea1f27f5c8df9,71160,41207441,53382,71237,41205609,53382,,,
014654059fe6a755,30196,240535,59078,30271,239553,59078,,,
017a265dbdc81114,68212,38259648,38510,68292,38260201,38510,,,
018725b80b1f3b01,53339,23386314,37698,53417,23385811,37698,,,
01b961b5aa048b4a,64437,34486004,38001,64518,34486747,38001,,,
01c73f89c6a3d029,72530,42577942,25841,72608,42576102,25841,,,
01ebe63220c5404a,60199,30225751,75370,60255,30223390,75370,,,
01fb538f339b9efb,84589,54634031,39444,84666,54634416,39444,,,
0254cad1a3938dcb,42727,12773564,38416,42803,12771513,38416,,,
02e58c3657af36ba,61739,31783307,24806,61813,31781794,24806,,,
02feb15335bdce23,32112,2159519,39452,32191,2159519,39452,,,
034bda2c71877692,71523,41561274,55139,71592,41560704,55139,,,
03809c6daf607dab,57958,28006756,24822,58037,28005314,24822,,,
03d761d636432136,39606,9651657,37446,39684,9652240,37446,,,
041e7493aff90297,69006,39042072,37523,69074,39042758,37523,,,
04289a300d944dbf,72231,42276436,24748,72307,42275557,24748,,,
04a6f4345fcf6b05,82098,52116046,55973,82146,52114155,55973,,,
0509c2642defeb38,33671,3717869,37935,33748,3716250,37935,,,
057ddfef3767341f,30552,599847,60411,30632,600465,60411,,,
0592ad23bda9b1e8,78052,48097848,38570,78128,48096711,38570,77412,48177286,38892
05a88569be6b16fa,71881,41921584,55075,71953,41921016,55075,,,
06be05891ecdbd8a,69832,39880797,37152,69911,39879783,37152,,,
078b9b842c535510,54120,24169798,38980,54199,24167547,38980,,,
07a0c234ae262cf3,79487,49533108,38535,79565,49533751,38535,,,
0850b8c5ecd67966,42667,12713436,38289,42743,12711488,38289,,,
085fe31c308762b7,88810,58858896,39451,88880,58848806,39451,,,
0862228f544a15bf,33611,3655845,37800,33687,3655389,37800,,,
087837143a118d78,45726,15774814,53902,45804,15772521,53902,,,
089fb17a3692fc7c,75289,45336640,39602,75369,45337034,39602,,,
08d97edbf465b876,56409,26449078,36796,56481,26449523,36796,,,
08e50d30aea4cc5b,61204,31243321,26776,61274,31241902,26776,60561,31316483,26822
08e68eb5f88649c5,80988,51034463,37725,81064,51032642,37725,80348,51107494,37725
091b8035d34f33df,43445,13494109,39467,43524,13491887,39467,,,
0966bd0b3e9fad14,87523,57570552,41312,87603,57571820,41312,,,
09849eac74da4ebb,32291,2339882,39426,32370,2338872,39426,,,
098956a07b7a2e54,37933,7982077,37022,38011,7979254,37022,,,
09f8bccf1e45d49e,35289,5336570,38289,35366,5334794,38289,,,
09f91ffc40c1f7bb,88605,58653877,41997,88685,58653352,41997,,,
0a678069ac136b1f,70734,40781133,50275,70812,40779980,50275,,,
0a7083fbe2530bc7,50704,20750731,38223,50780,20748884,38223,,,
0a9dc424860d3417,88242,58290805,41581,88322,58290466,41581,,,
0ae5a5d9e3db6cb2,71702,41741580,54818,71772,41740025,54818,,,
0b34757072f826c1,31992,2039911,39270,32071,2039141,39270,,,
0b62a52070ccc2ef,69297,39341707,40489,69371,39339269,40489,,,
0c0786d3c11ea67e,81048,51096195,37666,81124,51092638,37666,80408,51175925,37666
0c08c5cc5b14b8dc,86208,56250759,39479,86281,56249564,39479,,,
0c73630df989e6d5,35591,5637366,38554,35668,5636209,38554,,,
0cdb222eef822af1,88362,58411263,42074,88442,58410506,42074,,,
0d063bf068860867,64737,34784284,39176,64815,34782988,39176,,,
0d0d63eca3f11a63,63174,33222906,36956,63255,33223650,36956,,,
0d7e691b5f9f0072,80808,50854441,37225,80884,50852612,37225,,,
0e3224d8a0f3d5ae,40211,10253596,37864,40284,10252028,37864,,,
0e5b3522b22ee2d1,70253,40299770,37528,70332,40300346,37528,,,
0e609331b2d19c92,70012,40060357,36199,70091,40059749,36199,,,
0e6c845262136d4f,33007,3055041,40136,33087,3055622,40136,,,
0ee5b1bd501b32df,79966,50013771,54314,80046,50014443,54314,79328,50093693,54360
0f176b3428a7008e,43986,14034001,54784,44065,14033061,54784,,,
0f3a558d29202aed,87106,57151403,40776,87182,57150329,40776,,,
1007411c62eab2c0,34329,4375122,37926,34407,4375721,37926,,,
103653c65de59ba9,45848,15897481,87831,45925,15893840,87831,,,
108e83be67870036,43085,13133478,38612,43164,13131971,38612,,,
1090ad1410115a61,88735,58783652,40353,88810,58778593,40353,,,
10ef8cc78baf1360,67491,37540611,42810,67572,37540194,42810,66857,37607622,42879
1189fd1f79d9f249,61264,31302900,26314,61334,31302006,26314,,,
11d467e440004c41,46682,16730097,40677,46761,16729184,40677,,,
11f10fe2e79563dd,30850,899246,27809,30930,898206,27809,30223,983321,27809
11f60242b3925498,81108,51154349,37550,81184,51152648,37550,,,
1237a52b1a6401ee,75708,45756596,40239,75789,45757107,40239,,,
1268486b855c9042,66953,37000652,39553,67030,36998802,39553,,,
12a1f56e7981b4e9,62695,32743803,37578,62774,32742853,37578,,,
12b2d3609e8f46aa,36369,6416700,37351,36447,6414988,37351,,,
1338597321064a57,84050,54098784,38877,84128,54096700,38877,,,
135dbf44d019f3ef,42247,12296550,65137,42324,12291999,65137,,,
139c36a67fbb5b1b,86985,57031559,41004,87061,57029685,41004,,,
139f4794c42b6201,51725,21774070,38107,51804,21772785,38107,,,
13e0cd1d78fdf7f5,69772,39820281,37702,69851,39819429,37702,,,
143a22b3c27e1de2,42787,12833367,38549,42863,12831508,38549,,,
14661798b3a16f8d,36850,6898815,64698,36929,6897197,64698,,,
148cc0f3e66760e4,87941,57990138,41283,88022,57990869,41283,,,
150da7d8d6b19539,47163,17211921,25353,47242,17210150,25353,,,
154775337b041375,40585,10612509,38625,40643,10611874,38625,,,
15ffc07191ad0956,72290,42336421,25090,72367,42335576,25090,,,
16bcfb16a9b5b7cb,66593,36641739,39596,66672,36640795,39596,65957,36700437,39596
16cefe1ebb9546b6,80384,50433573,37560,80466,50434060,37560,,,
173d780c35f5c14c,73431,43478216,58359,73508,43476802,58359,,,
175b03ae606dd1a1,69592,39640510,37446,69671,39639594,37446,,,
1769b8c8025715cb,87285,57330174,43288,87363,57330909,43288,,,
176bd052f5a97917,76673,46717836,40390,76748,46716863,40390,,,
177714e4c385c8b6,62456,32502852,37784,62535,32503528,37784,,,
18cda0572f97430a,38948,8997153,37591,39027,8995320,37591,,,
191ab5b281c1a8a7,65761,35804197,39552,65836,35803964,39552,,,
1926f2e26cac68e9,74871,44920833,39172,74953,44921060,39172,,,
1935a16d1a1aeff3,43807,13852883,39562,43884,13852148,39562,,,
19674029019bbce8,67372,37420851,39992,67452,37420075,39992,,,
197e723ef322398d,73009,43056919,25836,73087,43055230,25836,,,
1999a0cdb3563db0,57778,27826297,25320,57857,27825815,25320,,,
19c1fc4a946f6130,87583,57630355,41378,87663,57631212,41378,,,
19d48d10917947de,47403,17449545,24951,47480,17448433,24951,,,
1a0ed3c7aa6536c8,37269,7317629,37127,37348,7316684,37127,,,
1a52db0043fecc05,57539,27587748,40482,57618,27586811,40482,,,
1a981f579c99a34f,46443,16490398,57103,46521,16489105,57103,,,
1ab1ccbc90f41f49,76139,46177710,39932,76208,46175965,39932,,,
1b33f8e01278d3da,53578,23626323,38073,53657,23625773,38073,,,
1b3df404515ed52a,63896,33944501,40060,63976,33943915,40060,63263,34024506,40060
1b653ea208510548,67013,37060795,39950,67090,37058820,39950,,,
1b8ab4313988b2a0,49982,20030033,37488,50061,20029087,37488,,,
1bb8d47e385f247d,47343,17389461,24724,47420,17388042,24724,,,
1c07535677aeb6ca,53638,23686338,38327,53717,23685863,38327,,,
1c2d7dffc6245a4e,39785,9831727,37997,39864,9832322,37997,,,
1c3f744304b8066f,52205,22250705,37966,52282,22250082,37966,,,
