content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
009310e53cb8b380,45263,15235775,60693,45277,15236454,60693,,,
00b3bfcc210c932c,45204,15175962,61238,45217,15176035,61238,,,
0134b243fd263264,70201,40181331,36309,70223,40181819,36309,,,
0192e86410dca7be,47955,17931027,24235,47971,17929851,24235,,,
01c55cb25d06802a,63183,33165457,39839,63207,33165755,39839,,,
01ea66d3cced7cef,84778,54756674,40709,84796,54754801,40709,,,
020e08d481922738,75127,45098280,21583,75138,45097343,21583,,,
02644a8b5f969b55,57549,27530598,39488,57574,27533349,39488,,,
0287096b52a2aee5,45380,15355296,61083,45397,15355874,61083,,,
028a13d60532552d,40636,10618962,39341,40659,10617844,39341,,,
02b70f0d718a6e34,78597,48580169,67568,78621,48580169,67568,,,
02de310176c66514,61923,31904746,39992,61946,31905044,39992,,,
0334c4240560cfb9,76617,46598719,30714,76639,46598475,30714,,,
039c6a3db19b7ce9,40455,10438145,38429,40478,10436930,38429,,,
03a1be707677dbb5,31582,1560395,31369,31602,1560933,31369,,,
03e2d3a2c6d2b6c6,76677,46658247,30773,76699,46658561,30773,,,
03ea33778889fba0,72299,42281273,28384,72323,42281801,28384,,,
0415bff9fd49844b,36919,6901202,38652,36941,6900318,38652,,,
0473211e9e467de2,66909,36889869,58326,66934,36893357,58326,,,
0555d34e31253f1f,44598,14580268,17560,44620,14579569,17560,,,
05ccace04dd30fa6,56947,26928466,26868,56968,26927027,26868,,,
05f656ce124c0758,53773,23751607,30139,53792,23751607,30139,,,
060d2c2577b70fc5,46095,16078025,26523,46117,16076580,26523,,,
063476f32ca1ecda,56528,26508969,26689,56550,26509319,26689,,,
069f8fc83a1c82ca,68825,38803769,58454,68842,38800892,58454,,,
0724109dada2accc,81535,51516209,37638,81555,51514489,37638,,,
074279e25f78c8b7,55866,25849558,60328,55889,25848328,60328,,,
0744b8a8c43861f6,82376,52355409,37417,82396,52355656,37417,,,
074cec843592a485,45912,15894860,27906,45934,15893680,27906,,,
07ebdc407f2995f0,73867,43840491,58883,73881,43840141,58883,,,
0831bc90268dc43b,70442,40421702,36187,70463,40421996,36187,,,
085ef6ff7dfdde48,43696,13675030,43223,43715,13673710,43223,,,
086973a8968f4151,37656,7619051,37897,37659,7617767,37897,,,
08a140a31c4d05e3,84719,54696772,40352,84736,54694922,40352,,,
08e241ad7c1479a5,80096,50079101,40011,80120,50079400,40011,,,
090e97680350fe5b,55688,25669470,58633,55709,25668294,58633,,,
0922a20d0693bfcc,77035,47018082,29016,77059,47018475,29016,,,
096b55f8b62e262c,65465,35445341,46265,65487,35445837,46265,,,
09879b0de7b20422,61625,31607662,39692,61646,31605145,39692,,,
0a842301b55b0898,51549,21531604,25861,51571,21530700,25861,,,
0b3d70be928ed656,46515,16495893,52935,46536,16494700,52935,,,
0b9bda998daad7bc,37360,7317950,39411,37358,7316997,39411,,,
0bd9c2459b8bdc27,46754,16735346,57045,46777,16735848,57045,,,
0bf68e4408c59146,80217,50199047,38845,80240,50199348,38845,,,
0c4487056ee1e8bb,77999,47979404,28113,78018,47977613,28113,,,
0cb36d6b1917eab5,30139,120374,18942,30161,119806,18942,,,
0d25d60f2cd57af0,88489,58472544,62891,88514,58473573,62891,,,
0d2d52dff22b64ac,89753,59733337,39468,89772,59731347,39468,,,
0d8c635df5c226d1,67443,37421331,27919,67461,37420556,27919,,,
0da5a183eba6cea9,79438,49419516,39692,79460,49419605,39692,,,
0df739a7772db19d,88791,58774112,28503,88814,58772904,28503,,,
0e3e9fff3ede91b9,73560,43543010,57106,73582,43541617,57106,,,
0edc1b45973c7354,55095,25068221,28192,55107,25066615,28192,,,
0f126963c59e1777,35715,5697948,39675,35739,5698006,39675,,,
0f97abbc4d072d09,72001,41983888,59585,72024,41983460,59585,,,
1021e66c9dd2b814,38179,8158104,37622,38198,8156783,37622,,,
1051b6ec0f874efa,78899,48881527,40132,78921,48880479,40132,,,
10528949b944eec7,68584,38567337,58754,68607,38566332,58754,,,
108c15ca830bfc4d,82257,52235468,39395,82277,52236032,39395,,,
10b84dfa3bb28c88,89211,59192121,26445,89232,59191235,26445,,,
10d0ff4daff0d7ca,41233,11213749,40910,41255,11214345,40910,,,
10e363278b9d0ada,72419,42401671,27221,72442,42400971,27221,,,
10fd24db0d5802c2,68164,38143210,57768,68182,38141212,57768,,,
11ba5f8acadf8077,34594,4568010,61192,34608,4567157,61192,,,
11cbae368b68ddbe,51130,21111488,25838,51151,21110161,25838,,,
121741ff61e015d4,33803,3781133,27772,33821,3780205,27772,,,
1246659c260789b4,43873,13855575,43668,43896,13854986,43668,,,
1250f4263e77ab34,76077,46059499,31690,76100,46059156,31690,,,
12c4ea214c4457f1,44354,14334421,5956,44374,14333692,5956,,,
12f700e60878b2f2,41293,11273725,41121,41315,11274401,41121,,,
12faae4338f64839,87590,57572984,44382,87612,57571303,44382,,,
131dd8cfc0a31168,55154,25127986,20976,55167,25126549,20976,,,
1376c84c99b28230,73441,43422375,36140,73462,43421572,36140,,,
14287c26384d4cea,51012,20991586,26230,51031,20990221,26230,,,
1483b984e664f38a,33684,3661658,31059,33701,3660102,31059,,,
14a8b43ea434b095,40395,10378188,38641,40418,10377408,38641,,,
14bb1d6f8cbee260,66964,36943689,59018,66982,36941004,59018,,,
14c4eb2ca5b6c1dd,83755,53736026,40555,83776,53734956,40555,,,
14db6964cec52d57,49849,19841071,88822,49869,19828396,88822,,,
14eceb502d3c3f34,57728,27709488,39475,57749,27707703,39475,,,
15293dd2c00dc958,56407,26389998,28037,56428,26387589,28037,,,
153cbeda540eabc9,59528,29509451,36718,59548,29507420,36718,,,
153e7e99bd5adacd,62224,32205580,39276,62248,32207242,39276,,,
1584fca2779bbe46,84061,54043790,43391,84084,54043337,43391,,,
15a913ba2a0e88a5,82436,52417141,37175,82457,52416580,37175,,,
1699541a3419fbe7,87771,57751886,28054,87792,57751096,28054,,,
1704080d13b94a53,52691,22671807,44341,52712,22670988,44341,,,
17ba5b9a0642732f,76856,46838212,32733,76879,46838653,32733,,,
180ce17e689a3e42,32481,2461812,41218,32501,2459951,41218,,,
1884c09840d4ab1f,60665,30645732,40699,60686,30644859,40699,,,
18b17c01c3c70375,75484,45460950,66957,75499,45458084,66957,,,
18b9ff7c87b69d70,33267,3241708,28883,33281,3240593,28883,,,
18be5854f7bb0e69,79079,49059395,40168,79100,49058970,40168,,,
18c131452cbd6116,32065,2048148,31233,32088,2046780,31233,,,
18e6214411f8dc6a,63736,33705962,42313,63745,33704570,42313,,,
190c96ee0d2c0a3f,44728,14695441,36368,44734,14693613,36368,,,
1929bd16c51bb2ad,73501,43482877,53520,73523,43482390,53520,,,
192cc3fa1e4ca81b,73023,43002520,26420,73042,43001056,26420,,,
197abc394896883d,76497,46478951,30695,76519,46478249,30695,,,
199dd287df26af2e,64692,34666525,46130,64706,34664916,46130,,,
19caba940c69dbeb,60067,30049553,37264,60089,30048043,37264,,,
19d15d7e9a4722aa,65944,35925397,3717,65965,35924497,3717,,,
1a0cde04c760a0da,84241,54220301,40064,84259,54218633,40064,,,
1a0f9d984d6a1d7e,56588,26568603,26273,56608,26567364,26273,,,
1a40d19a734449c1,76796,46779022,56067,76820,46779618,56067,,,
1a7fe12eb4ad4807,74887,44869350,22520,74908,44867428,22520,,,
1af8c80a0574285e,86276,56257396,44659,86297,56256426,44659,,,
1b73c089a169e910,40156,10138164,38652,40178,10137642,38652,,,
1be3dfa3284c8156,74947,44919324,9893,74960,44919104,9893,,,
1c196263572eec92,46455,16435111,35884,46475,16434214,35884,,,
1d067b7d142717c2,52512,22491986,41009,52532,22490929,41009,,,
1d1ca56a39c5e5b0,54606,24588567,62610,54630,24589407,62610,,,
1da9f404118927fe,76197,46178895,31214,76218,46177536,31214,,,
1de774f95d25ace9,73987,43959710,59796,73999,43958212,59796,,,
1df5361d307b225e,66244,36225537,23989,66265,36224283,23989,,,
1e2e350d9e2fb0eb,84481,54457136,40043,84496,54455001,40043,,,
1e9a3643e1c51f73,62042,32024702,40201,62066,32025276,40201,,,
1edc3187c00f5c21,67625,37608063,27824,67648,37607544,27824,,,
