ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-21T00:42:44+00:00,1779324164049642911,9.13,5.94,3.20,104884,37,29,702,6.85,7.53,0.23,85.39,1.89,0.00
2026-05-21T00:42:45+00:00,1779324165194264521,4.42,2.21,2.21,104884,37,29,702,6.18,8.17,0.00,85.65,0.93,0.88
2026-05-21T00:42:46+00:00,1779324166338061020,4.25,3.40,0.85,105012,37,29,702,9.55,7.86,0.21,82.38,2.70,0.00
2026-05-21T00:42:47+00:00,1779324167534524779,4.71,3.00,1.71,105140,37,29,702,10.28,7.28,0.00,82.44,0.91,0.00
2026-05-21T00:42:48+00:00,1779324168720098704,5.30,3.53,1.77,105140,37,29,702,9.71,7.73,0.22,82.34,0.93,0.87
2026-05-21T00:42:50+00:00,1779324169867907666,4.44,4.44,0.00,105140,37,29,702,6.89,5.56,0.22,87.33,1.85,0.87
2026-05-21T00:42:51+00:00,1779324171013857906,4.42,4.42,0.00,105140,37,29,702,4.42,7.73,0.66,87.20,1.83,0.00
2026-05-21T00:42:52+00:00,1779324172161548109,4.75,2.16,2.59,105140,37,29,702,4.97,10.58,0.22,84.23,15.20,0.00
2026-05-21T00:42:53+00:00,1779324173311606387,4.39,3.07,1.32,105140,37,29,702,9.43,9.65,0.00,80.92,3.67,1.72
2026-05-21T00:42:54+00:00,1779324174482177090,4.05,2.70,1.35,105140,37,29,702,3.83,7.66,0.23,88.29,0.94,0.87
2026-05-21T00:42:55+00:00,1779324175629144348,4.49,3.15,1.35,105140,37,29,702,5.84,8.99,0.22,84.94,3.70,0.00
2026-05-21T00:42:56+00:00,1779324176770890199,4.49,3.60,0.90,105140,37,29,702,6.07,5.62,0.22,88.09,1.87,2.59
2026-05-21T00:42:58+00:00,1779324177918847717,4.75,3.02,1.73,105140,37,29,702,14.47,8.42,0.00,77.11,1.80,0.00
2026-05-21T00:42:59+00:00,1779324179145502346,4.39,2.63,1.75,105140,37,29,702,8.11,8.99,0.22,82.68,2.73,0.00
2026-05-21T00:43:00+00:00,1779324180286886697,4.93,1.79,3.14,105140,36,29,702,4.93,7.17,0.00,87.89,0.00,0.88
2026-05-21T00:43:01+00:00,1779324181432149474,4.02,3.12,0.89,105140,36,29,702,4.69,6.47,0.00,88.84,0.00,0.00
2026-05-21T00:43:02+00:00,1779324182573420307,4.45,0.45,4.01,105140,36,29,702,4.01,7.13,0.22,88.64,1.85,0.00
2026-05-21T00:43:03+00:00,1779324183721391343,3.91,1.30,2.61,105140,36,29,702,7.83,9.13,0.22,82.83,1.80,0.00
2026-05-21T00:43:05+00:00,1779324184898376528,4.94,2.25,2.70,105140,36,29,702,5.17,6.97,0.00,87.87,0.94,1.74
2026-05-21T00:43:06+00:00,1779324186046844416,4.88,3.99,0.89,105140,36,29,702,6.43,6.87,0.22,86.47,0.94,0.00
2026-05-21T00:43:07+00:00,1779324187189169823,4.01,4.01,0.00,105140,36,29,702,4.90,7.13,0.00,87.97,0.94,0.00
2026-05-21T00:43:08+00:00,1779324188337315044,4.03,4.03,0.00,105140,36,29,702,8.28,7.38,0.22,84.12,1.89,0.87
2026-05-21T00:43:09+00:00,1779324189482820988,4.76,4.33,0.43,105140,36,29,702,11.90,8.44,0.00,79.65,0.91,0.00
2026-05-21T00:43:10+00:00,1779324190679450784,4.79,3.05,1.74,105140,36,29,702,7.63,7.19,0.22,84.97,0.93,0.88
2026-05-21T00:43:11+00:00,1779324191827633061,4.42,2.65,1.77,105140,36,29,702,4.65,7.74,0.00,87.61,0.93,0.00
2026-05-21T00:43:13+00:00,1779324192969039430,4.80,3.49,1.31,105140,36,29,702,5.24,7.21,0.22,87.34,0.00,0.00
2026-05-21T00:43:14+00:00,1779324194120996689,4.33,3.46,0.87,105140,36,29,702,8.01,8.66,0.00,83.33,0.00,0.00
2026-05-21T00:43:15+00:00,1779324195284368596,4.48,2.24,2.24,105140,36,29,702,6.05,8.52,0.22,85.20,2.80,0.88
2026-05-21T00:43:16+00:00,1779324196433089484,4.41,2.64,1.76,105140,36,29,702,6.61,6.39,0.22,86.78,0.93,0.00
2026-05-21T00:43:17+00:00,1779324197575776150,4.02,3.57,0.45,105140,36,29,702,6.70,5.36,0.00,87.95,0.00,0.88
2026-05-21T00:43:18+00:00,1779324198718120353,4.43,3.10,1.33,105140,36,29,702,6.21,6.87,0.22,86.70,0.00,0.88
2026-05-21T00:43:19+00:00,1779324199863979000,4.36,3.49,0.87,105140,36,29,702,7.84,10.46,0.44,81.26,13.82,0.00
2026-05-21T00:43:21+00:00,1779324201009046055,3.84,2.13,1.71,105140,36,29,702,7.68,10.23,0.00,82.09,8.62,0.00
2026-05-21T00:43:22+00:00,1779324202191765758,4.89,2.67,2.22,105140,36,29,702,5.11,7.56,0.22,87.11,1.82,0.00
2026-05-21T00:43:23+00:00,1779324203338160406,4.48,3.14,1.35,105140,36,29,702,4.48,6.50,0.00,89.01,0.93,0.00
2026-05-21T00:43:24+00:00,1779324204482632979,4.38,2.63,1.75,105140,36,29,702,6.56,8.10,0.22,85.12,0.00,0.00
2026-05-21T00:43:25+00:00,1779324205658825923,4.92,3.13,1.79,105140,36,29,702,5.59,8.50,0.00,85.91,2.78,1.75
