content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
00e0625a6bee7bf4,34561,4617364,39863,34719,4615859,39863,33983,4617287,39863
01294e7d87446278,80800,50855902,40014,80958,50854381,40014,80223,50855792,40014
0171998effb450fb,86981,57032812,36569,87135,57030986,36569,86403,57031927,36569
017d419a46a88a84,60590,30645840,43367,60747,30643717,43367,60011,30644830,43367
019ae0a47d051a6d,72462,42518749,40492,72621,42517173,40492,71885,42518667,40492
01e3fc4b1119cc71,43979,14034635,36060,44137,14033151,36060,43402,14034422,36060
02396e231c966f34,78821,48876394,40610,78978,48874252,40610,78242,48875713,40610
0326ca8a6abcdd63,89492,59549280,41723,89651,59547505,41723,88916,59549059,41723
0354ef1298bece75,49866,19912401,40877,50014,19910118,40877,49282,19911672,40877
0360351fba4e9a05,74765,44800365,53006,74901,44797866,53006,74174,44799203,53006
038c26eccb2b25b4,78582,48637517,41225,78738,48634316,41225,78003,48635482,41225
03b2ae3c0d46e350,71982,42038861,42640,72141,42037110,42640,71404,42038590,42640
04013a74b6f65d47,37142,7199408,68207,37301,7197031,68207,36566,7199255,68207
0471b0346db58e50,53214,23271107,55091,53372,23268750,55091,52637,23270734,55091
049c322879d43f7f,31567,1621307,39363,31723,1619768,39363,30990,1621273,39363
04f6250e21882075,87697,57752691,36191,87855,57751120,36191,87118,57752483,36191
04ff9e3743a12f94,66587,36642679,58302,66744,36640721,58302,66008,36642612,58302
0508e32766a243af,81104,51155973,39759,81258,51154457,39759,80522,51155937,39759
05a5e48fe69042ff,47218,17272731,40354,47374,17269925,40354,46639,17271089,40354
065241846c9b8794,79059,49115700,39675,79218,49114142,39675,78481,49115705,39675
067e103f6c964364,41649,11696031,37306,41797,11693889,37306,41073,11694913,37306
06875ef580c2ca39,57948,28004931,42805,58107,28003138,42805,57370,28004640,42805
06c423873762c7ea,36541,6597926,39827,36700,6596379,39827,35964,6597874,39827
070e3f61f6a9b878,46196,16251677,43014,46353,16249861,43014,45617,16251634,43014
0782066566ee49b4,71382,41438799,44371,71541,41437129,44371,70805,41438746,44371
0797960e6b2fe295,58850,28905587,41266,59008,28903985,41266,58271,28905505,41266
07bcff51d2774987,35402,5457745,42921,35560,5456185,42921,34824,5457664,42921
07e67fd03dafbb7c,64366,34421684,39171,64524,34420028,39171,63787,34421436,39171
07e8a41318ac45be,74824,44860901,54770,74961,44857858,54770,74234,44859267,54770
08ce602d8c3305a4,72342,42398665,42002,72501,42397065,42002,71765,42398589,42002
0917afa0ccf0899c,67790,37842616,39618,67944,37840552,39618,67212,37841969,39618
0936f1cb88aa7f3b,55011,25068974,59445,55171,25066962,59445,54435,25068943,59445
098c7e902c0300a9,43320,13374564,35294,43477,13373064,35294,42743,13374371,35294
09a3e4b47f0e29c6,39601,9654502,42745,39756,9652729,42745,39022,9654213,42745
09da3373feae441d,65627,35684012,36248,65785,35681671,36248,65050,35682665,36248
0a015680713c6bf1,35461,5517700,41227,35620,5516216,41227,34884,5517762,41227
0a089a235d34404f,86144,56193519,38050,86295,56191461,38050,85566,56192436,38050
0a1b8289bab29c29,32642,2697062,35248,32799,2695699,35248,32067,2696967,35248
0a2a6b7ea8ef711e,81642,51696033,41157,81798,51694486,41157,81063,51695995,41157
0a3858c25350ad75,70181,40238316,42566,70340,40236815,42566,69605,40238283,42566
0a48cc4d9b24d1b3,53932,23988004,36850,54090,23986580,36850,53355,23987941,36850
0b598355c694b5c4,87101,57153015,36221,87255,57151055,36221,86522,57152011,36221
0b61935594ea964c,38597,8638370,40305,38740,8636639,40305,38012,8638161,40305
0c0cfd4404dcdc31,58368,28424937,39202,58527,28423160,39202,57792,28424725,39202
0ca030bfcda4ef9e,37382,7437793,39074,37540,7436322,39074,36805,7437794,39074
0e14eee4d4178705,48718,18771543,39768,48874,18769991,39768,48140,18771530,39768
