content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
000dccbfb534679d,87475,57455162,63995,87497,57452087,63995,,,
002e7e40911285aa,87534,57513657,38970,87556,57511603,38970,,,
0030530dcfae1346,62763,32745227,36456,62789,32744096,36456,,,
0045449efa3b4830,35839,5818006,35861,35862,5816846,35861,,,
00a761e3a3dd6647,32717,2697153,25216,32741,2695894,25216,,,
00a9c19c5de3ebe0,63183,33165199,36858,63209,33164081,36858,,,
00e4a5aff0558922,36018,5999116,36011,36042,5997709,36011,,,
011da10a4f166cf2,84895,54876648,35969,84920,54875100,35969,,,
019250b13e676779,45076,15051761,36405,45095,15049796,36405,,,
019caf77bb8154d2,78835,48816613,37373,78859,48814446,37373,,,
01c87c1a37f68000,64686,34666674,36955,64709,34664574,36955,,,
01d15bedb4a66636,32896,2877357,24084,32921,2876239,24084,,,
01d9ee950a0f5389,50233,20212513,37043,50255,20210576,37043,,,
025a8cd43d1e2fa6,75673,45641358,35369,75684,45639007,35369,,,
02cd4f137d04ebdd,85791,55772530,36564,85816,55771366,36564,,,
030d6ba0e6e1b1bb,76626,46608652,55915,76649,46604465,55915,,,
032f77027565481e,71757,41738754,37072,71782,41737498,37072,,,
046afaeddd0cceaf,68880,38862447,36897,68906,38861238,36897,,,
04992de34dc5e402,74519,44499759,37272,74543,44497792,37272,,,
04a4a4b1c47737e4,80216,50197315,54953,80240,50194954,54953,79715,50269602,54976
04b698a3732ec95a,45196,15171426,36735,45215,15169855,36735,,,
04ccf2fcdea668f0,71102,41083369,55050,71127,41081763,55050,,,
04d13d3de974e1c1,78118,48100196,37475,78143,48098332,37475,,,
04d6ff1d1b06221e,47352,17333593,36999,47376,17331570,36999,,,
04f1398135799afd,38654,8634589,53522,38678,8633180,53522,,,
053898348c17d90e,80514,50496485,36096,80540,50494792,36096,,,
057499061aff0b0e,67201,37182140,37152,67226,37180817,37152,,,
0593d4bbf6bcd26d,72358,42339206,37610,72382,42337709,37610,,,
06054b30431d38ce,62943,32925194,36848,62969,32924109,36848,,,
06432e52699e1eb3,60068,30045808,37108,60089,30043864,37108,,,
06c42b1613f84c6c,39074,9056396,35012,39099,9053879,35012,,,
072e3e779c9df7a0,49994,19972389,36590,50015,19970436,36590,,,
07307f1d6dc8078c,79254,49237231,37204,79279,49234453,37204,78754,49311739,37204
0749004e7ba0f0e2,44831,14813622,36259,44856,14811626,36259,,,
077d34ba906ea738,54909,24890617,55852,54932,24887738,55852,,,
07a589bea5cdaaab,46630,16611596,36669,46655,16609997,36669,,,
07ff94d34a0ea4d2,77757,47740080,36661,77783,47738578,36661,,,
080f0306a5c4e9d2,41113,11095101,35141,41138,11093231,35141,,,
08268d45eddc59d6,65341,35322729,37224,65365,35320632,37224,,,
0833b0136232a18b,52688,22668623,37019,52712,22667308,37019,,,
08c974d349427e21,81298,51276931,36479,81320,51274828,36479,,,
091a8b7080209344,84417,54396561,36318,84440,54394956,36318,,,
0940a3c7ffea389e,31698,1680529,86136,31723,1678152,86136,,,
0964a9fa103904cd,56229,26209645,36999,56252,26207443,36999,,,
0a6549338f06e5f1,63861,33827274,54063,63869,33824666,54063,,,
0aa53bcaf0480483,74339,44319099,37095,74362,44317684,37095,,,
0ad5b251e5a72eb3,50113,20092636,37117,50135,20090574,37117,,,
0aead1f0b758c5d5,54968,24950304,56335,54992,24947502,56335,,,
0afb45309b552fe2,78895,48876602,36920,78919,48874368,36920,,,
0b302f74ce6ae08a,47712,17693244,54875,47735,17690627,54875,,,
0b6a0ffd27eeb2bd,54130,24108596,36801,54152,24107244,36801,,,
0c728c37e07f0a35,35958,5937905,36106,35981,5936697,36106,,,
0ccddc6727938e4a,36198,6178466,36622,36222,6176835,36622,,,
0cdb6a18bc39f31e,61084,31066784,37073,61110,31064813,37073,,,
0d2dd2d265a8f5b3,47652,17633444,54422,47676,17630878,54422,47130,17708554,54422
0d3c5c9c03f3ead7,45970,15952286,55489,45995,15950246,55489,,,
0d7737161533c703,87125,57093135,36785,87136,57091467,36785,,,
0d918189fe11e556,76986,46959312,37433,77003,46958078,37433,,,
0da630f809bce712,39794,9775831,34999,39818,9773298,34999,,,
0e79d8579217abba,34517,4498956,36596,34542,4496818,36596,,,
0e7ee6489d8b9b14,85372,55353300,51587,85397,55351751,51587,,,
0e90cd5f914d72a3,58206,28184688,36974,58228,28183581,36974,,,
0ea8483c266b70b2,81838,51819139,54379,81861,51815841,54379,,,
0ed5785b38b156e0,34277,4258506,36839,34301,4256460,36839,,,
0ee0c0b838662073,65281,35262645,37183,65305,35260652,37183,,,
0f514a74683dc29e,73138,43119059,40591,73162,43117579,40591,,,
0f757005942608f3,51252,21233329,54882,51276,21231701,54882,,,
0fc8bebb74da27fa,50530,20511928,36208,50555,20510647,36208,,,
106012f072265ed7,55509,25488322,36850,55532,25487146,36850,,,
10b3f2acf10da077,41233,11216561,34582,41259,11213851,34582,,,
10e6b14f6569808d,62823,32805314,37112,62849,32804147,37112,,,
10f47cd74c1cb48c,65942,35922279,39654,65965,35920728,39654,,,
113e05f058c2839a,40753,10734355,37247,40778,10733177,37247,,,
116296f2cea41c75,68041,38023126,38022,68066,38021342,38022,,,
117bb401a5c6dff1,55867,25849853,36533,55893,25848592,36533,,,
1188ed7bbfc5743e,53109,23090391,55677,53132,23087410,55677,,,
121f8baa4055ed27,31096,1077826,37157,31121,1076533,37157,,,
1222ca0776913ec6,63980,33947291,56070,63989,33944673,56070,,,
1277bb4d6f47e8a9,50352,20331979,36973,50375,20330621,36973,,,
127c53da30e0e265,42879,12835418,36405,42878,12833453,36405,,,
129e58cc5660d592,80998,50980941,35987,81024,50978962,35987,80496,51074485,36010
12b7453d1e2c3e78,89811,59793278,36179,89837,59791911,36179,,,
12f552c4875d770d,87593,57573589,36766,87617,57572254,36766,,,
134cad46f966c64c,78600,48580912,38502,78623,48578531,38502,,,
1366daaeb03490d6,87954,57933023,36272,87976,57931645,36272,,,
1397c310842b00ac,36078,6057994,36571,36102,6056876,36571,,,
13aea7093ca060c7,62704,32685261,36804,62729,32684114,36804,,,
13c514eee00f4abe,55807,25788368,36631,55832,25787193,36631,,,
1423ef8481084dca,43227,13194862,36594,43238,13193664,36594,,,
14411b50bc9a5022,47831,17813128,55227,47855,17810569,55227,47310,17887362,55273
146e6fde8ae6a33b,64156,34126207,39739,64169,34124514,39739,63616,34195656,39785
14d17c11ea26ceab,78660,48641130,37595,78684,48638931,37595,,,
1573dfc7155ba71c,53469,23449664,37258,53493,23448327,37258,,,
158ca9c8073203d5,42701,12656679,36839,42698,12653587,36839,,,
15e2044a7b0b23ae,57024,26988847,38097,57032,26987543,38097,,,
16159e55c38f08e2,86392,56374889,36868,86418,56373569,36868,,,
161fb27e63a2c5bf,59763,29744864,37404,59789,29743753,37404,,,
162950b007e8efab,60248,30227659,52586,60269,30223993,52586,,,
166241ec0818bcf1,80933,50916017,34512,80959,50914502,34512,,,
16e00eef6ba65e10,71517,41498826,37044,71542,41497488,37044,,,
170c9f84b9cf1606,38773,8754666,53848,38798,8753158,53848,,,
17404ea5491befea,58031,28008788,36874,58052,28007586,36874,,,
176301b0d81de923,36979,6959427,55093,37002,6956919,55093,,,
1791f30bed69a178,51611,21588330,37125,51632,21586804,37125,,,
17b313549f0c53b0,75380,45339205,35555,75383,45337780,35555,,,
17e6429211c96bd1,56411,26396676,36634,56437,26391812,36634,,,
17e6ed1426179a8b,78298,48280962,55050,78324,48279043,55050,,,
18b7bf7dd69aa120,31396,1377383,36928,31421,1376006,36928,,,
