ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-21T00:56:15+00:00,1779324975250825797,9.59,7.31,2.28,101664,37,39,693,11.19,7.76,0.00,81.05,1.90,0.88
2026-05-21T00:56:16+00:00,1779324976397410260,4.81,4.38,0.44,101664,37,39,693,7.22,6.78,0.22,85.78,0.00,0.00
2026-05-21T00:56:17+00:00,1779324977545856907,4.39,3.95,0.44,101664,37,39,693,5.92,7.02,0.00,87.06,0.93,0.00
2026-05-21T00:56:18+00:00,1779324978695514869,4.39,0.88,3.51,101664,37,39,693,4.82,8.99,0.22,85.96,1.85,2.59
2026-05-21T00:56:19+00:00,1779324979847620998,4.85,3.08,1.76,101664,37,39,693,13.66,11.45,0.00,74.89,2.86,2.61
2026-05-21T00:56:21+00:00,1779324981000264016,4.82,2.63,2.19,101664,37,39,693,5.70,6.58,0.22,87.50,0.92,0.00
2026-05-21T00:56:22+00:00,1779324982147915071,4.77,3.47,1.30,101664,37,39,693,11.28,7.16,0.22,81.34,20.72,4.27
2026-05-21T00:56:23+00:00,1779324983307672219,4.42,2.65,1.77,101664,37,39,693,23.18,12.58,0.00,64.24,55.86,18.75
2026-05-21T00:56:24+00:00,1779324984460383996,4.59,3.76,0.84,101664,37,39,693,15.66,10.65,0.21,73.49,17.54,7.44
2026-05-21T00:56:25+00:00,1779324985672738791,5.73,4.41,1.32,101664,37,39,693,7.27,7.49,0.22,85.02,4.63,0.00
2026-05-21T00:56:26+00:00,1779324986825296309,4.35,3.48,0.87,101664,37,39,693,7.39,9.57,0.00,83.04,10.09,5.98
2026-05-21T00:56:28+00:00,1779324987989938512,4.16,2.49,1.66,101664,37,39,693,22.25,17.05,0.21,60.50,47.37,37.50
2026-05-21T00:56:29+00:00,1779324989186026697,5.35,3.12,2.23,101664,37,39,693,4.90,8.02,0.00,87.08,0.94,0.00
2026-05-21T00:56:30+00:00,1779324990333517659,4.39,3.07,1.32,101664,37,39,693,8.11,9.65,0.22,82.02,2.78,1.71
2026-05-21T00:56:31+00:00,1779324991503317121,4.98,3.17,1.81,101664,36,39,693,8.14,8.14,0.00,83.71,1.87,0.00
2026-05-21T00:56:32+00:00,1779324992647910991,4.86,1.77,3.09,101664,36,39,693,5.08,9.27,0.22,85.43,0.00,0.88
2026-05-21T00:56:33+00:00,1779324993791231490,4.45,2.67,1.78,101664,36,39,693,3.79,7.57,0.22,88.42,0.93,0.00
2026-05-21T00:56:35+00:00,1779324994967370452,4.68,2.55,2.13,101664,36,39,693,9.15,9.57,0.00,81.28,3.51,0.00
2026-05-21T00:56:36+00:00,1779324996157618266,4.71,1.71,3.00,101664,36,39,693,7.07,8.78,0.21,83.94,0.93,0.00
2026-05-21T00:56:37+00:00,1779324997331054544,4.82,3.51,1.32,101664,36,39,693,6.58,7.46,0.22,85.75,2.78,0.00
2026-05-21T00:56:38+00:00,1779324998479274117,4.42,3.09,1.32,101664,36,39,693,6.84,9.05,0.00,84.11,3.70,2.63
2026-05-21T00:56:39+00:00,1779324999632710116,4.37,1.75,2.62,101664,36,39,693,5.46,8.52,0.22,85.81,1.89,1.72
