content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,udp-0_pts_ms,udp-0_arrival_us,udp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
008732cbbee25a06,38506,8455026,31666,38500,8453090,31666,,,
00a1859fe9835d03,34830,4821430,37870,34849,4802416,37870,,,
00a7b46f7e9a6c31,65226,35203435,40392,65248,35201148,40392,,,
00bea8f9b4a7f8de,34275,4257947,36091,34304,4256772,36091,,,
01009c75a3f25c47,35253,5222740,90169,35268,5220610,90169,,,
0123227533cb60fa,81832,51818002,32821,81862,51815263,32821,,,
01274cb18c9decaa,39491,9477064,63726,39521,9474501,63726,,,
019c3bcf76f975c2,46867,16851809,43078,46897,16850530,43078,,,
01b3237a3838147c,86453,56433991,63568,86479,56432324,63568,,,
01f459833ebfb6b2,32958,2943921,37236,32988,2940562,37236,,,
02a6cf45c9618744,48128,18111440,28621,48157,18110509,28621,,,
02ae0437094ec572,76192,46176734,41779,76221,46174459,41779,,,
02c4be166c50f854,55808,25789716,39987,55835,25787798,39987,,,
02c616af2c8d24d7,51184,21168569,43466,51214,21167185,43466,,,
031374a1738a59cf,74397,44379869,41585,74425,44378328,41585,,,
0327b44bc80fdcea,80696,50677617,43731,80722,50675279,43731,,,
034f00a567a1a682,80340,50316973,44167,80362,50315210,44167,,,
039ffa6b1fa617e7,40091,10074501,28036,40120,10073422,28036,,,
03e3b838a478f1f8,85976,55954103,61077,85999,55952443,61077,,,
03e47f552ae42d2c,43867,13852368,39635,43897,13850227,39635,,,
04383857e3184baa,74877,44860830,44744,74905,44858410,44744,,,
048f24e60fd7b316,73439,43421357,42502,73466,43419067,42502,,,
049652b5549a345e,37569,7554043,29364,37600,7552988,29364,,,
04b2592af54ce604,78652,48637120,38170,78682,48634903,38170,,,
04c8b812515fd772,59465,29445989,43534,59491,29444300,43534,,,
04f9a85fe78bd31c,54724,24709143,41642,54755,24707597,41642,,,
051a2206702c6e2c,85859,55834538,39108,85879,55832146,39108,,,
051d1ecc1826a768,49395,19372320,27527,49418,19370858,27527,,,
0537770acdd6cdf1,42070,12055244,40428,42101,12053848,40428,,,
055ebcaffde41e47,50047,20032472,41824,50078,20031270,41824,,,
05f9bdbcf34ac503,71937,41920878,66767,71966,41918744,66767,,,
065428fea6ad9b28,48669,18654931,63286,48699,18651833,63286,,,
0695cd0eafdc6a03,41831,11815212,40366,41861,11813843,40366,,,
06b15dc041218257,47107,17091989,43874,47138,17090703,43874,,,
06fb1404181343b7,87587,57572761,27032,87619,57571742,27032,,,
071c04ce5b0d26db,53526,23509565,41825,53554,23507435,41825,,,
07304f4b61a7c508,42310,12295245,40166,42341,12293919,40166,,,
073dc481e99561c9,83341,53331313,29489,83367,53319764,29489,,,
07852001ec235693,30257,242518,57182,30288,240697,57182,,,
