ts_iso,uptime_ns,mcm_total_pct,mcm_user_pct,mcm_system_pct,mcm_rss_kb,mcm_threads,mcm_vol_ctx,mcm_invol_ctx,sys_user_pct,sys_system_pct,sys_iowait_pct,sys_idle_pct,cpu0_pct,cpu1_pct
2026-05-21T00:48:32+00:00,1779324512041066722,9.20,6.90,2.30,101216,37,34,908,10.80,8.51,0.23,80.46,0.96,0.88
2026-05-21T00:48:33+00:00,1779324513184870184,4.05,2.70,1.35,101216,37,34,908,3.60,7.66,0.00,88.74,1.89,0.00
2026-05-21T00:48:34+00:00,1779324514329534443,5.35,3.12,2.23,101216,37,34,908,4.45,7.57,0.22,87.75,0.93,0.00
2026-05-21T00:48:35+00:00,1779324515491919701,4.91,4.91,0.00,101216,37,34,908,10.04,7.37,0.00,82.59,2.78,0.87
2026-05-21T00:48:36+00:00,1779324516638176089,5.30,4.86,0.44,101472,37,34,908,8.61,7.73,0.22,83.44,0.00,1.74
2026-05-21T00:48:37+00:00,1779324517791079385,3.93,3.06,0.87,101472,37,34,908,5.68,8.73,0.22,85.37,0.93,0.00
2026-05-21T00:48:39+00:00,1779324518933274866,5.27,3.52,1.76,101472,37,34,908,9.23,7.47,0.00,83.30,13.76,4.39
2026-05-21T00:48:40+00:00,1779324520084223772,4.36,3.92,0.44,101472,37,34,908,21.57,9.80,0.22,68.41,22.43,16.38
2026-05-21T00:48:41+00:00,1779324521255541327,4.41,3.08,1.32,101472,37,34,908,17.84,10.57,0.22,71.37,14.02,33.04
2026-05-21T00:48:42+00:00,1779324522400028771,5.75,3.54,2.21,101472,37,34,908,8.85,10.62,0.00,80.53,2.83,0.87
2026-05-21T00:48:43+00:00,1779324523547928307,3.94,2.63,1.31,101472,37,34,908,5.91,8.10,0.22,85.78,0.93,0.00
2026-05-21T00:48:44+00:00,1779324524696491362,4.42,3.09,1.32,101472,37,34,908,15.23,9.27,0.22,75.28,17.43,29.57
2026-05-21T00:48:46+00:00,1779324525861628862,5.69,3.94,1.75,101472,37,34,908,19.47,11.60,0.00,68.93,22.22,8.70
2026-05-21T00:48:47+00:00,1779324527013400639,4.43,3.55,0.89,101472,37,34,908,12.86,9.98,0.22,76.94,1.89,0.00
2026-05-21T00:48:48+00:00,1779324528157049582,3.95,2.63,1.32,101472,36,34,908,6.36,7.46,0.00,86.18,0.93,0.00
2026-05-21T00:48:49+00:00,1779324529305614619,4.90,4.45,0.45,101472,36,34,908,5.57,6.24,0.22,87.97,0.00,0.00
2026-05-21T00:48:50+00:00,1779324530452221396,4.34,3.47,0.87,101472,36,34,908,5.42,8.89,0.00,85.68,9.32,0.00
2026-05-21T00:48:51+00:00,1779324531595348451,4.44,3.11,1.33,101472,36,34,908,8.89,7.78,0.22,83.11,5.41,0.00
2026-05-21T00:48:52+00:00,1779324532751487894,4.88,3.10,1.77,101472,36,34,908,8.43,10.20,0.22,81.15,0.94,2.56
2026-05-21T00:48:54+00:00,1779324533897657727,4.51,2.71,1.81,101472,36,34,908,4.06,6.77,0.23,88.94,1.87,0.00
2026-05-21T00:48:55+00:00,1779324535047277060,4.48,2.69,1.79,101472,36,34,908,4.48,6.73,0.00,88.79,0.94,0.00
2026-05-21T00:48:56+00:00,1779324536187786263,4.95,1.80,3.15,101472,36,34,908,5.63,9.01,0.00,85.36,3.77,0.88
2026-05-21T00:48:57+00:00,1779324537344723132,4.85,2.20,2.64,101472,36,34,908,7.93,9.91,0.22,81.94,3.70,0.87
2026-05-21T00:48:58+00:00,1779324538494681484,4.12,2.47,1.65,101472,36,34,908,14.20,10.70,0.00,75.10,3.33,1.56
2026-05-21T00:48:59+00:00,1779324539808087057,5.35,3.29,2.06,101472,36,34,908,8.23,8.23,0.41,83.13,0.90,0.00
2026-05-21T00:49:01+00:00,1779324540953537316,4.36,2.61,1.74,101472,36,34,908,6.10,7.19,0.00,86.71,0.00,0.00
2026-05-21T00:49:02+00:00,1779324542097344870,4.86,3.09,1.77,101472,36,34,908,7.28,7.28,0.00,85.43,0.00,1.74
2026-05-21T00:49:03+00:00,1779324543244241333,4.42,3.09,1.32,101472,36,34,908,8.17,9.05,0.44,82.34,0.94,0.00
2026-05-21T00:49:04+00:00,1779324544388048239,4.84,3.96,0.88,101472,36,34,908,7.25,6.81,0.00,85.93,0.94,0.87
2026-05-21T00:49:05+00:00,1779324545542981887,3.90,3.90,0.00,101472,36,34,908,6.49,7.36,0.22,85.93,2.73,0.00
2026-05-21T00:49:06+00:00,1779324546688575942,4.84,4.40,0.44,101472,36,34,908,5.71,7.47,0.22,86.59,0.00,0.00
2026-05-21T00:49:07+00:00,1779324547837865441,4.46,4.02,0.45,101472,36,34,908,8.48,8.26,0.00,83.26,0.93,0.00
2026-05-21T00:49:09+00:00,1779324548986229551,4.82,3.51,1.32,101472,36,34,908,6.14,7.89,0.22,85.75,1.87,0.87
2026-05-21T00:49:10+00:00,1779324550132697162,4.45,1.34,3.12,101472,36,34,908,9.80,8.46,0.22,81.51,1.87,0.87
2026-05-21T00:49:11+00:00,1779324551281572958,4.45,2.23,2.23,101472,36,34,908,7.13,8.02,0.00,84.86,1.85,0.00
2026-05-21T00:49:12+00:00,1779324552430815790,4.88,3.10,1.77,101472,36,34,908,6.21,6.87,0.22,86.70,0.00,0.87
2026-05-21T00:49:13+00:00,1779324553580360993,4.88,3.99,0.89,101472,36,34,908,7.76,8.43,0.00,83.81,1.85,0.86
2026-05-21T00:49:14+00:00,1779324554728291252,4.44,2.22,2.22,101472,36,34,908,4.67,7.78,0.89,86.67,0.00,0.00
2026-05-21T00:49:16+00:00,1779324555880418362,4.91,4.02,0.89,101472,36,34,908,6.47,6.47,0.22,86.83,0.00,0.00
2026-05-21T00:49:17+00:00,1779324557024385602,3.98,3.10,0.88,101472,36,34,908,5.53,7.52,0.22,86.73,3.70,0.87
2026-05-21T00:49:18+00:00,1779324558169511287,4.43,3.99,0.44,101472,36,34,908,8.65,8.87,0.00,82.48,2.78,0.00
2026-05-21T00:49:19+00:00,1779324559316049953,4.68,2.55,2.13,101472,36,34,908,4.04,12.13,0.21,83.62,17.83,0.00
2026-05-21T00:49:20+00:00,1779324560467014434,4.54,3.17,1.36,101472,36,34,908,3.85,6.35,0.00,89.80,0.94,0.00
2026-05-21T00:49:21+00:00,1779324561619113303,5.01,3.19,1.82,101472,36,34,908,8.43,7.97,0.23,83.37,2.78,0.00
2026-05-21T00:49:22+00:00,1779324562761481803,4.44,3.11,1.33,101472,36,34,908,5.78,7.11,0.22,86.89,0.00,0.87
2026-05-21T00:49:24+00:00,1779324563911932172,4.47,2.24,2.24,101472,36,34,908,7.16,7.83,0.22,84.79,0.00,0.00
2026-05-21T00:49:25+00:00,1779324565058440727,4.48,1.35,3.14,101472,36,34,908,4.26,6.95,0.00,88.79,0.93,0.00
2026-05-21T00:49:26+00:00,1779324566201871171,4.88,3.55,1.33,101472,36,34,908,5.76,7.10,0.22,86.92,1.83,0.87
2026-05-21T00:49:27+00:00,1779324567349914855,4.45,2.23,2.23,101472,36,34,908,6.01,7.80,0.22,85.97,2.75,0.87
