content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
003dc1e026272bbc,54771,44898547,208924,54718,44914321,208924
005334b6b0b12079,15849,5995561,198459,,,
0075f552420fa930,15108,5237915,213954,15053,5253461,213954
00879abffca8c16b,58496,48638683,213764,58433,48654717,213764
00b9254deac3bf0d,13697,3839008,212631,13623,3854075,212631
00dc32412797d380,28649,18775780,215250,28593,18791283,215250
00ee352ab7ad9fbf,,,,17687,7893333,143327
013915105d0ea7f2,18539,8666437,214501,18471,8682133,214501
018bbc74a694568f,30737,20861591,212138,30675,20879761,212138
01a85064b4187c05,55751,45878922,215069,55694,45894201,215069
022bf636bb2e9ef9,11993,2108850,200173,11931,2130227,200173
024e13b52483dd86,16155,6292607,214927,16077,6308325,214927
02c4b2ecbd516c39,58188,48320652,212302,58118,48336757,212302
02d91f37c1519577,42561,32698815,207089,42497,32714151,207089
0310afa20cfce17e,51526,41671562,215089,51456,41687900,215089
0313b8f0af5efd50,40420,30545359,204511,40360,30560429,204511
0336741a3eb3a896,23410,13532038,210740,23324,13548063,210740
0367bca87cf90d09,42401,32535504,206398,42342,32551734,206398
0416c85dd271c4f5,57304,47435993,214705,57229,47451823,214705
043ca9d68b97dc20,36847,26995123,215975,36780,27011607,215975
04c24f3f33f532fb,20962,11115285,215045,20899,11130118,215045
05484d3cb72aa9a3,,,,21453,11652987,200213
05a40bee48e28223,56263,46396412,213707,56195,46411544,213707
05e634a44a7d178f,57811,47932083,213901,57755,47948715,213901
05e6ba00340dd19c,39025,29172943,208023,38961,29195015,208023
068763caeed57f3e,41371,31490790,205299,41310,31508781,205299
06fddb494f52b64d,51651,41800714,215749,51585,41816386,215749
075fa409c83a3c9f,15466,5597369,211696,15407,5612829,211696
0788634d21317753,44498,34622904,205572,44433,34641152,205572
07caab8583db8cc2,49723,39876026,215147,49661,39892083,215147
0836bf972896d8c7,,,,44185,34381413,204273
0867d883dda1bfe4,56575,46720478,215236,56509,46737132,215236
08a93fa179095c5d,29944,20081594,237047,29878,20098546,237047
08bda7a0c21afc1b,39975,30118507,216166,39915,30134401,216166
08f1a81aa21f2e92,43130,33252627,214830,43075,33268794,214830
092c8e0a4d990748,49166,39289470,199579,49109,39304248,199579
09cf89b3767132dc,21878,12031657,213608,21816,12046962,213608
09deba8d8a26335a,25078,15218450,212106,25011,15233890,212106
0a09c60d0f391259,12717,2858686,213822,12651,2873670,213822
0a8dd04a603f7bea,32959,23115319,217496,32901,23131801,217496
0accd341d8531365,52693,42840886,216017,52626,42856970,216017
0b3cc827d3cb10b7,13421,3549871,213361,13357,3564390,213361
0bba49da16b64cf3,16889,7036356,215043,16828,7052092,215043
0c24ef456f6dccc3,,,,38570,28798816,207171
0ca63844b0df0cbf,35243,25368021,214152,35185,25385419,214152
0d45dba1b237805e,58283,48420306,214255,58209,48436616,214255
0d8f62b7d3b34bc2,,,,9913,132984,212835
0ea1fbd4de2a2c1f,42239,32375316,204678,,,
0ea7230edca88a47,39219,29344148,218187,39168,29361606,218187
0ec47d6515655c73,50611,40756674,213331,50542,40773185,213331
0f1a26aea45c8acc,37392,27518360,213591,37339,27542464,213591
0f553e60d9cc5a90,29756,19880588,215978,29697,19899449,215978
0fd69daabbc08b01,15206,5340229,215064,15151,5355668,215064
105b74db08c48fd6,28043,18191502,214475,27977,18208084,214475
108f1da85a23a25b,20399,10534087,214780,20344,10549055,214780
10bf497f8e7966b0,37615,27739836,216987,37555,27763342,216987
10d0501569a5b5fe,51246,41380238,216295,51185,41396749,216295
10d591fce856eb20,58912,49036499,200166,,,
10e3da7f48517259,,,,52954,43154236,204375
1136fa19863e2820,23602,13726791,216711,23515,13743698,216711
1186ccaeb8ce212c,11491,1618061,214784,11430,1633807,214784
11aaeaf0e898f610,38521,28656139,207085,,,
11e96b6201338c75,55031,45152046,200896,54976,45168648,200896
11f0ecb7a045960c,13136,3260702,212250,13081,3278371,212250
123e707727fcef3e,33182,23310937,215738,33126,23327112,215738
12bdcadf0056cd61,25992,16139209,218673,25923,16154809,218673
1367ab606969a160,31958,22098370,213763,31889,22113556,213763
138afa216deb27d3,38144,28300141,215735,38090,28324443,215735
13a0acb6a20ab65e,56769,46893787,214663,56715,46912337,214663
13cc697c97a6541c,35832,25977705,214058,35767,25993366,214058
13d58bb053c3e38e,43730,33873027,215948,43657,33888263,215948
143e29897e52d803,31740,21874838,216871,31669,21891162,216871
155b9c3958ef8e9c,42720,32856476,215801,42651,32872498,215801
1560bd018e97d266,29430,19557903,211993,29373,19572816,211993
1595d4b559109471,46034,36147405,206416,45972,36171032,206416
15e2788af493898e,27512,17633539,215048,27458,17649489,215048
15f70d1fac98ade4,52298,42422384,215632,52235,42441466,215632
1641afbb21876701,43097,33221746,216100,43043,33241791,216100
1679c5d5090fdbaa,34040,24165067,217388,33987,24183172,217388
16d43752b9d35c11,55978,46102600,214924,55919,46120387,214924
1700e69d6234d98f,44896,35051818,213737,44837,35068425,213737
174250fc3d40eb05,40547,30674941,216399,40481,30691370,216399
176ac647effde31d,21850,11995525,214490,21780,12011579,214490
180a8286b9b8e452,43544,33678748,214481,43481,33694075,214481
185a686cc5b21ed5,23878,14017004,214079,23811,14033881,214079
18600bf2fca41e60,26684,16827765,214389,26622,16843661,214389
186f12d90a2be800,13298,3422991,215123,13241,3440388,215123
18be607bb59fe49d,35646,25794233,213439,35579,25809837,213439
1909b17480d25d1e,33843,23998375,215893,33784,24014702,215893
1986aac485e4a42e,12839,2997411,236455,12783,3014352,236455
19934a309d2d2a78,27543,17674109,239957,27488,17690897,239957
19b4c433c482bf16,25554,15679425,213120,25492,15697565,213120
