content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
002a50f1997ab257,28781,18967500,106853,28765,18985795,106853
003e597ed838f1b8,20381,10562713,148182,20319,10574660,148182
0047dc434886b440,10570,739256,128332,10511,749387,128332
006a05816c1025c3,87330,77487456,118268,87320,77507382,118268
0091a32cd981016c,35469,25660284,133549,35414,25671159,133549
0094233e636d004a,33230,23402174,141653,33169,23412149,141653
00960893849ba323,22806,12961004,134752,22753,12984378,134752
00a64c3e41ac743d,62045,52224918,138206,61990,52236507,138206
00e5779157980d29,85468,75602905,131703,85448,75646608,131703
00ed3d51fb6d389a,60242,50401551,138536,60191,50420577,138536
0112f322a4293068,22120,12283605,135368,22068,12297759,135368
012ae5d3119ccb0e,101047,91225818,139614,100986,91236418,139614
013079cbb7fc5a86,74513,64660407,129810,74496,64690594,129810
013249a0c5186039,87428,77563241,130900,87417,77605702,130900
013c7c3d367f60b3,28611,18783147,141761,28561,18794696,141761
014cc79f1d19fb85,36858,27021555,139730,36805,27035659,139730
014ea9b27edbed75,35345,25522139,142624,35281,25533476,142624
015bac3d3c87c6bc,90778,80962597,142534,90718,80974180,142534
0164bd499bbd1326,53344,43520286,131395,53281,43531263,131395
017bd51c0d275221,85156,75322293,141313,85105,75334097,141313
018a632221512830,93076,83242273,141054,93022,83254592,141054
01a40000b97adf19,84564,74724397,131618,84512,74741801,131618
01b3a4813d672501,43264,33445267,139754,43214,33457272,139754
01b3d5b0f812f5ae,71231,61402554,142014,71180,61413862,142014
01d2f12f6608134c,93044,83206112,139628,92991,83221671,139628
01dfd775c462aa79,23882,14044437,144575,23830,14060519,144575
01e15d80c290f273,83443,73587546,118646,83425,73620631,118646
01ef95cc1c2cc54d,27223,17379980,130917,27191,17401174,130917
01f60fba9b06d29f,75335,65465482,139326,75300,65513924,139326
02040c922223179c,98363,88521295,134192,98313,88540632,134192
021e6c5b130ebded,53095,43261542,138669,53041,43273063,138669
02287e7569dbe46b,83065,73226010,140692,83015,73243277,140692
02322757c1216d30,117316,107502314,138727,117260,107513709,138727
024e7ed6c1deae80,113095,103260827,129995,113041,103273228,129995
0250d636972b9ec9,25591,15780485,135575,25534,15790731,135575
026ec9e506c12ca9,42609,32800406,133687,42559,32816965,133687
026ee4ad898ea57e,87680,77823529,133374,87655,77858039,133374
027bd220287bba1a,85435,75580660,131756,85416,75612988,131756
028be5d386e8c637,54520,44709121,131173,54463,44718983,131173
02a9ba55b7a11389,54578,44806264,354481,54575,44834173,354521
