content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
0002d2d24b5f95f8,75009,65072927,131967,74979,65122592,131967
0019f66342a7056f,96030,86104825,137743,95971,86129958,137743
0036a9cfb9484852,23172,13254426,131930,23084,13270393,131930
00414638d7345230,18576,8656678,139392,18463,8667132,139392
00659fda97d9f964,76518,66614306,139538,76436,66624378,139538
008de0ba2e3432c1,87349,77434284,139453,87264,77448678,139453
00f03e9a58a50858,83630,73714061,138270,83543,73729891,138270
0145eb00390240ff,102000,92074290,138954,101931,92099975,138954
0164e35ef33787d6,35540,25616545,136879,35466,25639233,136879
0176d55ccb422936,115709,105795757,127171,115618,105807695,127171
0177cf4a111af369,58107,48212201,129741,58037,48221854,129741
017a22b938f07e29,22865,12972022,129813,22770,12982077,129813
017fa96099107aff,68822,58961258,350278,68774,58989169,350318
01842492721fbdfe,74094,64194017,139275,73998,64211788,139275
019662f5484336c7,17436,7516991,140389,17349,7536155,140389
019d1ee01836939c,56103,46154144,130014,56048,46205109,130014
01c47609517c765c,47988,38095066,100704,47928,38111407,100704
01c801e608970684,106022,96114224,137818,105935,96128664,137818
01e1b83c40f31258,45836,35916971,137949,45751,35936110,137949
01f10753f9928066,77726,67814262,140510,77640,67825544,140510
01f8cc2622fbcc3c,79315,69412787,131496,79224,69423315,131496
01ffedf145a8b129,11869,1977623,109272,11819,1995551,109272
023507ff39bc8539,85896,75992614,129893,85798,76002284,129893
023ffae28af6c292,61177,51277023,137552,61086,51286825,137552
0247d0452d36e9d8,96542,86634350,138442,96456,86644359,138442
0257197e171abaa9,111829,101917413,136676,111743,101928513,136676
0264435476313ac5,90872,80954285,139692,90790,80971011,139692
026504ec9785423c,35229,25291856,129837,35174,25328372,129837
0267b193fcf2f80f,111892,101976786,135064,111803,101990568,135064
026eee8676520e12,119302,109394237,135983,119218,109406437,135983
02795d388c52df47,49252,39353714,138328,49160,39363597,138328
0296f3e31f39b1e2,95968,86037023,140405,95915,86067813,140405
02e9a9cad7147aed,110760,100818301,138449,110719,100859277,138449
03083e916f23338a,90275,80297424,137452,90200,80374783,137452
0308d413641d22d1,63862,53913759,128556,63810,53961428,128556
030bbb8b068e372c,53324,43416811,137693,53227,43427302,137693
03186fe9037c1fcd,81157,71234305,139342,81081,71255972,139342
0351371d29adedc5,15871,5936092,115641,15828,5972843,115641
0386da68081760ab,22425,12513278,139451,22339,12525318,139451
0395dfa8712d4ae3,113214,103293966,135817,113125,103312445,135817
039ed63d74a1dd4e,103957,94034026,136753,103890,94056906,136753
03a576735d468614,54650,44757479,139907,54564,44767404,139907
03b453f0cd77370d,11730,1811554,128930,11643,1828129,128930
03bbfc93ae1f3c42,43742,33833542,138272,43652,33843272,138272
03cc39793fb69de7,77790,67875140,137948,77703,67889815,137948
03e38ac5ce78fea1,46259,36312228,130052,46211,36358224,130052
03ee3b89fa5dea4b,53447,43553607,138011,53356,43563637,138011
