content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
000592c4685bb13a,101544,91661771,130710,101442,91673493,130710
000df81804596dcc,62561,52702234,138329,62414,52714499,138329
001060fbf8e3d020,102442,92583301,140899,102304,92595665,140899
00209ee60382a072,92448,82573806,136969,92322,82586537,136969
0020cc1ac95dca00,20783,10925092,138804,20635,10935050,138804
00431aaaca85b06a,35564,25701945,139692,35430,25714973,139692
00bf2661163a03a3,88681,78822663,138852,88538,78836313,138852
00cdb601dd05c0eb,17990,8120016,128967,17851,8129255,128967
0108ae63c61e55c9,20966,11120093,129966,20826,11129229,129966
010b913f40a61c59,116770,106862898,137270,116641,106878275,137270
011eed3498234270,114295,104443698,129749,114158,104454782,129749
01334000dd497d96,103313,93431119,131799,103214,93442630,131799
0138751fa6ab3414,99758,89866550,138447,99646,89879484,138447
01388967fc40c5c9,16622,6761580,137848,16481,6771331,137848
013f25575bd5e840,16181,6325029,139625,16034,6334788,139625
0151cfde038ac20b,100327,90466027,156577,100201,90481733,156577
01776fe316cd76df,67659,57776997,137784,67487,57792602,137784
01909be1dbd50c33,53499,43611796,115026,53413,43624099,115026
0199f019744269c7,112028,102162871,136544,111874,102180152,136544
019c801199ca93e7,37586,27721966,139254,37452,27735180,139254
01a6beb615385cba,64227,54364975,154026,64093,54378027,154026
01abf9188a409b9f,106259,96386394,139087,106115,96397468,139087
01ac3002b31559ec,35380,25540278,129431,35242,25554072,129431
01af8529e8e5dbda,116443,106562674,130899,116385,106574197,130899
01c225a977ce8840,114819,104941914,130291,114711,104952513,130291
01d202a448b72ce1,19068,9201175,136598,18934,9211235,136598
01db9a020e376335,87655,77802971,137229,87508,77814618,137229
01e3f76f99928b0b,85227,75362310,136548,85093,75374612,136548
01f036aff4c874d6,55525,45620465,129069,55450,45632295,129069
01f74c7d2d8cccd7,59143,49282126,136887,59010,49294384,136887
021545d4c17caf54,104493,94626456,138286,104348,94638125,138286
0215fb1794ad8a36,78628,68743073,141411,78534,68755832,141411
021bacaa302189fb,81570,71706239,139647,81424,71718503,139647
021d0eb9068dc1b5,27460,17605309,139937,27315,17616953,139937
02412b3e7d89c207,41846,31985488,139889,41722,31995306,139889
025681e5e3e64f52,35660,25802405,142657,35525,25815822,142657
026056c1db10fbe9,84687,74806833,138227,84561,74818996,138227
02636157bb59d9c1,96670,86802609,137310,96531,86814017,137310
0264cfed28519866,69058,59175882,131713,68988,59265275,131713
02b7a93208c65c12,88740,78882611,138294,88589,78894502,138294
02d6e156245f7da4,93617,83709368,129986,93557,83773069,129986
031c9552778fc61e,64009,54162648,137083,63869,54174592,137083
0339a58f701e7196,65965,56120936,130989,65825,56132289,130989
03627a6d7f3991a9,15317,5444877,138904,15181,5454901,138904
036e3cecbfcd3ae2,81379,71506307,139595,81243,71518579,139595
0382f97eff15c5e0,39731,29864999,137997,39592,29877631,137997
038a78ba6338494e,67301,57358080,112956,67235,57386283,112956
039053f4425a3bb4,106096,96226731,139375,105959,96237786,139375
03960aee4dcdd851,117011,107146413,138399,116856,107156609,138399
03cc726185c85945,52772,42921957,138121,52627,42932103,138121
03cc94fbf3cb31c2,46211,36366022,99298,,,
03d928cdad6e925f,32186,22341979,139378,32047,22354039,139378
03e8a14e92617d00,14882,5025164,137140,14736,5034924,137140
03fcc3624fa6c10b,118699,108826883,138569,118568,108836767,138569
040b0aa199e97907,19676,9782664,131672,19569,9793336,131672
0418b1bbaf1dce2a,105434,95541737,130797,105351,95553857,130797
04249b8ad3e6ca4a,64849,54980479,128027,64717,54991050,128027
04423c59b743ba83,82383,72490325,130452,82298,72501113,130452
044cc47a85d8d357,85817,75946162,139295,85683,75958450,139295
045faf6e479df6c1,113859,103983970,131285,113723,103994756,131285
046886e6c4c86b22,95716,85823597,130380,95648,85834309,130380
046a26603d6022b8,119142,109266659,138076,119006,109276330,138076
046d79810525323f,110516,100663460,140405,110370,100675231,140405
046fb974ca9bd1ea,53366,43556089,387947,53272,43587810,387987
0478a998cc075aee,15382,5521400,137048,15245,5531511,137048
047a4f76418376d7,95838,85963220,140832,95746,85976734,140832
04845c003c175e82,106513,96646235,138469,106360,96658353,138469
048fed0241696e67,50708,40862031,137990,50566,40872014,137990
04a78a8d02dc1ab6,63775,53900892,130442,63633,53913110,130442
04ae2607fd9bf56e,23533,13661926,129055,23420,13672153,129055
04c284d31ca46a8e,94183,84333304,133780,94035,84344598,133780
04cc062c83dde77a,97129,87262906,138761,96993,87274033,138761
04eb87ac12ef0d0a,61728,51842610,130281,61603,51852981,130281
04f0e79fbe07fc05,33360,23521762,138477,33223,23534620,138477
0504e5296d0db31d,35882,26022202,138584,35737,26033319,138584
05108b026cc8c0e7,93585,83687440,132591,93527,83772261,132591
0521be3575b75859,22334,12485085,138069,22194,12494368,138069
055fdd87ac5b38c4,65733,55860597,128753,65591,55877402,128753
0569640bd15e6532,38370,28500480,130873,38235,28511040,130873
057335ca68a2c9e2,52180,42325546,137922,52037,42335402,137922
0574c47a9a871ee0,18198,8344779,137584,18053,8354076,137584
05a0449a23523209,57517,47601965,128198,57442,47627639,128198
