content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes,webrtc-1_pts_ms,webrtc-1_arrival_us,webrtc-1_bytes
003cc60964aca707,20040,5059205,130623,20047,5075400,130623,20033,5069383,130623
00552eed76c80ec7,49317,34400821,138810,49282,34413875,138810,49272,34411259,138810
006678014ad2a264,66468,51560729,136916,66437,51571976,136916,66422,51572012,136916
0079572eb773bb32,75041,60124056,140770,75010,60136656,140770,74991,60134176,140770
0084cd603d4759c6,70507,55601115,138328,70467,55616191,138328,70452,55611547,138328
00905ab9246da97e,88547,73601950,141484,88509,73613291,141484,88495,73613477,141484
0090675a9b2b9ab5,47328,32422811,149394,47292,32438257,149394,47277,32433696,149394
009f92d2fb991581,110101,95181885,139539,110068,95192200,139539,110053,95192258,139539
00abe79bcc51bdd6,38092,23159682,130788,38086,23169743,130788,38085,23170032,130788
00be87fc98f012f2,27276,12360264,136860,27242,12370699,136860,27225,12371079,136860
00c3e7ebd4913be8,39768,24834934,131113,39808,24876174,131113,39773,24845312,131113
00eff049f82a849f,47771,32863879,137954,47729,32874489,137954,47713,32878777,137954
00f1b6aa0a249312,89604,74702518,130849,89564,74712038,130849,89549,74712415,130849
00f7bd638593370c,34048,19100908,129879,34048,19110622,129879,34031,19111026,129879
01137d59748f01aa,88309,73334200,96672,88319,73341814,96672,88305,73341962,96672
011d53bb292e67b4,63164,48223766,137076,63147,48234201,137076,63132,48234615,137076
012f77028139a76b,96381,81461596,139152,96354,81472405,139152,96338,81478171,139152
01500220847acec4,115488,100600426,131076,115451,100610368,131076,115436,100610730,131076
01663f777b40ef15,46219,31304080,138785,46181,31317741,138785,46165,31314822,138785
016e5ddc6b84b2b7,59366,44452254,137424,59325,44463018,137424,59311,44463362,137424
017992fc4eaeaf93,92018,77125978,103262,92030,77144579,103262,92015,77144144,103262
0182cca4909c16d9,72957,58041397,139669,72924,58051791,139669,72909,58052038,139669
0197e36fb41bf4f7,81500,66587915,157138,81471,66600901,157138,81454,66599565,157138
019c0aaa50791020,67507,52562049,131100,67506,52571960,131100,67493,52572144,131100
019df40e609aa571,89814,74900412,132480,89780,74910274,132480,89765,74910686,132480
01d9e178b7cfa3a6,71000,56084747,139370,70972,56095804,139370,70952,56095947,139370
01ebac6cb610786d,86901,72001989,142573,86853,72012602,142573,86838,72012822,142573
0204703b9b4800b7,30287,15400711,138040,30252,15411807,138040,30239,15412028,138040
023ab1e64e3832a6,21099,6200081,136642,21053,6210733,136642,21040,6211060,136642
024efd3cd3448b75,74003,59084319,138698,73971,59094732,138698,73956,59095107,138698
025e54f3ccd42fb2,113383,98480738,132658,113336,98491784,132658,113317,98491725,132658
02691a2075d8eb42,81222,66324630,138183,81185,66335138,138183,81170,66337957,138183
02809315c23f3bbc,66788,51881161,139306,66747,51894829,139306,66733,51891721,139306
028f18f91c61ca65,17442,2544253,137795,17405,2554830,137795,17391,2555498,137795
02c39c551f94d9f1,107180,92281536,137859,107136,92291908,137859,107120,92292297,137859
02e62b3fe8346438,53549,38639676,131460,53506,38649789,131460,53491,38650055,131460
02ea3105cc57b775,73335,58400161,132056,73334,58410198,132056,73319,58410855,132056
02ed2b48bf913d55,73021,58104678,138918,72986,58114934,138918,72971,58115391,138918
02f047feffdcb41c,82773,67860976,137565,82744,67875228,137565,82722,67873779,137565
02f335a68fec1f6b,37304,22400390,136665,37257,22409950,136665,37242,22412510,136665
02f3d8cc9526507f,43038,28079131,129492,42943,28088406,129492,42921,28093357,129492
02febac7795f640d,89879,74962496,131527,89845,74972052,131527,89830,74972307,131527
02ff4defbf8df0d9,51337,36432322,138294,51308,36446213,138294,51288,36442299,138294
0309c62133060db5,62428,47505625,129272,62393,47515554,129272,62381,47515832,129272
030bd87ed1dc01f1,50901,36000984,138921,50853,36013541,138921,50840,36010904,138921
030c7afa782cf921,114953,100002799,131444,114956,100012989,131444,114941,100013291,131444
03132d901de4417c,61497,46600669,136516,61452,46610417,136516,61440,46615070,136516
0358bb6693efd76f,78135,63159807,129751,78142,63173096,129751,78127,63169781,129751
0367544bd4a34f33,28953,14060325,137774,28912,14071372,137774,28897,14071225,137774
037a48717b86b0b1,57038,42099264,129380,57039,42112303,129380,57040,42109471,129380
03a46b6ebcbd2b98,50721,35804731,138987,50692,35817013,138987,50672,35814558,138987
03c4977e92b23189,29496,14573224,112774,29541,14603690,112774,29500,14595125,112774
03d0daa0d3abf0d4,89262,74344923,139486,89226,74355916,139486,89214,74356271,139486
03f1a070d2a468db,47457,32541211,138201,47417,32553530,138201,47402,32553865,138201
0414cf893f626b2f,28294,13400755,137775,28253,13411512,137775,28238,13411615,137775
042664c3143e2c11,15829,920197,137866,15793,930738,137866,15783,931048,137866
0430486807c591f3,28545,13643157,151852,28515,13655331,151852,28496,13660008,151852
043b66a6b14419ff,73707,58801372,139065,73667,58816057,139065,73653,58813880,139065
047239d8120fe4cb,106592,91660594,132281,106600,91670288,132281,106584,91670711,132281
048302a9fd537648,41824,26861037,129022,41850,26871182,129022,41830,26871122,129022
048bd47348321a17,15892,1033185,378950,15900,1065095,378990,15885,1064282,378990
049848d592eec3fe,48427,33481203,128774,48429,33493461,128774,48415,33490763,128774
049fdd8ccdfa83f4,64049,49140732,136322,64008,49151208,136322,63991,49151552,136322
04b070a7c9538200,26653,11740462,138466,26621,11753416,138466,26601,11750232,138466
04b9634c3e46d1e3,74542,59641173,138229,74494,59651337,138229,74479,59653858,138229
04bfb3d86400f71e,117763,102845549,139759,117727,102856322,139759,117712,102856650,139759
04c21d4594fcd0dd,52411,37462126,132631,52417,37472180,132631,52402,37472615,132631
04eb845f23ec0ce8,21287,6400716,139160,21252,6411427,139160,21237,6411819,139160
04f02f7bc4a153f0,113267,98342925,131442,113248,98355791,131442,113214,98356091,131442
04f828c3b674798d,102374,87461886,140479,102338,87477157,140479,102323,87474712,140479
050fdaa2871e0d63,99261,84360419,131972,99218,84370717,131972,99200,84371057,131972
0520aa7d173b1be4,34411,19500507,138283,34362,19511652,138283,34346,19511920,138283
052173e224ac0d0e,86036,71121287,138732,86006,71133899,138732,86000,71135527,138732
0561d3bb24838fed,60413,45521029,138721,60395,45531506,138721,60360,45531864,138721
057c32ab78117942,16152,1200321,129469,16162,1210196,129469,16146,1210555,129469
05a01ff7e6979bbe,114402,99483592,134111,114373,99496284,134111,114355,99493878,134111
05ae310d8c1ecad5,81131,66224097,137103,81084,66234529,137103,81069,66234958,137103
05b052c12ff1bb46,48523,33581442,130209,48521,33593769,130209,48507,33591052,130209
05b541985343385e,42012,27061286,129538,42015,27071085,129538,41997,27071168,129538
05bf0e9fa3f3348e,46156,31240947,139706,46119,31251214,139706,46103,31251472,139706
05d4d13027eb4e13,43985,29081219,130814,43946,29091154,130814,43928,29091517,130814
05d5eb011e7b1091,30408,15486421,154169,30375,15498745,154169,30359,15499057,154169
0625edfd857d87c5,61410,46500868,137802,61361,46511068,137802,61341,46511393,137802
062fbc9e405b473f,83590,68724943,333797,83596,68763269,333837,83573,68749999,333837
0671741287885aab,91438,76523804,132431,91396,76534265,132431,91381,76534459,132431
0680a0981c3dc160,66347,51460886,137768,66316,51476183,137768,66302,51474306,137768
068c4a2f7a341fd5,46720,31799532,130779,46716,31809588,130779,46698,31809853,130779
06df8a57172c3a16,22311,7400252,137194,22252,7412637,137194,22236,7410050,137194
06ea657f7688fd39,53764,38863896,131046,53727,38874155,131046,53711,38874607,131046
06fb5018cf5e4743,27147,12221415,132217,27115,12232267,132217,27099,12232563,132217
