content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
00116edb907abca4,28732,18868444,133848,28538,18878849,133848
001eac28d1f5bf66,27435,17566496,139211,27228,17576457,139211
0072ad53b8886269,28947,19070910,165330,28752,19082917,165330
00843adfbffef943,46697,36805391,130889,46528,36817431,130889
0088952f099e15a2,46452,36545317,131005,46329,36557352,131005
00926493558069e9,57992,48127331,141545,57787,48137137,141545
00a9c1bf7e20d8d4,87274,77407350,140032,87067,77417718,140032
00cf96f7835c8ee5,106393,96506653,131451,106199,96516593,131451
00d91bf8645e72bf,35042,25106611,138913,34799,25121971,138913
00db4e5643ab1329,95921,86047228,138314,95721,86057529,138314
00e874fb00b24999,118313,108447912,140187,118108,108458958,140187
00f62bff98d7dc77,44298,34408743,120252,44167,34516187,120341
0102a3d6155a50b8,35015,25066355,138248,34782,25077719,138248
01239e172108d33e,117479,107590695,138240,117286,107600970,138240
0129cbf00c32e3d9,77631,67750639,138217,77437,67760056,138217
013fa7e3fb2d4c2f,115097,105211470,138209,114886,105221765,138209
018e12a22c07fef9,26691,16809338,142675,26475,16819046,142675
019702f3b375ad9f,111611,101727406,137833,111420,101738618,137833
019fc67527679bfa,42871,32990293,138167,42673,33001998,138167
01e2e8d3c4b25e04,11262,1364898,131319,11099,1374515,131319
0206521e277a8f6d,24824,14966497,139237,24627,14977109,139237
02111a0d7bffccb9,30391,20505239,132174,30203,20515591,132174
021b19850d720b52,33742,23866559,139725,33551,23881275,139725
021b58fe92cdd41d,18271,8404717,130407,18070,8414026,130407
0251d259b2aa12cf,82732,72866157,131277,82528,72875966,131277
025cf5e51798483d,17815,7907261,132427,17649,7916659,132427
025e5a5845ab5e31,12040,2078367,116906,11860,2086752,116906
0280f0540d137dee,112683,102768570,130866,112532,102778272,130866
028a52d89004924a,93585,83727292,138495,93387,83736804,138495
02a6842198ec0b21,53076,43165258,130225,52922,43177737,130225
02b1fed2e8b3966d,107332,97450914,138678,107119,97461218,138678
02c6816b4d67f487,64069,54189589,154705,63876,54200910,154705
02ca9e8ecb9ed326,83176,73290209,138340,82982,73300964,138340
02cc00920e97591e,99482,89591142,139368,99289,89601088,139368
02d035137af7535a,26809,16946343,138689,26607,16955833,138689
02ddc12dfd6ead8c,95389,85527327,139239,95188,85538134,139239
02ed788000da025f,46071,36185276,131504,45877,36194442,131504
02ef78432c992ca0,57880,47985891,131181,57654,47995431,131181
02efc52c704f1689,39764,29889927,138516,39558,29901753,138516
034a085240e33a47,94154,84287000,137940,93949,84297609,137940
037f87a8502aba52,86373,76487338,139023,86177,76497868,139023
