content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
0003fa0cf0aa209c,94396,84524782,138112,94307,84534923,138112
001b43c20a94aacf,37925,28042953,139060,37826,28054744,139060
002638aa8866faf8,61568,51721281,140536,61477,51732604,140536
002b458007f2d258,109453,99601223,139754,109355,99611394,139754
00411776a96108d6,21908,12039435,137119,21789,12050751,137119
004576e5ef7ce520,66954,57107543,103800,66906,57123608,103800
007be5350445b98a,46195,36298425,129400,46138,36307654,129400
009096f2c36e8efe,58591,48723619,138182,58498,48733216,138182
009796a0e844c90e,109199,99324256,139104,109110,99333921,139104
00a7b59a6f0c99cd,76784,66909358,128725,76736,66919048,128725
00aa46d9fb6d0665,55042,45202931,154820,54953,45213278,154820
00b23960c926ee57,24603,14742695,137637,24505,14755309,137637
00b530f5b355c24e,55333,45460259,139304,55243,45469960,139304
00f3d91b83f0e215,113723,103860749,137582,113623,103870724,137582
0113bb8e0010cf8d,57157,47283542,138508,57065,47293232,138508
0118cc0225b80164,96281,86421295,142263,96175,86431957,142263
011a156bbb4fe712,92569,82700260,136398,92479,82710503,136398
012c79f9728bd943,109070,99200922,139069,108981,99210640,139069
01574cbccf540c74,31864,22017684,127337,31784,22030805,127337
0163fe7c06a64682,11216,1343101,139499,11128,1355354,139499
016d2adbb98ce0b5,101569,91700545,137876,101480,91710008,137876
01af1d9a7d0b691f,57503,47644268,139097,57403,47654257,139097
01ccd88098f932dc,27524,17642522,137351,27456,17654760,137351
01d2b9a6563bd5c1,33689,23778069,129112,33660,23789247,129112
01da84a5ef1e6114,67291,57398849,130644,67227,57408347,130644
01e2b6f0028dfdb0,98375,88504074,137559,98283,88514361,137559
01f07ccea40549c3,27876,18002396,136834,27790,18014003,136834
01f6c2bab90317a9,58770,48920189,138930,58671,48930148,138930
021d4fb33109b98c,108014,98160720,138175,107934,98170875,138175
023708b2d6bf927c,19800,9959569,138734,19710,9972255,138734
0243d518e28e5178,103341,93500686,138218,103250,93510798,138218
0246da45c7f44abd,69721,59880160,137948,69630,59890644,137948
027ef4b27a79e7b0,96780,86901225,130347,96692,86910809,130347
0298e7c635007009,81601,71751754,138510,81501,71762216,138510
029b6bb3ca06688e,41622,31739715,137903,41548,31750145,137903
