content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes
0007ed2e5e37667d,473980,464069235,138514,473862,464079816,138514
0009e9a9f80bee44,138807,128892855,136185,138675,128903568,136185
000dca7e8d8d2ee1,32086,22192059,138513,31966,22201436,138513
000e23c3bccbd6f1,325898,315996314,141547,325768,316006699,141547
00104129519a4a3f,553837,543919278,138269,553720,543929874,138269
001754ff0cf0ebcc,555451,545542371,138028,555322,545553208,138028
00197aeb97946840,57803,47892052,137091,57686,47901679,137091
001da9900110fc70,417006,407097041,137550,416883,407112103,137550
0020e852af56588b,546365,536417662,129413,546284,536426989,129413
002166ad66b16a6f,321924,312016106,139630,321795,312025760,139630
0022087841e59801,480125,470202872,129522,480036,470212069,129522
0025205f5251c824,392763,382867615,97042,392720,382917204,97042
0026d6d3027fdef9,472836,462918339,138434,472720,462928623,138434
00282971438c64b0,479852,469937966,138115,479736,469948334,138115
002a8960f04a9807,28016,18114879,136939,27894,18124106,136939
002b5ebc61871e33,448868,438957547,137643,448729,438968651,137643
0030881288caa4c3,461422,451476826,132536,461337,451486886,132536
0032cb2967956ae2,140012,130093497,139027,139901,130103177,139027
003ad369a35e10b9,382409,372496811,138610,382278,372506266,138610
00478f489e76aa99,541095,531199742,140094,540975,531209802,140094
004a980cc92cac34,365294,355377624,130703,365179,355387469,130703
004bfacc087b37e8,206202,196294221,137551,206086,196304356,137551
0053f6be399867a2,290140,280217450,130454,290023,280226425,130454
005419a04be5370e,593113,583220033,137203,592991,583229909,137203
005466781a75edd8,320583,310688064,100260,320522,310710218,100260
0058253295b35409,172554,162607650,127650,172478,162616602,127650
005d2c12aab195eb,25430,15534843,137050,25315,15544695,137050
005e3d08716dfc61,170356,160453764,137878,170238,160463928,137878
00662551ded946cd,548646,538738849,135662,548529,538759673,135662
00677c31655cde70,127019,117124675,102060,126954,117147186,102060
006c096671242c74,265203,255314385,133296,265085,255324451,133296
006d9cf8e028b399,543054,533158696,136158,542933,533169088,136158
0070430905a7fd63,17499,7591570,138094,17375,7601958,138094
0071dd8176cbe6d7,105475,95554870,129930,105357,95564614,129930
0073cbaf509baf7c,250094,240199731,103071,250005,240216390,103071
00758ac73c440c7f,285392,275492505,121708,285263,275501793,121708
007d0e08b24c7da6,553462,543559261,137292,553331,543569303,137292
007e45ec4101c58d,171054,161097013,137852,170932,161106968,137852
007f6ec581a3b6c1,526137,516238560,137524,526009,516248280,137524
0081cdff92829276,139947,130033784,140917,139838,130043506,140917
0084f5c613a9ee53,148023,138074783,133561,147953,138085387,133561
0089ba422da853ce,274029,264115223,138856,273914,264125254,138856
008a2949a3667a11,322264,312375703,137605,322147,312385934,137605
008b2dadadae8dba,462272,452357029,133542,462153,452366696,133542
008d2eaa5a33cd3c,545947,536020817,137970,545830,536036535,137970
008e25558ea27e3a,438243,428318897,132797,438125,428327918,132797
008e7e7f881a0255,545702,535799130,138124,545575,535809566,138124
008f82b53487d46e,281452,271539130,139152,281312,271549987,139152
00901b425d5a3106,255017,245101023,137524,254901,245110471,137524
00925cf71d08ce6c,415265,405377477,138901,415153,405393107,138901
00936a939129e996,462581,452682175,140130,462462,452692064,140130
00971302094d027c,246202,236293631,130852,246072,236302545,130852
009b7d212188b415,358308,348399056,136139,358177,348409323,136139
00a42fd3d07d4fe4,391077,381136808,128423,391023,381148857,128423
00ab1e710fd15301,404989,395059655,130888,404892,395070594,130888
00b53dce829fcd4f,241183,231235191,129692,241097,231244202,129692
00c2fcd3a7b9abb8,104738,94811902,132192,104629,94821986,132192
00c4bb1b0f48ba0c,347038,337122582,154166,346923,337134320,154166
00c52081bac1703e,521368,511488138,137585,521261,511502200,137585
00cdc8e266f060d7,112375,102471937,132426,112243,102481539,132426
00cf8ac30ccff350,223536,213634340,135287,223406,213645983,135287
00d224025542343a,251889,241973825,132070,251773,241983593,132070
00d9991287665a90,261112,251207233,142891,260990,251217843,142891
00d9a1e1a25c622f,572649,562739334,137074,572537,562754599,137074
00dcbb1d69e0ad48,454722,444818862,132578,454600,444828640,132578
00df86b5f9be8e51,116690,106784383,138615,116570,106794818,138615
00e3b8469db1773f,119021,109133286,138246,118905,109146339,138246
00e8a841e5c6e0ca,502447,492538693,138236,502332,492548777,138236
00f258be3b541166,296604,286714615,132131,296485,286724549,132131
00f4d5e82e08db90,76011,66120535,124463,75934,66135867,124463
00f5b354b497395b,581322,571373751,128604,581265,571383813,128604
00f6d654732c073f,545548,535638851,136395,545430,535649416,136395
00f79c9d155afb28,525466,515544066,130036,525417,515592655,130036
00fb0087af226667,71893,61972306,137372,71778,61981749,137372
0101aa481280eead,150435,140532341,131965,150306,140546400,131965
0101f49767619279,343387,333462259,114435,,,
0103b87af27cc84c,435052,425137514,137662,434929,425148296,137662
0104d2be37ec7b1f,489328,479418141,138176,489198,479431080,138176
0108495f7b392680,511119,501201993,138440,510986,501212276,138440
010cc8e9ff66db01,404928,394996020,131412,404838,395007618,131412
010dacdcd9892152,333178,323263177,139049,333063,323273078,139049
0111271682509c18,264063,254134080,132728,263963,254144071,132728
0111c0b38e4e2fb1,170856,160873683,137418,170799,160884412,137418
0112dbbe91113391,542242,532350506,138502,542121,532360021,138502
011a4832263977f3,288967,279036277,130837,288854,279046187,130837
011b1c3f2537cc96,479002,469081249,138280,478887,469091772,138280
0122e519b3ecc0cd,548400,538477380,128460,548322,538490591,128460
012d4326580c17a9,103736,93833177,139662,103605,93843709,139662
013077b67d37b47f,220542,210598113,140295,220449,210608354,140295
0134e1673e6a7417,378236,368296981,140705,378149,368306750,140705
0137faf4b2fd6633,496494,486598453,138775,496372,486608511,138775
0138db721191eec6,135507,125593421,138544,135388,125602927,138544
013a21f2bd46e7f6,490363,480438338,139271,490256,480455058,139271
013eaab4441dbd8a,392340,382439824,137309,392223,382451691,137309
013f1408a1c9bc5e,154463,144573493,138247,154356,144588622,138247
013f7d4028500398,582743,572839881,138738,582615,572850237,138738
01437706ef016af6,333274,323359523,137487,333158,323370232,137487
01443420e66edfd7,214762,204833263,131726,214659,204842848,131726
01482bc94b214b4f,235899,225994712,138337,235769,226004174,138337
014a3372762f7944,276964,267039248,117485,276890,267048193,117485
014afcb4da971262,55477,45534479,140626,55383,45545003,140626
014f9b1410fe8696,83177,73256240,138656,83062,73266345,138656
0157e6543f45c377,589171,579239322,135706,589083,579249740,135706
0159a10728150599,313497,303574013,127961,313405,303584483,127961
015d90c5fcd965f2,14925,5011564,138291,14806,5021729,138291
01615fe936725742,582397,572484062,139242,582275,572494714,139242
01661cbbe11a0fcc,408441,398497297,139044,408321,398507150,139044
016c7df8f37cfb82,328520,318575603,131529,328469,318585075,131529
016eb22e8bc2a570,83434,73560408,354962,83346,73589021,355002
01709d52fc092d35,525025,515122148,137818,524909,515134280,137818
017396bda987199b,461327,451376595,131640,461250,451386630,131640
0173a50aca22192e,112908,102993118,138312,112783,103002690,138312
0177396aaad10f85,422683,412777062,137561,422575,412791515,137561
017cff4d07720f7a,343125,333215864,135106,343015,333230890,135106
017d337d2f5f66ed,137053,127164755,137707,136937,127174350,137707
017e9be1dcb5b4f4,284918,274934399,132234,284850,274944463,132234
017f840b17e02319,462794,452878256,141220,462681,452889217,141220
017fe57fd25a1956,66880,56992116,136888,66763,57002211,136888
018b345d62a19ed9,238159,228240782,156170,238042,228251410,156170
018b6051ca5ec240,592642,582722867,155261,592526,582735026,155261
0193dfc4ef7bad4b,330111,320194835,132090,329993,320204651,132090
019507db730fbb77,384827,374986009,347153,384772,375014682,347193
01958cf29d1aa50a,183608,173693844,138220,183493,173703825,138220
019859ecb022d42a,542036,532118670,136610,541920,532128403,136610
019906bd0d1e6fd9,188851,178937613,137808,188735,178948208,137808
019a0e3ca4e6b894,24044,14134710,137921,23914,14144132,137921
019f558715d7b404,60446,50531852,136825,60326,50542316,136825
01a5f60da735c3e5,255897,245981569,158191,255779,245992952,158191
01a78b74cc12d835,229194,219274949,139253,229079,219286986,139253
01a85b8ca006b663,346940,337019746,139965,346826,337030702,139965
01ab728cd848eca6,66481,56527721,130476,66398,56537230,130476
01b689b5ab96915a,481837,471918327,137122,481717,471927776,137122
